cohort,compartment,label,ligand,source_label,focused_direction,matching_receptors,eligible_IPF_donors,donors,minimum_required
GSE136831,fibroblasts,Fibroblast,CCL2,Myofibroblast,False,ACKR1;ACKR2;ACKR4,3,021I;022I;138I,3
GSE136831,fibroblasts,Fibroblast,CCL2,NK,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CCL2,PNEC,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CCL2,Pericyte,False,ACKR4,1,022I,3
GSE136831,fibroblasts,Fibroblast,CCL2,SMC,False,ACKR1;ACKR2;ACKR4,3,021I;022I;138I,3
GSE136831,fibroblasts,Fibroblast,CCL2,T,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CCL2,T_Cytotoxic,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CCL2,T_Regulatory,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CCL2,VE_Arterial,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CCL2,VE_Capillary_A,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CCL2,VE_Capillary_B,False,ACKR4,1,022I,3
GSE136831,fibroblasts,Fibroblast,CCL2,VE_Peribronchial,False,ACKR1;ACKR2;ACKR4,3,021I;022I;138I,3
GSE136831,fibroblasts,Fibroblast,CCL2,VE_Venous,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CCL2,cDC1,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CCL2,cDC2,False,ACKR2;ACKR4,2,021I;022I,3
GSE136831,fibroblasts,Fibroblast,CCL2,cMonocyte,False,ACKR2,1,021I,3
GSE136831,fibroblasts,Fibroblast,CCL2,ncMonocyte,False,ACKR2,1,021I,3
GSE136831,fibroblasts,Fibroblast,CCL2,pDC,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,ATI,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,ATII,True,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,Aberrant_Basaloid,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,B,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,B_Plasma,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,Basal,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,Ciliated,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,Club,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,DC_Langerhans,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,DC_Mature,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,Fibroblast,False,ACKR1,1,138I,3
GSE136831,fibroblasts,Fibroblast,CXCL1,Goblet,False,ACKR1,1,138I,3
GSE136831,fibroblasts,Fibroblast,CXCL1,ILC_A,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,ILC_B,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,Ionocyte,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,Lymphatic,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,Macrophage,True,ACKR1,1,138I,3
GSE136831,fibroblasts,Fibroblast,CXCL1,Macrophage_Alveolar,True,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,Mast,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,Mesothelial,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,Myofibroblast,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,NK,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,PNEC,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,Pericyte,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,SMC,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,T,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,T_Cytotoxic,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,T_Regulatory,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,VE_Arterial,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,VE_Capillary_A,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,VE_Capillary_B,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,VE_Peribronchial,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,VE_Venous,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,cDC1,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,cDC2,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,cMonocyte,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,ncMonocyte,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL1,pDC,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,ATI,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,ATII,True,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,Aberrant_Basaloid,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,B,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,B_Plasma,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,Basal,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,Ciliated,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,Club,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,DC_Langerhans,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,DC_Mature,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,Fibroblast,False,ACKR3;CD4;CXCR4;DPP4;ITGB1,10,010I;021I;022I;040I;041I;051I;135I;138I;174I;228I,3
GSE136831,fibroblasts,Fibroblast,CXCL12,Goblet,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,ILC_A,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,ILC_B,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,Ionocyte,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,Lymphatic,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,Macrophage,True,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,Macrophage_Alveolar,True,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,Mast,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,Mesothelial,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,Myofibroblast,False,ACKR3;CD4;CXCR4;DPP4;ITGB1,6,021I;022I;040I;051I;138I;228I,3
GSE136831,fibroblasts,Fibroblast,CXCL12,NK,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,PNEC,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,Pericyte,False,ACKR3;ITGB1,1,022I,3
GSE136831,fibroblasts,Fibroblast,CXCL12,SMC,False,ACKR3;CD4;CXCR4;DPP4;ITGB1,3,021I;022I;138I,3
GSE136831,fibroblasts,Fibroblast,CXCL12,T,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,T_Cytotoxic,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,T_Regulatory,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,VE_Arterial,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,VE_Capillary_A,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,VE_Capillary_B,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,VE_Peribronchial,False,ACKR3;CD4;CXCR4;DPP4;ITGB1,7,021I;022I;040I;041I;051I;138I;228I,3
GSE136831,fibroblasts,Fibroblast,CXCL12,VE_Venous,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,cDC1,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,cDC2,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,cMonocyte,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,ncMonocyte,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL12,pDC,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,ATI,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,ATII,True,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,Aberrant_Basaloid,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,B,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,B_Plasma,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,Basal,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,Ciliated,False,ACKR1;DPP4,1,138I,3
GSE136831,fibroblasts,Fibroblast,CXCL2,Club,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,DC_Langerhans,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,DC_Mature,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,Fibroblast,False,ACKR1;DPP4,2,041I;138I,3
GSE136831,fibroblasts,Fibroblast,CXCL2,Goblet,False,ACKR1;DPP4,1,138I,3
GSE136831,fibroblasts,Fibroblast,CXCL2,ILC_A,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,ILC_B,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,Ionocyte,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,Lymphatic,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,Macrophage,True,ACKR1;DPP4,2,041I;138I,3
GSE136831,fibroblasts,Fibroblast,CXCL2,Macrophage_Alveolar,True,DPP4,1,041I,3
GSE136831,fibroblasts,Fibroblast,CXCL2,Mast,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,Mesothelial,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,Myofibroblast,False,ACKR1;DPP4,1,138I,3
GSE136831,fibroblasts,Fibroblast,CXCL2,NK,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,PNEC,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,Pericyte,False,,0,,3
GSE136831,fibroblasts,Fibroblast,CXCL2,SMC,False,ACKR1;DPP4,1,138I,3
