cluster,n_cells,call,mode_fraction,confident,n_Areg-flox/+,n_Areg-flox/flox
0,671,adventitial fibroblast,1.0,True,350,321
1,1076,adventitial fibroblast,0.742,True,288,788
2,544,reprogrammed fibroblast,0.432,False,510,34
3,1244,alveolar fibroblast,0.872,True,317,927
4,789,adventitial fibroblast,0.982,True,307,482
5,92,alveolar fibroblast,0.739,True,47,45
6,1171,alveolar fibroblast,0.994,True,273,898
7,277,adventitial fibroblast,1.0,True,179,98
8,82,adventitial fibroblast,0.622,True,26,56
