library,genotype,sort,barcodes,kept_after_qc,median_genes,doublet_call_method,doublets_removed,cells_analysed,BSD_detected_fraction
Expt3_Het_niche,Areg-flox/+,niche,8541,7367,2615,top 5.89% of scores (automatic rejected: it called 0.00%),445,6922,0.0506
Expt3_Hom_niche,Areg-flox/flox,niche,10891,9844,2750,scrublet automatic threshold,356,9488,0.0284
Expt3_Het_RFP,Areg-flox/+,RFP+ epithelium,7395,6531,3874,top 5.22% of scores (automatic rejected: it called 0.11%),396,6135,0.4137
Expt3_Hom_RFP,Areg-flox/flox,RFP+ epithelium,6929,5489,3545,top 4.39% of scores (automatic rejected: it called 0.07%),274,5215,0.4594
