library,timepoint,genotype,replicate,cells,total_counts,Il1r1,wnt_module
GSM7890839_Expt2_ConfettiRFPr1,Confetti,control,r1,1987,9630032,0.1308,1.7425
GSM7890840_Expt2_ConfettiRFPr2,Confetti,control,r2,2780,8680640,0.1313,1.5932
GSM7890841_Expt2_2wRFP_hetr1,2w,het,r1,983,8727216,0.2017,1.3143
GSM7890842_Expt2_2wRFP_hetr2,2w,het,r2,973,8150914,0.1619,0.8846
GSM7890843_Expt2_2wRFP_homr1,2w,hom,r1,1015,7342503,0.1607,1.5417
GSM7890844_Expt2_2wRFP_homr2,2w,hom,r2,784,5518836,0.1866,1.3463
GSM7890845_Expt2_12wRFP_hetr1,12w,het,r1,2648,10052356,0.199,1.5578
GSM7890846_Expt2_12wRFP_hetr2,12w,het,r2,2146,10242572,0.0947,1.4362
GSM7890847_Expt2_12wRFP_homr1,12w,hom,r1,2255,10449527,0.2,1.7522
GSM7890848_Expt2_12wRFP_homr2,12w,hom,r2,1998,8922948,0.1222,1.4838
