"compartment","label","donor","disease","cells"
"AT2","AT2","THD0001","control",1219
"AT2","AT2","THD0002","control",1044
"AT2","AT2","TILD028","IPF",61
"AT2","AT2","VUHD071","control",98
"AT2","AT2","VUHD65","control",328
"AT2","AT2","VUHD66","control",504
"AT2","AT2","VUHD67","control",1120
"AT2","AT2","VUILD53","IPF",109
"AT2","AT2","VUILD59","IPF",1838
"AT2","AT2","VUILD60","IPF",137
"AT2","AT2","VUILD61","IPF",395
"AT2","AT2","VUILD63","IPF",99
"AT2","AT2","VUILD64","IPF",428
"AT2","AT2","VUILD65","IPF",72
"fibroblasts","__broad__","TILD001","IPF",1069
"fibroblasts","__broad__","TILD006","IPF",161
"fibroblasts","__broad__","TILD010","IPF",57
"fibroblasts","__broad__","TILD015","IPF",130
"fibroblasts","__broad__","TILD028","IPF",144
"fibroblasts","__broad__","VUHD65","control",57
"fibroblasts","__broad__","VUHD66","control",113
"fibroblasts","__broad__","VUHD67","control",52
"fibroblasts","__broad__","VUILD53","IPF",66
"fibroblasts","__broad__","VUILD59","IPF",612
"macrophages","__broad__","THD0001","control",295
"macrophages","__broad__","THD0002","control",755
"macrophages","__broad__","THD0005","control",969
"macrophages","__broad__","TILD001","IPF",435
"macrophages","__broad__","TILD006","IPF",2200
"macrophages","__broad__","TILD010","IPF",774
"macrophages","__broad__","TILD015","IPF",2440
"macrophages","__broad__","TILD028","IPF",1824
"macrophages","__broad__","VUHD071","control",1934
"macrophages","__broad__","VUHD65","control",830
"macrophages","__broad__","VUHD66","control",180
"macrophages","__broad__","VUHD67","control",2082
"macrophages","__broad__","VUHD68","control",4590
"macrophages","__broad__","VUHD70","control",549
"macrophages","__broad__","VUILD53","IPF",389
"macrophages","__broad__","VUILD59","IPF",5869
"macrophages","__broad__","VUILD60","IPF",1062
"macrophages","__broad__","VUILD61","IPF",993
"macrophages","__broad__","VUILD63","IPF",346
"macrophages","__broad__","VUILD64","IPF",141
"macrophages","__broad__","VUILD65","IPF",847
"macrophages","Macrophages","THD0001","control",292
"macrophages","Macrophages","THD0002","control",748
"macrophages","Macrophages","THD0005","control",958
"macrophages","Macrophages","TILD001","IPF",431
"macrophages","Macrophages","TILD006","IPF",2122
"macrophages","Macrophages","TILD010","IPF",741
"macrophages","Macrophages","TILD015","IPF",2422
"macrophages","Macrophages","TILD028","IPF",1799
"macrophages","Macrophages","VUHD071","control",1923
"macrophages","Macrophages","VUHD65","control",791
"macrophages","Macrophages","VUHD66","control",169
"macrophages","Macrophages","VUHD67","control",2073
"macrophages","Macrophages","VUHD68","control",4492
"macrophages","Macrophages","VUHD70","control",538
"macrophages","Macrophages","VUILD53","IPF",380
"macrophages","Macrophages","VUILD59","IPF",5372
"macrophages","Macrophages","VUILD60","IPF",1011
"macrophages","Macrophages","VUILD61","IPF",971
"macrophages","Macrophages","VUILD63","IPF",322
"macrophages","Macrophages","VUILD64","IPF",135
"macrophages","Macrophages","VUILD65","IPF",801
