"compartment","label","direction","gene"
"AT2","AT2","up","ABCA2"
"AT2","AT2","up","ABCA7"
"AT2","AT2","up","ABCC3"
"AT2","AT2","up","ABCC5"
"AT2","AT2","up","ABI2"
"AT2","AT2","up","ABLIM1"
"AT2","AT2","up","ABLIM3"
"AT2","AT2","up","ABR"
"AT2","AT2","up","ACOX2"
"AT2","AT2","up","ACSL4"
"AT2","AT2","up","ACSS3"
"AT2","AT2","up","ADGRF1"
"AT2","AT2","up","ADGRG1"
"AT2","AT2","up","ADRB1"
"AT2","AT2","up","AEN"
"AT2","AT2","up","AGPAT1"
"AT2","AT2","up","AGRN"
"AT2","AT2","up","AGTR2"
"AT2","AT2","up","AKR1B1"
"AT2","AT2","up","ALDH3A2"
"AT2","AT2","up","ALPK3"
"AT2","AT2","up","AMPD2"
"AT2","AT2","up","ANGPTL4"
"AT2","AT2","up","ANKRD40"
"AT2","AT2","up","ANTXR2"
"AT2","AT2","up","AP1S2"
"AT2","AT2","up","APOBEC3C"
"AT2","AT2","up","AQP7"
"AT2","AT2","up","ARAP2"
"AT2","AT2","up","AREG"
"AT2","AT2","up","ARFGAP1"
"AT2","AT2","up","ARHGAP23"
"AT2","AT2","up","ARHGAP27"
"AT2","AT2","up","ARHGEF17"
"AT2","AT2","up","ARHGEF3"
"AT2","AT2","up","ARMC7"
"AT2","AT2","up","ARNT2"
"AT2","AT2","up","ARPC4"
"AT2","AT2","up","ARSJ"
"AT2","AT2","up","ASPHD1"
"AT2","AT2","up","ATP6V0A4"
"AT2","AT2","up","ATP9A"
"AT2","AT2","up","AURKA"
"AT2","AT2","up","B4GALT2"
"AT2","AT2","up","B4GALT5"
"AT2","AT2","up","BATF"
"AT2","AT2","up","BCL11A"
"AT2","AT2","up","BCR"
"AT2","AT2","up","BMP2K"
"AT2","AT2","up","BORCS8"
"AT2","AT2","up","C12orf75"
"AT2","AT2","up","C20orf85"
"AT2","AT2","up","C3orf52"
"AT2","AT2","up","C4orf48"
"AT2","AT2","up","C5"
"AT2","AT2","up","CAB39"
"AT2","AT2","up","CAMK1D"
"AT2","AT2","up","CCDC68"
"AT2","AT2","up","CCDC71L"
"AT2","AT2","up","CCDC88A"
"AT2","AT2","up","CCDC88B"
"AT2","AT2","up","CCND1"
"AT2","AT2","up","CD24"
"AT2","AT2","up","CDC14B"
"AT2","AT2","up","CDC42BPG"
"AT2","AT2","up","CDCA7"
"AT2","AT2","up","CDH3"
"AT2","AT2","up","CDHR3"
"AT2","AT2","up","CDKN1A"
"AT2","AT2","up","CDKN2C"
"AT2","AT2","up","CEP41"
"AT2","AT2","up","CERS6"
"AT2","AT2","up","CHD3"
"AT2","AT2","up","CHST15"
"AT2","AT2","up","CIITA"
"AT2","AT2","up","CITED1"
"AT2","AT2","up","CLDN2"
"AT2","AT2","up","CLIP4"
"AT2","AT2","up","CMTM4"
"AT2","AT2","up","CNTN1"
"AT2","AT2","up","COL16A1"
"AT2","AT2","up","COL27A1"
"AT2","AT2","up","COL8A1"
"AT2","AT2","up","CP"
"AT2","AT2","up","CRACR2B"
"AT2","AT2","up","CRIP1"
"AT2","AT2","up","CRIP2"
"AT2","AT2","up","CRYAB"
"AT2","AT2","up","CST6"
"AT2","AT2","up","CTDSPL"
"AT2","AT2","up","CTTN"
"AT2","AT2","up","CXCL14"
"AT2","AT2","up","CYGB"
"AT2","AT2","up","DAB2"
"AT2","AT2","up","DDC"
"AT2","AT2","up","DENND5A"
"AT2","AT2","up","DHX32"
"AT2","AT2","up","DLG4"
"AT2","AT2","up","DLGAP1"
"AT2","AT2","up","DNAH10"
"AT2","AT2","up","DNALI1"
"AT2","AT2","up","DPY19L1"
"AT2","AT2","up","DST"
"AT2","AT2","up","DTX3L"
"AT2","AT2","up","DUSP6"
"AT2","AT2","up","DVL3"
"AT2","AT2","up","E2F3"
"AT2","AT2","up","ECE1"
"AT2","AT2","up","ECM1"
"AT2","AT2","up","EFNA5"
"AT2","AT2","up","EIF4G3"
"AT2","AT2","up","ELK3"
"AT2","AT2","up","EMB"
"AT2","AT2","up","EME2"
"AT2","AT2","up","EMP3"
"AT2","AT2","up","ENAH"
"AT2","AT2","up","ENG"
"AT2","AT2","up","EPS8L1"
"AT2","AT2","up","ERAP2"
"AT2","AT2","up","EXT1"
"AT2","AT2","up","F8A1"
"AT2","AT2","up","FAM102A"
"AT2","AT2","up","FAM107B"
"AT2","AT2","up","FAM183A"
"AT2","AT2","up","FAM189A2"
"AT2","AT2","up","FAM222B"
"AT2","AT2","up","FAM27C"
"AT2","AT2","up","FAM81B"
"AT2","AT2","up","FAS"
"AT2","AT2","up","FAXC"
"AT2","AT2","up","FBLN5"
"AT2","AT2","up","FCGR2A"
"AT2","AT2","up","FGF7"
"AT2","AT2","up","FITM2"
"AT2","AT2","up","FLVCR1"
"AT2","AT2","up","FMOD"
"AT2","AT2","up","FN1"
"AT2","AT2","up","FOXJ1"
"AT2","AT2","up","GABBR1"
"AT2","AT2","up","GADD45A"
"AT2","AT2","up","GALNT1"
"AT2","AT2","up","GAS6"
"AT2","AT2","up","GJA1"
"AT2","AT2","up","GNAS"
"AT2","AT2","up","GNG12"
"AT2","AT2","up","GNLY"
"AT2","AT2","up","GOLGA3"
"AT2","AT2","up","GPRIN3"
"AT2","AT2","up","GRAMD4"
"AT2","AT2","up","GRB14"
"AT2","AT2","up","GSDMB"
"AT2","AT2","up","GSN"
"AT2","AT2","up","GTPBP2"
"AT2","AT2","up","GUCY2D"
"AT2","AT2","up","HABP2"
"AT2","AT2","up","HABP4"
"AT2","AT2","up","HAGLR"
"AT2","AT2","up","HDAC10"
"AT2","AT2","up","HERC6"
"AT2","AT2","up","HEXIM1"
"AT2","AT2","up","HID1"
"AT2","AT2","up","HIP1"
"AT2","AT2","up","HIP1R"
"AT2","AT2","up","HIVEP2"
"AT2","AT2","up","HKDC1"
"AT2","AT2","up","HLA-DOA"
"AT2","AT2","up","HNRNPUL2"
"AT2","AT2","up","HSF4"
"AT2","AT2","up","HTRA1"
"AT2","AT2","up","IFI16"
"AT2","AT2","up","IGFBP6"
"AT2","AT2","up","IL32"
"AT2","AT2","up","IL33"
"AT2","AT2","up","INF2"
"AT2","AT2","up","ISYNA1"
"AT2","AT2","up","ITGA1"
"AT2","AT2","up","ITGA2"
"AT2","AT2","up","ITGB5"
"AT2","AT2","up","ITGB6"
"AT2","AT2","up","JAG2"
"AT2","AT2","up","JCHAIN"
"AT2","AT2","up","KCNC3"
"AT2","AT2","up","KCNJ5"
"AT2","AT2","up","KCNK1"
"AT2","AT2","up","KCNQ3"
"AT2","AT2","up","KCTD2"
"AT2","AT2","up","KIAA0930"
"AT2","AT2","up","KIFC2"
"AT2","AT2","up","KLF12"
"AT2","AT2","up","KLHL2"
"AT2","AT2","up","KRT8"
"AT2","AT2","up","LAMC2"
"AT2","AT2","up","LASP1"
"AT2","AT2","up","LBH"
"AT2","AT2","up","LCAT"
"AT2","AT2","up","LGALS1"
"AT2","AT2","up","LIF"
"AT2","AT2","up","LINC01106"
"AT2","AT2","up","LINC01123"
"AT2","AT2","up","LONRF2"
"AT2","AT2","up","LPCAT1"
"AT2","AT2","up","LPIN3"
"AT2","AT2","up","LRCH2"
"AT2","AT2","up","LRP1"
"AT2","AT2","up","LRP3"
"AT2","AT2","up","LTBP3"
"AT2","AT2","up","LY96"
"AT2","AT2","up","LZTR1"
"AT2","AT2","up","MAFK"
"AT2","AT2","up","MAN1C1"
"AT2","AT2","up","MAP3K5"
"AT2","AT2","up","MAP4K4"
"AT2","AT2","up","MAPKAPK2"
"AT2","AT2","up","MARCKSL1"
"AT2","AT2","up","MBD3"
"AT2","AT2","up","MCTP2"
"AT2","AT2","up","MDFIC"
"AT2","AT2","up","MDK"
"AT2","AT2","up","MDM2"
"AT2","AT2","up","ME1"
"AT2","AT2","up","MED22"
"AT2","AT2","up","MEGF11"
"AT2","AT2","up","MICAL1"
"AT2","AT2","up","MICAL2"
"AT2","AT2","up","MICALL2"
"AT2","AT2","up","MIR4435-2HG"
"AT2","AT2","up","MLLT1"
"AT2","AT2","up","MOB1B"
"AT2","AT2","up","MOB3B"
"AT2","AT2","up","MORC4"
"AT2","AT2","up","MSI2"
"AT2","AT2","up","MST1R"
"AT2","AT2","up","MT-ND4"
"AT2","AT2","up","MTHFD1L"
"AT2","AT2","up","MTMR10"
"AT2","AT2","up","MTMR3"
"AT2","AT2","up","MTSS1"
"AT2","AT2","up","MYADM"
"AT2","AT2","up","MYEF2"
"AT2","AT2","up","MYO1G"
"AT2","AT2","up","NAB1"
"AT2","AT2","up","NACC2"
"AT2","AT2","up","NAV2"
"AT2","AT2","up","NCDN"
"AT2","AT2","up","NFATC1"
"AT2","AT2","up","NFATC4"
"AT2","AT2","up","NKX2-1-AS1"
"AT2","AT2","up","NNMT"
"AT2","AT2","up","NOMO1"
"AT2","AT2","up","NSMF"
"AT2","AT2","up","NUDT3"
"AT2","AT2","up","NUP210"
"AT2","AT2","up","NXN"
"AT2","AT2","up","OGFRL1"
"AT2","AT2","up","OPTN"
"AT2","AT2","up","OSBPL10"
"AT2","AT2","up","OSBPL6"
"AT2","AT2","up","OTUD3"
"AT2","AT2","up","PAFAH1B2"
"AT2","AT2","up","PAG1"
"AT2","AT2","up","PALLD"
"AT2","AT2","up","PALM3"
"AT2","AT2","up","PAM"
"AT2","AT2","up","PCSK1N"
"AT2","AT2","up","PDE8A"
"AT2","AT2","up","PDE9A"
"AT2","AT2","up","PDGFA"
"AT2","AT2","up","PDLIM4"
"AT2","AT2","up","PECAM1"
"AT2","AT2","up","PFKP"
"AT2","AT2","up","PHLDA1"
"AT2","AT2","up","PHLDA2"
"AT2","AT2","up","PHLDA3"
"AT2","AT2","up","PHTF1"
"AT2","AT2","up","PIEZO1"
"AT2","AT2","up","PKD2"
"AT2","AT2","up","PKIA"
"AT2","AT2","up","PLK3"
"AT2","AT2","up","PLPP2"
"AT2","AT2","up","PLPP3"
"AT2","AT2","up","PLXNA1"
"AT2","AT2","up","PLXNA3"
"AT2","AT2","up","PLXNB1"
"AT2","AT2","up","PLXNB2"
"AT2","AT2","up","PMEPA1"
"AT2","AT2","up","PPP1R12B"
"AT2","AT2","up","PPP1R12C"
"AT2","AT2","up","PPP1R14B"
"AT2","AT2","up","PPP2CB"
"AT2","AT2","up","PPP4R1"
"AT2","AT2","up","PRKAR1B"
"AT2","AT2","up","PROM2"
"AT2","AT2","up","PSD3"
"AT2","AT2","up","PSTPIP2"
"AT2","AT2","up","PTPRN2"
"AT2","AT2","up","PYGO1"
"AT2","AT2","up","RAB27B"
"AT2","AT2","up","RAB31"
"AT2","AT2","up","RAP2C"
"AT2","AT2","up","RAPGEF3"
"AT2","AT2","up","RARRES2"
"AT2","AT2","up","RASGRP1"
"AT2","AT2","up","RASGRP3"
"AT2","AT2","up","RASSF3"
"AT2","AT2","up","RCAN2"
"AT2","AT2","up","RCC2"
"AT2","AT2","up","REC8"
"AT2","AT2","up","RFFL"
"AT2","AT2","up","RFX2"
"AT2","AT2","up","RGCC"
"AT2","AT2","up","RGL2"
"AT2","AT2","up","RGN"
