sample_id,geo_sample_name,euthanasia,genotype,sex,round
EEM-scRNA-113,Ki67Cre_H1N1_tam02_sac06_rep1,6 dpi,Ki67Cre/Cre; ROSA26LSL-tdTm/+,F,2021-10-21
EEM-scRNA-116,Ki67Cre_H1N1_tam07_sac11_rep1,11 dpi,Ki67Cre/Cre; ROSA26LSL-tdTm/+,M,2021-10-21
EEM-scRNA-117,Ki67Cre_H1N1_tam14_sac19_rep1,19 dpi,Ki67Cre/+; ROSA26LSL-tdTm/+,M,2021-10-21
EEM-scRNA-118,Ki67Cre_H1N1_tam21_sac25_rep1,25 dpi,Ki67Cre/Cre; ROSA26LSL-tdTm/+,M,2021-10-21
EEM-scRNA-124,Ki67Cre_H1N1_tam02_sac42_rep1,42 dpi,Ki67Cre/Cre; ROSA26LSL-tdTm/+,F,2021-10-21
EEM-scRNA-125,Ki67Cre_H1N1_tam07_sac42_rep1,42 dpi,Ki67Cre/Cre; ROSA26LSL-tdTm/+,M,2021-10-21
EEM-scRNA-126,Ki67Cre_H1N1_tam14_sac42_rep1,42 dpi,Ki67Cre/+; ROSA26LSL-tdTm/+,M,2021-10-21
EEM-scRNA-127,Ki67Cre_H1N1_tam21_sac42_rep1,42 dpi,Ki67Cre/Cre; ROSA26LSL-tdTm/+,M,2021-10-21
EEM-scRNA-166,Mouse_Terren_Ki67_Homeostasis_D3_Repeat,homeostasis,Ki67Cre/+; ROSA26LSL-tdTm/+,F,uninfected
EEM-scRNA-158,Mouse_Terren_Ki67_Homeostasis_D42,homeostasis,Ki67Cre/+; ROSA26LSL-tdTm/+,F,uninfected
EEM-scRNA-162,Ki67Cre_H1N1_tam02_sac06_rep2,6 dpi,Ki67Cre/+; ROSA26LSL-tdTm/+,M,2022-07-06
EEM-scRNA-167,Ki67Cre_H1N1_tam07_sac11_rep2,11 dpi,Ki67Cre/+; ROSA26LSL-tdTm/+,M,2022-07-06
EEM-scRNA-170,Ki67Cre_H1N1_tam14_sac19_rep2,19 dpi,Ki67Cre/+; ROSA26LSL-tdTm/+,F,2022-07-06
EEM-scRNA-172,Ki67Cre_H1N1_tam21_sac25_rep2,25 dpi,Ki67Cre/+; ROSA26LSL-tdTm/+,F,2022-07-06
EEM-scRNA-179,Ki67Cre_H1N1_tam02_sac42_rep2,42 dpi,Ki67Cre/+; ROSA26LSL-tdTm/+,M,2022-07-06
EEM-scRNA-180,Ki67Cre_H1N1_tam07_sac42_rep2,42 dpi,Ki67Cre/+; ROSA26LSL-tdTm/+,F,2022-07-06
EEM-scRNA-181,Ki67Cre_H1N1_tam14_sac42_rep2,42 dpi,Ki67Cre/+; ROSA26LSL-tdTm/+,F,2022-07-06
EEM-scRNA-182,Ki67Cre_H1N1_tam21_sac42_rep2,42 dpi,Ki67Cre/+; ROSA26LSL-tdTm/+,M,2022-07-06
EEM-scRNA-236,Ki67Cre_H1N1_tam02_sac90_rep1,90 dpi,Ki67Cre/Cre; ROSA26LSL-tdTm/+,M,2022-12-06
EEM-scRNA-237,Ki67Cre_H1N1_tam07_sac90_rep1,90 dpi,Ki67Cre/+; ROSA26LSL-tdTm/+,M,2022-12-06
EEM-scRNA-238,Ki67Cre_H1N1_tam14_sac90_rep1,90 dpi,Ki67Cre/+; ROSA26LSL-tdTm/+,M,2022-12-06
EEM-scRNA-239,Ki67Cre_H1N1_tam21_sac90_rep1,90 dpi,Ki67Cre/+; ROSA26LSL-tdTm/+,M,2022-12-06
EEM-scRNA-312,Ki67Cre_H1N1_tam07_sac366_rep1,366 dpi,Ki67Cre/+; ROSA26LSL-tdTm/+,F,2022-12-06
EEM-scRNA-310,Ki67Cre_H1N1_tam14_sac366_rep1,366 dpi,Ki67Cre/+; ROSA26LSL-tdTm/+,M,2022-12-06
EEM-scRNA-311,Ki67Cre_H1N1_tam14_sac366_rep2,366 dpi,Ki67Cre/+; ROSA26LSL-tdTm/+,F,2022-12-06
EEM-scRNA-249,KitMCM_H1N1_tam-pre_sac19_rep1,19 dpi,KitMerCreMer/+; ROSA26LSL-tdTm/+,M,2023-04-21
EEM-scRNA-250,KitMCM_H1N1_tam-pre_sac19_rep2,19 dpi,KitMerCreMer/+; ROSA26LSL-tdTm/+,M,2023-04-21
EEM-scRNA-251,KitMCM_H1N1_tam-pre_sac19_rep3,19 dpi,KitMerCreMer/+; ROSA26LSL-tdTm/+,M,2023-04-21
EEM-scRNA-288,Car4Cre_H1N1_tam-pre_sac19_rep1,19 dpi,Car4Cre/+; ROSA26LSL-tdTm/+,F,2023-08-24
EEM-scRNA-289,Car4Cre_H1N1_tam-pre_sac19_rep2,19 dpi,Car4Cre/+; ROSA26LSL-tdTm/+,F,2023-08-24
EEM-scRNA-290,EdnrbCre_H1N1_tam-pre_sac19_rep1,19 dpi,EdnrbCre/+; ROSA26LSL-tdTm/+,F,2023-08-24
EEM-scRNA-291,EdnrbCre_H1N1_tam-pre_sac19_rep2,19 dpi,EdnrbCre/+; ROSA26LSL-tdTm/+,F,2023-08-24
EEM-scRNA-292,EdnrbCre_H1N1_tam-pre_sac19_rep3,19 dpi,EdnrbCre/+; ROSA26LSL-tdTm/+,F,2023-08-24
