config,donor,disease,source,target
all_cells_primary,010I,IPF,Fibroblast,Macrophage
all_cells_primary,010I,IPF,Fibroblast,Macrophage_Alveolar
all_cells_primary,010I,IPF,Macrophage,Fibroblast
all_cells_primary,010I,IPF,Macrophage_Alveolar,Fibroblast
all_cells_primary,021I,IPF,Fibroblast,Macrophage
all_cells_primary,021I,IPF,Fibroblast,Macrophage_Alveolar
all_cells_primary,021I,IPF,Macrophage,Fibroblast
all_cells_primary,021I,IPF,Macrophage,Myofibroblast
all_cells_primary,021I,IPF,Macrophage_Alveolar,Fibroblast
all_cells_primary,021I,IPF,Macrophage_Alveolar,Myofibroblast
all_cells_primary,021I,IPF,Myofibroblast,Macrophage
all_cells_primary,021I,IPF,Myofibroblast,Macrophage_Alveolar
all_cells_primary,022I,IPF,ATII,Fibroblast
all_cells_primary,022I,IPF,ATII,Myofibroblast
all_cells_primary,022I,IPF,Fibroblast,ATII
all_cells_primary,022I,IPF,Fibroblast,Macrophage
all_cells_primary,022I,IPF,Fibroblast,Macrophage_Alveolar
all_cells_primary,022I,IPF,Macrophage,ATII
all_cells_primary,022I,IPF,Macrophage,Fibroblast
all_cells_primary,022I,IPF,Macrophage,Myofibroblast
all_cells_primary,022I,IPF,Macrophage_Alveolar,ATII
all_cells_primary,022I,IPF,Macrophage_Alveolar,Fibroblast
all_cells_primary,022I,IPF,Macrophage_Alveolar,Myofibroblast
all_cells_primary,022I,IPF,Myofibroblast,ATII
all_cells_primary,022I,IPF,Myofibroblast,Macrophage
all_cells_primary,022I,IPF,Myofibroblast,Macrophage_Alveolar
all_cells_primary,034I,IPF,Macrophage,Myofibroblast
all_cells_primary,034I,IPF,Myofibroblast,Macrophage
all_cells_primary,040I,IPF,Fibroblast,Macrophage
all_cells_primary,040I,IPF,Fibroblast,Macrophage_Alveolar
all_cells_primary,040I,IPF,Macrophage,Fibroblast
all_cells_primary,040I,IPF,Macrophage,Myofibroblast
all_cells_primary,040I,IPF,Macrophage_Alveolar,Fibroblast
all_cells_primary,040I,IPF,Macrophage_Alveolar,Myofibroblast
all_cells_primary,040I,IPF,Myofibroblast,Macrophage
all_cells_primary,040I,IPF,Myofibroblast,Macrophage_Alveolar
all_cells_primary,041I,IPF,Fibroblast,Macrophage
all_cells_primary,041I,IPF,Fibroblast,Macrophage_Alveolar
all_cells_primary,041I,IPF,Macrophage,Fibroblast
all_cells_primary,041I,IPF,Macrophage_Alveolar,Fibroblast
all_cells_primary,49I,IPF,Macrophage,Myofibroblast
all_cells_primary,49I,IPF,Macrophage_Alveolar,Myofibroblast
all_cells_primary,49I,IPF,Myofibroblast,Macrophage
all_cells_primary,49I,IPF,Myofibroblast,Macrophage_Alveolar
all_cells_primary,051I,IPF,Fibroblast,Macrophage
all_cells_primary,051I,IPF,Fibroblast,Macrophage_Alveolar
all_cells_primary,051I,IPF,Macrophage,Fibroblast
all_cells_primary,051I,IPF,Macrophage,Myofibroblast
all_cells_primary,051I,IPF,Macrophage_Alveolar,Fibroblast
all_cells_primary,051I,IPF,Macrophage_Alveolar,Myofibroblast
all_cells_primary,051I,IPF,Myofibroblast,Macrophage
all_cells_primary,051I,IPF,Myofibroblast,Macrophage_Alveolar
all_cells_primary,063I,IPF,Macrophage,Myofibroblast
all_cells_primary,063I,IPF,Macrophage_Alveolar,Myofibroblast
all_cells_primary,063I,IPF,Myofibroblast,Macrophage
all_cells_primary,063I,IPF,Myofibroblast,Macrophage_Alveolar
all_cells_primary,098C,control,ATII,Fibroblast
all_cells_primary,098C,control,Fibroblast,ATII
all_cells_primary,098C,control,Fibroblast,Macrophage
all_cells_primary,098C,control,Fibroblast,Macrophage_Alveolar
all_cells_primary,098C,control,Macrophage,ATII
all_cells_primary,098C,control,Macrophage,Fibroblast
all_cells_primary,098C,control,Macrophage_Alveolar,ATII
all_cells_primary,098C,control,Macrophage_Alveolar,Fibroblast
all_cells_primary,133C,control,Macrophage,ATII
all_cells_primary,133C,control,Macrophage_Alveolar,ATII
all_cells_primary,135I,IPF,Fibroblast,Macrophage
all_cells_primary,135I,IPF,Fibroblast,Macrophage_Alveolar
all_cells_primary,135I,IPF,Macrophage,Fibroblast
all_cells_primary,135I,IPF,Macrophage_Alveolar,Fibroblast
all_cells_primary,138I,IPF,Fibroblast,Macrophage
all_cells_primary,138I,IPF,Macrophage,Fibroblast
all_cells_primary,138I,IPF,Macrophage,Myofibroblast
all_cells_primary,138I,IPF,Myofibroblast,Macrophage
all_cells_primary,158I,IPF,Macrophage,ATII
all_cells_primary,158I,IPF,Macrophage_Alveolar,ATII
all_cells_primary,160C,control,Macrophage,ATII
all_cells_primary,160C,control,Macrophage_Alveolar,ATII
all_cells_primary,174I,IPF,Fibroblast,Macrophage
all_cells_primary,174I,IPF,Fibroblast,Macrophage_Alveolar
all_cells_primary,174I,IPF,Macrophage,Fibroblast
all_cells_primary,174I,IPF,Macrophage_Alveolar,Fibroblast
all_cells_primary,192C,control,ATII,Fibroblast
all_cells_primary,192C,control,Fibroblast,ATII
all_cells_primary,192C,control,Fibroblast,Macrophage
all_cells_primary,192C,control,Fibroblast,Macrophage_Alveolar
all_cells_primary,192C,control,Macrophage,ATII
all_cells_primary,192C,control,Macrophage,Fibroblast
all_cells_primary,192C,control,Macrophage_Alveolar,ATII
all_cells_primary,192C,control,Macrophage_Alveolar,Fibroblast
all_cells_primary,222C,control,ATII,Fibroblast
all_cells_primary,222C,control,ATII,Myofibroblast
all_cells_primary,222C,control,Fibroblast,ATII
all_cells_primary,222C,control,Fibroblast,Macrophage
all_cells_primary,222C,control,Fibroblast,Macrophage_Alveolar
all_cells_primary,222C,control,Macrophage,ATII
all_cells_primary,222C,control,Macrophage,Fibroblast
all_cells_primary,222C,control,Macrophage,Myofibroblast
all_cells_primary,222C,control,Macrophage_Alveolar,ATII
all_cells_primary,222C,control,Macrophage_Alveolar,Fibroblast
all_cells_primary,222C,control,Macrophage_Alveolar,Myofibroblast
all_cells_primary,222C,control,Myofibroblast,ATII
all_cells_primary,222C,control,Myofibroblast,Macrophage
all_cells_primary,222C,control,Myofibroblast,Macrophage_Alveolar
all_cells_primary,225I,IPF,ATII,Myofibroblast
all_cells_primary,225I,IPF,Macrophage,ATII
all_cells_primary,225I,IPF,Macrophage,Myofibroblast
all_cells_primary,225I,IPF,Macrophage_Alveolar,ATII
all_cells_primary,225I,IPF,Macrophage_Alveolar,Myofibroblast
all_cells_primary,225I,IPF,Myofibroblast,ATII
all_cells_primary,225I,IPF,Myofibroblast,Macrophage
all_cells_primary,225I,IPF,Myofibroblast,Macrophage_Alveolar
all_cells_primary,226C,control,Macrophage,ATII
all_cells_primary,226C,control,Macrophage_Alveolar,ATII
all_cells_primary,228I,IPF,Fibroblast,Macrophage
all_cells_primary,228I,IPF,Fibroblast,Macrophage_Alveolar
