group,Sftpc,Scgb1a1,Ptprc,Pecam1,Col1a1,ge3_of_5,ge2_of_5
cluster_23,0.989,0.9948,0.1387,0.6075,0.7263,0.8427,0.9924
random_comparator,0.1442,0.1724,0.137,0.4928,0.2644,0.0446,0.2174
