well,arm,dropped_gene,genes_left,atac_obs,atac_z,atac_clears
wildtype_SeV,AT2_identity,Etv5,8,-0.0025516096316877566,-1.1406074141307625,False
wildtype_SeV,AT2_identity,Abca3,8,-0.0015564323039751467,-0.9156526487224975,False
wildtype_SeV,AT2_identity,Cebpa,8,-0.003627928516096359,-1.8534877255725632,False
wildtype_SeV,AT2_identity,Lamp3,8,-0.00243435212720747,-1.1241252504871673,False
wildtype_SeV,AT2_identity,Sftpb,8,-0.002451045503275846,-1.0621970577970976,False
wildtype_SeV,AT2_identity,Slc34a2,8,-0.003098957161929692,-1.3793910166943446,False
wildtype_SeV,AT2_identity,Lyz2,8,-0.0018782540369296922,-1.1281867962934125,False
wildtype_SeV,AT2_identity,Napsa,8,-0.0003262172065725493,-0.2589153568057932,False
wildtype_SeV,AT2_identity,Pon1,8,-0.0019840483077630255,-0.9519411162346131,False
wildtype_SeV,transitional,Ndrg1,5,0.008685325091575092,2.8017611900424133,False
wildtype_SeV,transitional,Sprr1a,5,0.011654075091575091,3.541192159335295,True
wildtype_SeV,transitional,AW112010,5,0.012695741758241758,3.8776898993035966,True
wildtype_SeV,transitional,Sfn,5,0.004511217948717949,2.715702177257831,False
wildtype_SeV,transitional,Krt19,5,0.01117330586080586,3.2890684229196414,True
wildtype_SeV,transitional,Lgals3,5,0.009550709706959707,3.31915383828192,True
wildtype_SeV,AT1,Ager,4,0.0020470252403846155,0.41008234660306453,False
wildtype_SeV,AT1,Hopx,4,0.005220853365384616,0.9682659185503842,False
wildtype_SeV,AT1,Pdpn,4,0.003173828125,0.5297191609014443,False
wildtype_SeV,AT1,Cav1,4,0.0030235877403846155,0.44721852954962404,False
wildtype_SeV,AT1,Akap5,4,0.0025353064903846155,0.5223525366313431,False
7wk_Cebpa_mutant,AT2_identity,Etv5,7,-0.0021990740740740738,-1.416336341720062,False
7wk_Cebpa_mutant,AT2_identity,Abca3,7,-0.001465655706727135,-0.991577555667553,False
7wk_Cebpa_mutant,AT2_identity,Lamp3,7,-0.002110496976568405,-1.2658047994084418,False
7wk_Cebpa_mutant,AT2_identity,Sftpb,7,-0.0019120842781557065,-1.5589772029959028,False
7wk_Cebpa_mutant,AT2_identity,Slc34a2,7,-0.0022309618291761145,-1.5679105113307719,False
7wk_Cebpa_mutant,AT2_identity,Lyz2,7,-0.002358512849584278,-1.4893177075231647,False
7wk_Cebpa_mutant,AT2_identity,Napsa,7,-0.0016144652305366588,-1.4152661552213301,False
7wk_Cebpa_mutant,AT2_identity,Pon1,7,-0.002618339002267573,-1.5915620496642384,False
7wk_Cebpa_mutant,transitional,Ndrg1,5,0.0020947802197802206,0.7601827832665907,False
7wk_Cebpa_mutant,transitional,Sprr1a,5,0.0028600863422292002,1.1609714592210985,False
7wk_Cebpa_mutant,transitional,AW112010,5,0.0029716934850863436,1.306374543077906,False
7wk_Cebpa_mutant,transitional,Sfn,5,0.001520800627943485,0.5895454016021936,False
7wk_Cebpa_mutant,transitional,Krt19,5,0.002104591836734695,0.644824579726153,False
7wk_Cebpa_mutant,transitional,Lgals3,5,0.0027484791993720578,1.1051751446796612,False
7wk_Cebpa_mutant,AT1,Ager,4,0.00206043956043956,1.5140517834063227,False
7wk_Cebpa_mutant,AT1,Hopx,4,0.008198832417582416,1.8646512734945524,False
7wk_Cebpa_mutant,AT1,Pdpn,4,0.007254464285714284,1.6384827442986019,False
7wk_Cebpa_mutant,AT1,Cav1,4,0.008059323489010988,1.915978943409582,False
7wk_Cebpa_mutant,AT1,Akap5,4,0.00499012706043956,1.055037007345431,False
SeV_Cebpa_mutant,AT2_identity,Etv5,7,-0.0030996077377656328,-2.1169355362051934,False
SeV_Cebpa_mutant,AT2_identity,Abca3,7,-0.0018985921835524037,-1.6012529695810513,False
SeV_Cebpa_mutant,AT2_identity,Lamp3,7,-0.0026750361343384596,-1.7192180914316912,False
SeV_Cebpa_mutant,AT2_identity,Sftpb,7,-0.0033455826930429136,-2.8523191534599355,False
SeV_Cebpa_mutant,AT2_identity,Slc34a2,7,-0.0027598836698438903,-1.8439236111604964,False
SeV_Cebpa_mutant,AT2_identity,Lyz2,7,-0.002978137638097858,-1.8155702237091615,False
SeV_Cebpa_mutant,AT2_identity,Napsa,7,4.2695695235474805e-05,-0.24531724041962671,False
SeV_Cebpa_mutant,AT2_identity,Pon1,7,-0.0030390691052793253,-2.0465450083207584,False
SeV_Cebpa_mutant,transitional,Ndrg1,5,0.0039892399267399264,2.93273397610867,False
SeV_Cebpa_mutant,transitional,Sprr1a,5,0.004223614926739927,3.4577778017525365,True
SeV_Cebpa_mutant,transitional,AW112010,5,0.006046531593406594,4.505908369711225,True
SeV_Cebpa_mutant,transitional,Sfn,5,0.00613209706959707,6.1468709804596715,True
SeV_Cebpa_mutant,transitional,Krt19,5,0.005431547619047619,3.7686067787072863,True
SeV_Cebpa_mutant,transitional,Lgals3,5,0.005060668498168499,2.9120571648988247,False
SeV_Cebpa_mutant,AT1,Ager,4,-0.0010867745535714278,-0.7671474881080204,False
SeV_Cebpa_mutant,AT1,Hopx,4,-0.003186383928571428,-1.1655175391918753,False
SeV_Cebpa_mutant,AT1,Pdpn,4,-0.0018261718749999995,-0.7344243950175119,False
SeV_Cebpa_mutant,AT1,Cav1,4,-0.001887555803571428,-0.7955630806884036,False
SeV_Cebpa_mutant,AT1,Akap5,4,-0.001828962053571429,-0.7396287218640499,False
