group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,Socs3,66.67972,2.2601361,0.0,0.0,0.9697092084006462,0.5643449178420823
0,Ier3,66.06514,1.968464,0.0,0.0,0.994345718901454,0.7719936018612767
0,Cd93,61.554855,1.8557013,0.0,0.0,0.9939418416801292,0.7269885124327469
0,Atf3,58.608746,2.254143,0.0,0.0,0.9127625201938611,0.460665988076196
0,Jun,56.280083,1.3369347,0.0,0.0,0.999394184168013,0.8902864621201105
0,Adamts1,55.09745,1.8906213,0.0,0.0,0.9424474959612278,0.5755416606078232
0,Junb,54.98484,1.6637747,0.0,0.0,0.9959612277867528,0.7902428384469973
0,Ppp1r15a,53.716232,1.7752599,0.0,0.0,0.9293214862681745,0.5430420241384325
0,Epas1,52.666256,1.2141753,0.0,0.0,0.9987883683360258,0.8867965682710485
0,Glp1r,51.456295,1.8278992,0.0,0.0,0.8970113085621971,0.4676457757743202
0,Cdkn1a,50.194584,1.7831843,0.0,0.0,0.9105411954765751,0.5407154282390577
0,Sema3c,50.06907,1.7747186,0.0,0.0,0.9749596122778675,0.7089573942125927
0,Egr1,49.95684,1.8779361,0.0,0.0,0.9293214862681745,0.5897920604914934
0,Fos,49.187195,1.7424155,0.0,0.0,0.9903069466882067,0.7352770103242693
0,Cemip2,48.645283,1.6647668,0.0,0.0,0.9533521809369951,0.6064417623963938
0,Hpgd,48.423473,1.753346,0.0,0.0,0.9812197092084006,0.7637778100916097
0,Zfp36,47.74013,1.5699502,0.0,0.0,0.9563812600969306,0.6273084193689109
0,Sertad1,47.600876,1.6030982,0.0,0.0,0.8467285945072698,0.43798167805729243
0,Ier2,47.24753,1.4467069,0.0,0.0,0.9838449111470113,0.736803838883234
0,Irf1,46.706554,1.5732789,0.0,0.0,0.8499596122778675,0.4899665551839465
1,Atp13a3,32.340908,5.742885,1.862094755645787e-229,6.001158978495242e-225,0.8961303462321792,0.11655229206697777
1,Vwf,30.376093,4.2747345,1.1367509308023552e-202,1.8317604498949153e-198,0.9205702647657841,0.2909689816085644
1,Tm4sf1,30.36073,2.097801,1.8134350672990806e-202,1.9481128449638256e-198,0.9959266802443992,0.837880867416964
1,Plac8,29.442959,3.7616825,1.54940386864226e-190,1.2483546969650689e-186,0.9164969450101833,0.334449629426297
1,Adgrg6,28.38572,5.112595,3.0346754862030274e-177,1.9560304313870233e-173,0.7942973523421588,0.08844359044743344
1,Gja5,27.993782,5.496716,1.9341689562001856e-172,1.0389066186736597e-168,0.769857433808554,0.05160581937963217
1,Ltbp4,27.639086,3.5595953,3.7750544457832033e-168,1.738035066838587e-164,0.869653767820774,0.284326104858633
1,Plat,26.866957,3.2979188,5.345520751036119e-159,2.1534430345549004e-155,0.8574338085539714,0.2931649739225913
1,Utrn,25.196476,2.358111,4.37813929760141e-140,1.5677630364788694e-136,0.90020366598778,0.5300027449903926
1,Fbln2,25.185074,4.5001593,5.83771248716205e-140,1.8813779803625853e-136,0.7311608961303462,0.13735931924238265
1,Sulf1,25.139904,4.373818,1.822339391042536e-139,5.339123081319896e-136,0.7270875763747454,0.11830908591819929
1,Gata6,24.018759,3.3389063,1.7710784835067602e-127,4.3906397974196816e-124,0.7433808553971487,0.18929453746911887
1,Sat1,23.671722,2.283299,7.053129401554095e-124,1.623630388237753e-120,0.924643584521385,0.618611034861378
1,Efnb2,23.441828,1.9681655,1.6016662347209398e-121,3.44123329417243e-118,0.9613034623217923,0.656986000548998
1,Igfbp4,23.30678,2.2526667,3.784242943702063e-120,7.174034211154711e-117,0.9144602851323829,0.5745813889651387
1,Fstl1,23.012228,2.721016,3.516454265435958e-117,6.296016003692781e-114,0.7881873727087576,0.2807027175404886
1,Mecom,22.894838,3.5214152,5.230242651227122e-116,8.871592640197247e-113,0.6965376782077393,0.13615152346966786
1,Psen2,22.795729,3.7431061,5.054915941447522e-115,8.145491548048537e-112,0.6883910386965377,0.15712325006862476
1,Cd55,22.75947,5.1031084,1.1563636860779247e-114,1.7746328035675885e-111,0.6354378818737271,0.05308811419160033
1,Tsc22d1,22.755163,2.0080369,1.2756720779803917e-114,1.8687436240523667e-111,0.9185336048879837,0.5866044468844359
10,Vwf,40.201466,5.315186,0.0,0.0,0.9904153354632588,0.2838495575221239
10,Prss23,35.840153,4.392973,2.6183417394440992e-281,4.2191958789402216e-277,0.9217252396166135,0.24596238938053097
10,Samd5,34.828312,4.6778812,9.06923978384824e-266,9.742781991795369e-262,0.8722044728434505,0.14629424778761063
10,Slc6a2,33.281147,7.3179708,7.236608677356556e-243,5.830535611346177e-239,0.7939297124600639,0.025221238938053097
10,Lyve1,30.881975,3.0679653,2.0856057851802834e-209,1.3442980648958035e-205,0.9313099041533547,0.4004424778761062
10,Csrp2,30.739641,2.4605005,1.6819800778415543e-207,9.034475658112936e-204,0.9376996805111821,0.5030973451327434
10,Car8,29.800077,5.749292,3.8975006329257146e-195,1.794409291398999e-191,0.7220447284345048,0.032300884955752215
10,Bst1,29.290663,4.9932375,1.3638755887934579e-188,5.4943728094544456e-185,0.7220447284345048,0.0540929203539823
10,Cd200,28.87374,2.0830154,2.5516123595514145e-183,9.137040347069221e-180,0.9568690095846646,0.6189712389380531
10,Fgl2,28.481808,4.2385535,1.9682908089835299e-178,6.34340761919212e-175,0.731629392971246,0.059679203539823006
10,Nr2f2,28.473104,3.3980522,2.522636519154052e-178,7.390866339936072e-175,0.7971246006389776,0.16758849557522124
10,Ackr3,27.73069,2.744626,2.9793107497265745e-169,8.001435570182336e-166,0.8514376996805112,0.3657632743362832
10,Il6st,27.71364,2.3323467,4.7822635291559525e-169,1.1068729042927733e-165,0.9169329073482428,0.5517146017699115
10,Lrg1,27.713446,3.0246708,4.8083097493169996e-169,1.1068729042927733e-165,0.8402555910543131,0.33390486725663715
10,Amigo2,26.839474,4.3353667,1.1192968703347104e-158,2.404846635809803e-155,0.6821086261980831,0.07776548672566372
10,Ptgs1,26.795012,3.3488185,3.694039370480698e-158,7.440718801990747e-155,0.7364217252396166,0.14823008849557523
10,Plac8,26.560514,2.7172298,1.941799640774973e-155,3.6811952248762257e-152,0.8642172523961661,0.33191371681415927
10,Vegfc,26.081734,3.2326903,5.87577487290986e-150,1.052024847800772e-146,0.7348242811501597,0.16238938053097346
10,Nrp2,25.880556,3.048287,1.1025473308695998e-147,1.8701523883823928e-144,0.7460063897763578,0.16449115044247786
10,Cd81,25.682827,2.232625,1.8182942099421077e-145,2.9299992899007123e-142,0.9153354632587859,0.40525442477876106
11,Sftpc,77.31676,8.634767,0.0,0.0,0.9943844492440604,0.1453846623146849
11,Scgb1a1,76.403015,7.813337,0.0,0.0,0.9922246220302375,0.1488011713745348
11,Lyz2,76.11864,7.6568213,0.0,0.0,0.983585313174946,0.08834116283326215
11,Mgp,75.53247,7.054365,0.0,0.0,0.9922246220302375,0.21719236166188763
11,Igkc,72.68719,7.9889917,0.0,0.0,0.9403887688984881,0.0661338539442377
11,Cst3,72.29364,3.004971,0.0,0.0,0.9758099352051836,0.8425965468854859
11,Fth1,72.25171,2.4880736,0.0,0.0,0.9965442764578833,0.9234335916051492
11,Sftpa1,71.551926,7.2200713,0.0,0.0,0.931317494600432,0.05222378134342017
11,Apoe,70.906685,6.661349,0.0,0.0,0.9265658747300216,0.10456958086754926
11,Gsn,69.01727,6.0167933,0.0,0.0,0.9161987041036717,0.12384845341955951
