gsm,module,assayed_genes,source_genes,assayed_fraction,eligible
GSM9226168,HALLMARK_E2F_TARGETS,191,200,0.955,True
GSM9226168,HALLMARK_G2M_CHECKPOINT,189,200,0.945,True
GSM9226168,HALLMARK_GLYCOLYSIS,191,200,0.955,True
GSM9226168,HALLMARK_HYPOXIA,195,200,0.975,True
GSM9226168,HALLMARK_IL6_JAK_STAT3_SIGNALING,86,87,0.9885057471264368,True
GSM9226168,HALLMARK_INFLAMMATORY_RESPONSE,198,200,0.99,True
GSM9226168,HALLMARK_INTERFERON_GAMMA_RESPONSE,188,200,0.94,True
GSM9226168,HALLMARK_OXIDATIVE_PHOSPHORYLATION,186,200,0.93,True
GSM9226168,HALLMARK_P53_PATHWAY,190,200,0.95,True
GSM9226168,HALLMARK_TGF_BETA_SIGNALING,53,54,0.9814814814814815,True
GSM9226168,HALLMARK_TNFA_SIGNALING_VIA_NFKB,196,200,0.98,True
GSM9226168,HALLMARK_WNT_BETA_CATENIN_SIGNALING,41,42,0.9761904761904762,True
GSM9226168,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,294,300,0.98,True
GSM9226168,GENE_IL1B,1,1,1.0,True
GSM9226168,GENE_IL1A,1,1,1.0,True
GSM9226168,GENE_IL1R1,1,1,1.0,True
GSM9226168,GENE_IL1RAP,1,1,1.0,True
GSM9226168,GENE_IL1RN,1,1,1.0,True
GSM9226168,GENE_IL1R2,1,1,1.0,True
GSM9226168,GENE_SIGIRR,1,1,1.0,True
GSM9226168,GENE_TGFB1,1,1,1.0,True
GSM9226168,GENE_CCL2,1,1,1.0,True
GSM9226168,GENE_CXCL12,1,1,1.0,True
GSM9226168,GENE_AREG,1,1,1.0,True
GSM9226168,GENE_HBEGF,1,1,1.0,True
GSM9226168,GENE_FGF7,1,1,1.0,True
GSM9226168,GENE_FGF10,1,1,1.0,True
GSM9226168,GENE_COL1A1,1,1,1.0,True
GSM9226168,GENE_C1QA,1,1,1.0,True
GSM9226168,GENE_KRT8,1,1,1.0,True
GSM9226168,GENE_KRT5,1,1,1.0,True
GSM9226168,GENE_KRT17,1,1,1.0,True
GSM9226168,GENE_CLDN4,1,1,1.0,True
GSM9226168,GENE_SFTPC,1,1,1.0,True
GSM9226168,GENE_AGER,1,1,1.0,True
GSM9226168,GENE_AQP5,1,1,1.0,True
GSM9226168,GENE_CD3D,1,1,1.0,True
GSM9226168,GENE_CD8A,1,1,1.0,True
GSM9226168,GENE_TNF,1,1,1.0,True
GSM9226168,GENE_IFNG,1,1,1.0,True
GSM9226169,HALLMARK_E2F_TARGETS,191,200,0.955,True
GSM9226169,HALLMARK_G2M_CHECKPOINT,189,200,0.945,True
GSM9226169,HALLMARK_GLYCOLYSIS,191,200,0.955,True
GSM9226169,HALLMARK_HYPOXIA,195,200,0.975,True
GSM9226169,HALLMARK_IL6_JAK_STAT3_SIGNALING,86,87,0.9885057471264368,True
GSM9226169,HALLMARK_INFLAMMATORY_RESPONSE,198,200,0.99,True
GSM9226169,HALLMARK_INTERFERON_GAMMA_RESPONSE,188,200,0.94,True
GSM9226169,HALLMARK_OXIDATIVE_PHOSPHORYLATION,186,200,0.93,True
GSM9226169,HALLMARK_P53_PATHWAY,190,200,0.95,True
GSM9226169,HALLMARK_TGF_BETA_SIGNALING,53,54,0.9814814814814815,True
GSM9226169,HALLMARK_TNFA_SIGNALING_VIA_NFKB,196,200,0.98,True
GSM9226169,HALLMARK_WNT_BETA_CATENIN_SIGNALING,41,42,0.9761904761904762,True
GSM9226169,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,294,300,0.98,True
GSM9226169,GENE_IL1B,1,1,1.0,True
GSM9226169,GENE_IL1A,1,1,1.0,True
GSM9226169,GENE_IL1R1,1,1,1.0,True
GSM9226169,GENE_IL1RAP,1,1,1.0,True
GSM9226169,GENE_IL1RN,1,1,1.0,True
GSM9226169,GENE_IL1R2,1,1,1.0,True
GSM9226169,GENE_SIGIRR,1,1,1.0,True
GSM9226169,GENE_TGFB1,1,1,1.0,True
GSM9226169,GENE_CCL2,1,1,1.0,True
GSM9226169,GENE_CXCL12,1,1,1.0,True
GSM9226169,GENE_AREG,1,1,1.0,True
GSM9226169,GENE_HBEGF,1,1,1.0,True
GSM9226169,GENE_FGF7,1,1,1.0,True
GSM9226169,GENE_FGF10,1,1,1.0,True
GSM9226169,GENE_COL1A1,1,1,1.0,True
GSM9226169,GENE_C1QA,1,1,1.0,True
GSM9226169,GENE_KRT8,1,1,1.0,True
GSM9226169,GENE_KRT5,1,1,1.0,True
GSM9226169,GENE_KRT17,1,1,1.0,True
GSM9226169,GENE_CLDN4,1,1,1.0,True
GSM9226169,GENE_SFTPC,1,1,1.0,True
GSM9226169,GENE_AGER,1,1,1.0,True
GSM9226169,GENE_AQP5,1,1,1.0,True
GSM9226169,GENE_CD3D,1,1,1.0,True
GSM9226169,GENE_CD8A,1,1,1.0,True
GSM9226169,GENE_TNF,1,1,1.0,True
GSM9226169,GENE_IFNG,1,1,1.0,True
GSM9226170,HALLMARK_E2F_TARGETS,191,200,0.955,True
GSM9226170,HALLMARK_G2M_CHECKPOINT,189,200,0.945,True
GSM9226170,HALLMARK_GLYCOLYSIS,191,200,0.955,True
GSM9226170,HALLMARK_HYPOXIA,195,200,0.975,True
GSM9226170,HALLMARK_IL6_JAK_STAT3_SIGNALING,86,87,0.9885057471264368,True
GSM9226170,HALLMARK_INFLAMMATORY_RESPONSE,198,200,0.99,True
GSM9226170,HALLMARK_INTERFERON_GAMMA_RESPONSE,188,200,0.94,True
GSM9226170,HALLMARK_OXIDATIVE_PHOSPHORYLATION,186,200,0.93,True
GSM9226170,HALLMARK_P53_PATHWAY,190,200,0.95,True
GSM9226170,HALLMARK_TGF_BETA_SIGNALING,53,54,0.9814814814814815,True
GSM9226170,HALLMARK_TNFA_SIGNALING_VIA_NFKB,196,200,0.98,True
GSM9226170,HALLMARK_WNT_BETA_CATENIN_SIGNALING,41,42,0.9761904761904762,True
GSM9226170,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,294,300,0.98,True
GSM9226170,GENE_IL1B,1,1,1.0,True
GSM9226170,GENE_IL1A,1,1,1.0,True
GSM9226170,GENE_IL1R1,1,1,1.0,True
GSM9226170,GENE_IL1RAP,1,1,1.0,True
GSM9226170,GENE_IL1RN,1,1,1.0,True
GSM9226170,GENE_IL1R2,1,1,1.0,True
GSM9226170,GENE_SIGIRR,1,1,1.0,True
GSM9226170,GENE_TGFB1,1,1,1.0,True
GSM9226170,GENE_CCL2,1,1,1.0,True
GSM9226170,GENE_CXCL12,1,1,1.0,True
GSM9226170,GENE_AREG,1,1,1.0,True
GSM9226170,GENE_HBEGF,1,1,1.0,True
GSM9226170,GENE_FGF7,1,1,1.0,True
GSM9226170,GENE_FGF10,1,1,1.0,True
GSM9226170,GENE_COL1A1,1,1,1.0,True
GSM9226170,GENE_C1QA,1,1,1.0,True
GSM9226170,GENE_KRT8,1,1,1.0,True
GSM9226170,GENE_KRT5,1,1,1.0,True
GSM9226170,GENE_KRT17,1,1,1.0,True
GSM9226170,GENE_CLDN4,1,1,1.0,True
GSM9226170,GENE_SFTPC,1,1,1.0,True
GSM9226170,GENE_AGER,1,1,1.0,True
GSM9226170,GENE_AQP5,1,1,1.0,True
GSM9226170,GENE_CD3D,1,1,1.0,True
GSM9226170,GENE_CD8A,1,1,1.0,True
GSM9226170,GENE_TNF,1,1,1.0,True
