series,module,case,reference,n_case,n_reference,case_mean,reference_mean,difference,inference
GSE267228,GENE_CXCL12,anti-CD8,IgG,2,2,0.7704994390188338,0.6527073189657001,0.11779212005313366,descriptive_only
GSE267228,GENE_FGF10,anti-CD8,IgG,2,2,0.1042999566040443,0.0722595308803774,0.0320404257236669,descriptive_only
GSE267228,GENE_FGF7,anti-CD8,IgG,2,2,0.2994562373209485,0.28332872372743856,0.016127513593509946,descriptive_only
GSE267228,GENE_HBEGF,anti-CD8,IgG,2,2,0.17795375542047426,0.1736834707369185,0.004270284683555753,descriptive_only
GSE267228,GENE_IFNG,anti-CD8,IgG,2,2,0.025069482555561,0.025720901311593353,-0.0006514187560323521,descriptive_only
GSE267228,GENE_IL1A,anti-CD8,IgG,2,2,0.04167195921647845,0.036727206464804055,0.004944752751674393,descriptive_only
GSE267228,GENE_IL1B,anti-CD8,IgG,2,2,0.3521262244780803,0.4588047340844096,-0.1066785096063293,descriptive_only
GSE267228,GENE_IL1R1,anti-CD8,IgG,2,2,0.47403900590211384,0.4049240518246203,0.06911495407749352,descriptive_only
GSE267228,GENE_IL1R2,anti-CD8,IgG,2,2,0.04321423588873215,0.051125345464336454,-0.007911109575604307,descriptive_only
GSE267228,GENE_IL1RAP,anti-CD8,IgG,2,2,0.17347683629418015,0.18523656928028764,-0.011759732986107496,descriptive_only
GSE267228,GENE_IL1RN,anti-CD8,IgG,2,2,0.352305204410419,0.3602697013590031,-0.007964496948584088,descriptive_only
GSE267228,GENE_KRT17,anti-CD8,IgG,2,2,0.02903562968417285,0.0444109177496357,-0.015375288065462851,descriptive_only
GSE267228,GENE_KRT5,anti-CD8,IgG,2,2,0.08314800379279515,0.118635686987989,-0.03548768319519385,descriptive_only
GSE267228,GENE_KRT8,anti-CD8,IgG,2,2,0.6161544883333441,0.6249374235880538,-0.008782935254709745,descriptive_only
GSE267228,GENE_SFTPC,anti-CD8,IgG,2,2,5.271478545883758,5.129387014192881,0.14209153169087685,descriptive_only
GSE267228,GENE_SIGIRR,anti-CD8,IgG,2,2,0.0405548591720992,0.03937883985565635,0.0011760193164428515,descriptive_only
GSE267228,GENE_TGFB1,anti-CD8,IgG,2,2,1.068793407069748,0.9494978173959017,0.11929558967384635,descriptive_only
GSE267228,GENE_TNF,anti-CD8,IgG,2,2,0.07046522901838025,0.06294402742910604,0.007521201589274204,descriptive_only
GSE267228,HALLMARK_E2F_TARGETS,anti-CD8,IgG,2,2,0.2272455763453605,0.2129365900104814,0.014308986334879092,descriptive_only
GSE267228,HALLMARK_G2M_CHECKPOINT,anti-CD8,IgG,2,2,0.29342433050870487,0.27156601046423695,0.021858320044467916,descriptive_only
GSE267228,HALLMARK_GLYCOLYSIS,anti-CD8,IgG,2,2,0.3717917242243096,0.34769544174381406,0.024096282480495557,descriptive_only
GSE267228,HALLMARK_HYPOXIA,anti-CD8,IgG,2,2,0.4507058357741217,0.4304937903556544,0.020212045418467328,descriptive_only
GSE267228,HALLMARK_IL6_JAK_STAT3_SIGNALING,anti-CD8,IgG,2,2,0.45835209761612794,0.42798019777178375,0.030371899844344186,descriptive_only
GSE267228,HALLMARK_INFLAMMATORY_RESPONSE,anti-CD8,IgG,2,2,0.33410579037520594,0.318085578927375,0.016020211447830945,descriptive_only
GSE267228,HALLMARK_INTERFERON_GAMMA_RESPONSE,anti-CD8,IgG,2,2,0.5122248082143468,0.4886491196480344,0.02357568856631237,descriptive_only
GSE267228,HALLMARK_OXIDATIVE_PHOSPHORYLATION,anti-CD8,IgG,2,2,0.553091121827772,0.5114300502660367,0.04166107156173526,descriptive_only
GSE267228,HALLMARK_P53_PATHWAY,anti-CD8,IgG,2,2,0.46515728425451774,0.44198642210105404,0.0231708621534637,descriptive_only
GSE267228,HALLMARK_TGF_BETA_SIGNALING,anti-CD8,IgG,2,2,0.7581759111757678,0.7180563548846127,0.040119556291155045,descriptive_only
GSE267228,HALLMARK_TNFA_SIGNALING_VIA_NFKB,anti-CD8,IgG,2,2,0.503421927471928,0.47677531635486176,0.026646611117066288,descriptive_only
GSE267228,HALLMARK_WNT_BETA_CATENIN_SIGNALING,anti-CD8,IgG,2,2,0.3723521260071072,0.35663936869869245,0.01571275730841476,descriptive_only
GSE267228,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,anti-CD8,IgG,2,2,0.3807196757718,0.36263994496838536,0.01807973080341463,descriptive_only
