set	gene
HALLMARK_E2F_TARGETS	Ak2
HALLMARK_E2F_TARGETS	Anp32e
HALLMARK_E2F_TARGETS	Asf1a
HALLMARK_E2F_TARGETS	Asf1b
HALLMARK_E2F_TARGETS	Atad2
HALLMARK_E2F_TARGETS	Aurka
HALLMARK_E2F_TARGETS	Aurkb
HALLMARK_E2F_TARGETS	Bard1
HALLMARK_E2F_TARGETS	Birc5
HALLMARK_E2F_TARGETS	Brca1
HALLMARK_E2F_TARGETS	Brca2
HALLMARK_E2F_TARGETS	Brms1l
HALLMARK_E2F_TARGETS	Bub1b
HALLMARK_E2F_TARGETS	Cbx5
HALLMARK_E2F_TARGETS	Ccnb2
HALLMARK_E2F_TARGETS	Ccne1
HALLMARK_E2F_TARGETS	Ccp110
HALLMARK_E2F_TARGETS	Cdc20
HALLMARK_E2F_TARGETS	Cdc25a
HALLMARK_E2F_TARGETS	Cdc25b
HALLMARK_E2F_TARGETS	Cdca3
HALLMARK_E2F_TARGETS	Cdca8
HALLMARK_E2F_TARGETS	Cdk1
HALLMARK_E2F_TARGETS	Cdk4
HALLMARK_E2F_TARGETS	Cdkn1a
HALLMARK_E2F_TARGETS	Cdkn1b
HALLMARK_E2F_TARGETS	Cdkn2a
HALLMARK_E2F_TARGETS	Cdkn2c
HALLMARK_E2F_TARGETS	Cdkn3
HALLMARK_E2F_TARGETS	Cenpe
HALLMARK_E2F_TARGETS	Cenpm
HALLMARK_E2F_TARGETS	Chek1
HALLMARK_E2F_TARGETS	Chek2
HALLMARK_E2F_TARGETS	Cit
HALLMARK_E2F_TARGETS	Cks1b
HALLMARK_E2F_TARGETS	Cks2
HALLMARK_E2F_TARGETS	Cnot9
HALLMARK_E2F_TARGETS	Cse1l
HALLMARK_E2F_TARGETS	Ctcf
HALLMARK_E2F_TARGETS	Ctps1
HALLMARK_E2F_TARGETS	Dck
HALLMARK_E2F_TARGETS	Dclre1b
HALLMARK_E2F_TARGETS	Dctpp1
HALLMARK_E2F_TARGETS	Ddx39a
HALLMARK_E2F_TARGETS	Dek
HALLMARK_E2F_TARGETS	Depdc1a
HALLMARK_E2F_TARGETS	Diaph3
HALLMARK_E2F_TARGETS	Dlgap5
HALLMARK_E2F_TARGETS	Dnmt1
HALLMARK_E2F_TARGETS	Donson
HALLMARK_E2F_TARGETS	Dscc1
HALLMARK_E2F_TARGETS	Dut
HALLMARK_E2F_TARGETS	E2f8
HALLMARK_E2F_TARGETS	Eed
HALLMARK_E2F_TARGETS	Eif2s1
HALLMARK_E2F_TARGETS	Espl1
HALLMARK_E2F_TARGETS	Exosc8
HALLMARK_E2F_TARGETS	Ezh2
HALLMARK_E2F_TARGETS	Gins1
HALLMARK_E2F_TARGETS	Gins3
HALLMARK_E2F_TARGETS	Gins4
HALLMARK_E2F_TARGETS	Gspt1
HALLMARK_E2F_TARGETS	H2ax
HALLMARK_E2F_TARGETS	H2az1
HALLMARK_E2F_TARGETS	Hells
HALLMARK_E2F_TARGETS	Hmga1b
HALLMARK_E2F_TARGETS	Hmgb2
HALLMARK_E2F_TARGETS	Hmgb3
HALLMARK_E2F_TARGETS	Hmmr
HALLMARK_E2F_TARGETS	Hnrnpd
HALLMARK_E2F_TARGETS	Hus1
HALLMARK_E2F_TARGETS	Ilf3
HALLMARK_E2F_TARGETS	Ing3
HALLMARK_E2F_TARGETS	Ipo7
HALLMARK_E2F_TARGETS	Jpt1
HALLMARK_E2F_TARGETS	Kif18b
HALLMARK_E2F_TARGETS	Kif22
HALLMARK_E2F_TARGETS	Kif2c
HALLMARK_E2F_TARGETS	Kif4
HALLMARK_E2F_TARGETS	Lbr
HALLMARK_E2F_TARGETS	Lig1
HALLMARK_E2F_TARGETS	Lmnb1
HALLMARK_E2F_TARGETS	Lsm8
HALLMARK_E2F_TARGETS	Luc7l3
HALLMARK_E2F_TARGETS	Lyar
HALLMARK_E2F_TARGETS	Mad2l1
HALLMARK_E2F_TARGETS	Mcm2
HALLMARK_E2F_TARGETS	Mcm3
HALLMARK_E2F_TARGETS	Mcm4
HALLMARK_E2F_TARGETS	Mcm5
HALLMARK_E2F_TARGETS	Mcm6
HALLMARK_E2F_TARGETS	Mcm7
HALLMARK_E2F_TARGETS	Melk
HALLMARK_E2F_TARGETS	Mki67
HALLMARK_E2F_TARGETS	Mlh1
HALLMARK_E2F_TARGETS	Mms22l
HALLMARK_E2F_TARGETS	Mre11a
HALLMARK_E2F_TARGETS	Msh2
HALLMARK_E2F_TARGETS	Mthfd2
HALLMARK_E2F_TARGETS	Mxd3
HALLMARK_E2F_TARGETS	Mybl2
HALLMARK_E2F_TARGETS	Myc
HALLMARK_E2F_TARGETS	Nap1l1
HALLMARK_E2F_TARGETS	Nasp
HALLMARK_E2F_TARGETS	Nbn
HALLMARK_E2F_TARGETS	Ncapd2
HALLMARK_E2F_TARGETS	Nme1
HALLMARK_E2F_TARGETS	Nolc1
HALLMARK_E2F_TARGETS	Nop56
HALLMARK_E2F_TARGETS	Nudt21
HALLMARK_E2F_TARGETS	Nup107
HALLMARK_E2F_TARGETS	Nup153
HALLMARK_E2F_TARGETS	Nup205
HALLMARK_E2F_TARGETS	Orc2
HALLMARK_E2F_TARGETS	Orc6
HALLMARK_E2F_TARGETS	Pa2g4
HALLMARK_E2F_TARGETS	Paics
HALLMARK_E2F_TARGETS	Pan2
HALLMARK_E2F_TARGETS	Pcna
HALLMARK_E2F_TARGETS	Pds5b
HALLMARK_E2F_TARGETS	Phf5a
HALLMARK_E2F_TARGETS	Plk1
HALLMARK_E2F_TARGETS	Plk4
HALLMARK_E2F_TARGETS	Pms2
