contrast,xist_log2fc_F_vs_M,xist_padj,y_genes_clearing,gate
A,8.869999492649322,0.049204219172372256,"Ddx3y,Eif2s3y,Kdm5d,Uty",True
B,9.100583104661032,0.04912522566026484,"Ddx3y,Eif2s3y,Kdm5d,Uty",True
