,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Trem2,444.019799,1.292858,0.128912,10.028998,0.0,0.0
Cpne5,228.425026,-1.947903,0.200677,-9.706663,0.0,0.0
Mmp14,27.183214,3.3615,0.415673,8.086879,0.0,0.0
Slc7a11,331.902951,1.352853,0.175955,7.688618,0.0,0.0
Slfn8,27.585161,2.132284,0.292749,7.283649,0.0,0.0
Oas3,22.633593,3.831988,0.526666,7.27593,0.0,0.0
Hr,61.437115,-2.889307,0.426069,-6.781309,0.0,0.0
Kctd12,532.33991,0.682556,0.101625,6.716448,0.0,0.0
Id2,697.124564,1.090508,0.164088,6.645856,0.0,0.0
C1qc,13.044764,5.590095,0.855113,6.53726,0.0,0.0
Tap1,140.161492,1.238958,0.192883,6.423354,0.0,0.0
Clec5a,132.049937,1.163074,0.182476,6.373843,0.0,0.0
Slfn5,50.579647,2.823448,0.448688,6.292669,0.0,0.0
Plcb1,131.103477,-1.059901,0.171943,-6.164269,0.0,1e-06
Tnf,477.810602,0.966873,0.158253,6.109678,0.0,1e-06
Ass1,22.763207,2.120863,0.351935,6.026298,0.0,1e-06
C1qb,38.336618,5.677186,0.955288,5.942907,0.0,2e-06
Oasl2,29.627924,2.591078,0.449436,5.765182,0.0,5e-06
Cd52,1098.126253,1.18906,0.209416,5.677994,0.0,8e-06
Cyfip2,38.196217,1.653675,0.292705,5.649631,0.0,9e-06
Lgals3bp,342.874298,1.061607,0.188098,5.643888,0.0,9e-06
H2-Q6,129.021787,1.806833,0.321462,5.620676,0.0,1e-05
Pnp,521.813165,0.780014,0.139658,5.58516,0.0,1.1e-05
Foxn3,406.916331,-0.655597,0.117862,-5.562427,0.0,1.2e-05
Afdn,122.987296,-1.079886,0.19669,-5.490286,0.0,1.8e-05
Phf11d,22.619574,1.868121,0.341944,5.463232,0.0,2e-05
Msr1,176.715281,1.087598,0.199182,5.460311,0.0,2e-05
Mafb,68.497048,1.665371,0.305459,5.45202,0.0,2e-05
Ly6i,11.1523,3.144204,0.577453,5.444955,0.0,2e-05
Tppp3,637.765208,-0.827099,0.153088,-5.402773,0.0,2.4e-05
Ifit3,10.438192,4.477601,0.830286,5.392839,0.0,2.5e-05
Irf7,32.802954,2.912726,0.540816,5.385802,0.0,2.5e-05
AB124611,26.336783,1.699712,0.316109,5.376975,0.0,2.6e-05
H2-K1,3987.722781,0.897418,0.167491,5.358015,0.0,2.8e-05
Nfkbiz,357.947324,0.684663,0.128392,5.332602,0.0,3.1e-05
Mmp2,14.655206,3.629749,0.682875,5.315393,0.0,3.3e-05
Herpud1,283.873232,-0.780706,0.147719,-5.285061,0.0,3.8e-05
Ear1,2040.209351,-1.10136,0.208688,-5.27755,0.0,3.8e-05
Igf1,255.61792,1.412007,0.267719,5.274208,0.0,3.8e-05
Clec4n,1738.066727,0.540539,0.102893,5.253402,0.0,4.2e-05
Cmtm7,160.70935,0.791767,0.151776,5.216668,0.0,5e-05
Gm41307,123.922511,-0.869636,0.16726,-5.199304,0.0,5.3e-05
Rsad2,18.049645,2.77432,0.53785,5.15817,0.0,6.5e-05
Clec7a,5922.881547,0.642471,0.125558,5.116925,0.0,7.9e-05
Egr2,621.08153,0.617746,0.121746,5.074044,0.0,9.7e-05
Prkar2b,686.979812,-0.489044,0.097233,-5.029598,0.0,0.00012
Sqle,129.190203,0.845498,0.168883,5.006408,1e-06,0.000132
H2-T22,187.719866,1.143082,0.229416,4.982566,1e-06,0.000146
Oas2,7.386656,3.807356,0.767041,4.963695,1e-06,0.000158
Arl11,272.64879,0.644478,0.1306,4.934769,1e-06,0.00018
Ddx60,32.717457,1.376727,0.27958,4.924276,1e-06,0.000182
B430306N03Rik,9.275392,2.854236,0.57964,4.92415,1e-06,0.000182
B2m,7967.294306,0.754595,0.154281,4.891044,1e-06,0.000212
Ikbke,21.687051,1.623576,0.332826,4.87815,1e-06,0.000222
Ms4a6c,223.805259,1.250105,0.258142,4.842707,1e-06,0.00026
Syne2,232.224984,-0.647037,0.133692,-4.839752,1e-06,0.00026
Ly6e,1299.025506,0.914292,0.190497,4.799508,2e-06,0.000312
Il1rn,478.588483,0.758722,0.15844,4.788717,2e-06,0.000324
Rnf213,72.436447,1.112013,0.233546,4.761426,2e-06,0.000365
Fabp1,599.947138,-1.0819,0.228315,-4.738625,2e-06,0.000401
Zbp1,65.227581,1.455491,0.307646,4.731061,2e-06,0.00041
Rasa4,27.530944,1.296997,0.274376,4.727077,2e-06,0.000411
Glrx,251.93703,0.685269,0.145706,4.703099,3e-06,0.000455
Ifi211,39.406631,1.637624,0.348547,4.698433,3e-06,0.000458
Gbp2,111.990683,1.239774,0.264978,4.678779,3e-06,0.000497
Txnip,719.733147,-0.581906,0.124544,-4.672308,3e-06,0.000505
Epcam,62.412177,-1.876909,0.41287,-4.546002,5e-06,0.000911
Fabp5,3799.819159,0.923067,0.203169,4.543352,6e-06,0.000911
Socs3,124.151225,1.207556,0.266005,4.539595,6e-06,0.000914
Fdps,215.619784,0.741021,0.163468,4.533118,6e-06,0.000929
Fth1,55932.450474,0.794189,0.175719,4.519661,6e-06,0.000967
Lilr4b,488.034609,0.88438,0.195719,4.518628,6e-06,0.000967
Gpnmb,944.190772,0.949785,0.210373,4.514772,6e-06,0.000972
Il1a,512.997466,0.794634,0.176146,4.51123,6e-06,0.000975
Rnaset2a,124.667505,1.110308,0.247403,4.487843,7e-06,0.001062
Cd300a,144.150206,1.069001,0.238224,4.487378,7e-06,0.001062
Rtp4,20.844506,2.713465,0.606808,4.471701,8e-06,0.001128
Ifit2,13.892995,3.428146,0.767789,4.464961,8e-06,0.001149
Cmbl,42.642334,-1.62204,0.36469,-4.447716,9e-06,0.001229
Ctsc,2778.718623,0.450104,0.10178,4.422319,1e-05,0.001362
Lima1,646.49098,-0.499267,0.11295,-4.420248,1e-05,0.001362
Npc2,2142.58349,0.518216,0.117392,4.414413,1e-05,0.001368
Ptpn18,190.639123,0.940365,0.213044,4.413956,1e-05,0.001368
Fgl2,59.376955,1.172601,0.266448,4.400857,1.1e-05,0.001436
H2-Q7,259.819465,2.176016,0.495685,4.389917,1.1e-05,0.001493
Ocrl,103.350555,-0.809576,0.185064,-4.374564,1.2e-05,0.001581
Mid1ip1,77.149286,0.797205,0.182453,4.36938,1.2e-05,0.001581
