accession,library,panel,gene,detected_in_fraction_of_cells,gene_absent_from_reference
GSE316243,GSM9447778_Expt2_Red2Kras_niche,mutant epithelial states (Fig. 4l),Itga2,0.033,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,mutant epithelial states (Fig. 4l),Ndrg1,0.074,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,mutant epithelial states (Fig. 4l),Sox9,0.0048,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,mutant epithelial states (Fig. 4l),Mki67,0.0575,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,mutant epithelial states (Fig. 4l),Ager,0.0126,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,mutant epithelial states (Fig. 4l),Hopx,0.1839,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,compartment,Epcam,0.0779,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,compartment,Ptprc,0.4652,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,compartment,Col1a1,0.0464,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,compartment,Pecam1,0.1387,False
GSE316244,GSM9447779_Expt3_Het_niche,alveolar fibroblast (Fig. 1d),Pdgfra,0.3441,False
GSE316244,GSM9447779_Expt3_Het_niche,alveolar fibroblast (Fig. 1d),Col13a1,0.1571,False
GSE316244,GSM9447779_Expt3_Het_niche,alveolar fibroblast (Fig. 1d),Tcf21,0.1678,False
GSE316244,GSM9447779_Expt3_Het_niche,alveolar fibroblast (Fig. 1d),Npnt,0.2961,False
GSE316244,GSM9447779_Expt3_Het_niche,alveolar fibroblast (Fig. 1d),Scube2,0.1159,False
GSE316244,GSM9447779_Expt3_Het_niche,adventitial fibroblast (Fig. 1d),Col14a1,0.314,False
GSE316244,GSM9447779_Expt3_Het_niche,adventitial fibroblast (Fig. 1d),Pi16,0.1674,False
GSE316244,GSM9447779_Expt3_Het_niche,adventitial fibroblast (Fig. 1d),Dcn,0.4024,False
GSE316244,GSM9447779_Expt3_Het_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Tnc,0.1466,False
GSE316244,GSM9447779_Expt3_Het_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Fst,0.1769,False
GSE316244,GSM9447779_Expt3_Het_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx1,0.6779,False
GSE316244,GSM9447779_Expt3_Het_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx2,0.2568,False
GSE316244,GSM9447779_Expt3_Het_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Acta2,0.2497,False
GSE316244,GSM9447779_Expt3_Het_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Pdgfrb,0.2317,False
GSE316244,GSM9447779_Expt3_Het_niche,inflammatory fibroblast (ED Fig. 4l-m),Lcn2,0.0938,False
GSE316244,GSM9447779_Expt3_Het_niche,inflammatory fibroblast (ED Fig. 4l-m),Saa3,0.0513,False
GSE316244,GSM9447779_Expt3_Het_niche,inflammatory fibroblast (ED Fig. 4l-m),Sfrp1,0.2852,False
GSE316244,GSM9447779_Expt3_Het_niche,inflammatory fibroblast (ED Fig. 4l-m),Cxcl12,0.2433,False
GSE316244,GSM9447779_Expt3_Het_niche,alveolar macrophage (Fig. 1h),Itgax,0.0899,False
GSE316244,GSM9447779_Expt3_Het_niche,alveolar macrophage (Fig. 1h),Siglec5,,True
GSE316244,GSM9447779_Expt3_Het_niche,alveolar macrophage (Fig. 1h),Siglecf,0.055,False
GSE316244,GSM9447779_Expt3_Het_niche,alveolar macrophage (Fig. 1h),Pparg,0.098,False
GSE316244,GSM9447779_Expt3_Het_niche,alveolar macrophage (Fig. 1h),Mertk,0.1646,False
GSE316244,GSM9447779_Expt3_Het_niche,alveolar macrophage (Fig. 1h),Car4,0.0923,False
GSE316244,GSM9447779_Expt3_Het_niche,reprogrammed AM (Fig. 1h),Msr1,0.0459,False
GSE316244,GSM9447779_Expt3_Het_niche,reprogrammed AM (Fig. 1h),Cdh1,0.0507,False
GSE316244,GSM9447779_Expt3_Het_niche,reprogrammed AM (Fig. 1h),Ch25h,0.0592,False
GSE316244,GSM9447779_Expt3_Het_niche,reprogrammed AM (Fig. 1h),Ear6,0.0184,False
GSE316244,GSM9447779_Expt3_Het_niche,reprogrammed AM (Fig. 1h),Fstl1,0.4663,False
GSE316244,GSM9447779_Expt3_Het_niche,reprogrammed AM (Fig. 1h),Cxcl2,0.1438,False
GSE316244,GSM9447779_Expt3_Het_niche,monocyte/IM (Fig. 1h),Itgam,0.0919,False
GSE316244,GSM9447779_Expt3_Het_niche,monocyte/IM (Fig. 1h),Ly6c2,0.0724,False
GSE316244,GSM9447779_Expt3_Het_niche,monocyte/IM (Fig. 1h),Ccr2,0.0806,False
GSE316244,GSM9447779_Expt3_Het_niche,monocyte/IM (Fig. 1h),Cx3cr1,0.1255,False
GSE316244,GSM9447779_Expt3_Het_niche,monocyte/IM (Fig. 1h),Mmp19,0.1911,False
GSE316244,GSM9447779_Expt3_Het_niche,Tnc-TLR4 axis (ED Fig. 4d),Tnc,0.1466,False
GSE316244,GSM9447779_Expt3_Het_niche,Tnc-TLR4 axis (ED Fig. 4d),Tlr4,0.2371,False
GSE316244,GSM9447779_Expt3_Het_niche,EGF axis (ED Fig. 5f-h),Areg,0.0446,False
GSE316244,GSM9447779_Expt3_Het_niche,EGF axis (ED Fig. 5f-h),Ereg,0.0502,False
GSE316244,GSM9447779_Expt3_Het_niche,EGF axis (ED Fig. 5f-h),Hbegf,0.1173,False
GSE316244,GSM9447779_Expt3_Het_niche,EGF axis (ED Fig. 5f-h),Tgfa,0.0338,False
GSE316244,GSM9447779_Expt3_Het_niche,EGF axis (ED Fig. 5f-h),Egfr,0.3576,False
GSE316244,GSM9447779_Expt3_Het_niche,fibroblast-to-epithelium (ED Fig. 5i-j),Wnt5a,0.2034,False
GSE316244,GSM9447779_Expt3_Het_niche,fibroblast-to-epithelium (ED Fig. 5i-j),Igf1,0.3182,False
GSE316244,GSM9447779_Expt3_Het_niche,fibroblast-to-epithelium (ED Fig. 5i-j),Spp1,0.2714,False
GSE316244,GSM9447779_Expt3_Het_niche,mutant epithelial states (Fig. 4l),Sftpc,0.0512,False
GSE316244,GSM9447779_Expt3_Het_niche,mutant epithelial states (Fig. 4l),Etv5,0.0948,False
GSE316244,GSM9447779_Expt3_Het_niche,mutant epithelial states (Fig. 4l),Lamp3,0.0098,False
GSE316244,GSM9447779_Expt3_Het_niche,mutant epithelial states (Fig. 4l),Cd177,0.0381,False
GSE316244,GSM9447779_Expt3_Het_niche,mutant epithelial states (Fig. 4l),Cldn4,0.01,False
GSE316244,GSM9447779_Expt3_Het_niche,mutant epithelial states (Fig. 4l),Itga2,0.0821,False
GSE316244,GSM9447779_Expt3_Het_niche,mutant epithelial states (Fig. 4l),Ndrg1,0.2709,False
GSE316244,GSM9447779_Expt3_Het_niche,mutant epithelial states (Fig. 4l),Sox9,0.0776,False
GSE316244,GSM9447779_Expt3_Het_niche,mutant epithelial states (Fig. 4l),Mki67,0.067,False
GSE316244,GSM9447779_Expt3_Het_niche,mutant epithelial states (Fig. 4l),Ager,0.0226,False
GSE316244,GSM9447779_Expt3_Het_niche,mutant epithelial states (Fig. 4l),Hopx,0.1132,False
GSE316244,GSM9447779_Expt3_Het_niche,compartment,Epcam,0.0412,False
GSE316244,GSM9447779_Expt3_Het_niche,compartment,Ptprc,0.471,False
GSE316244,GSM9447779_Expt3_Het_niche,compartment,Col1a1,0.4785,False
GSE316244,GSM9447779_Expt3_Het_niche,compartment,Pecam1,0.2383,False
GSE316244,GSM9447780_Expt3_Hom_niche,alveolar fibroblast (Fig. 1d),Pdgfra,0.3608,False
GSE316244,GSM9447780_Expt3_Hom_niche,alveolar fibroblast (Fig. 1d),Col13a1,0.2476,False
GSE316244,GSM9447780_Expt3_Hom_niche,alveolar fibroblast (Fig. 1d),Tcf21,0.2801,False
GSE316244,GSM9447780_Expt3_Hom_niche,alveolar fibroblast (Fig. 1d),Npnt,0.3708,False
GSE316244,GSM9447780_Expt3_Hom_niche,alveolar fibroblast (Fig. 1d),Scube2,0.1973,False
GSE316244,GSM9447780_Expt3_Hom_niche,adventitial fibroblast (Fig. 1d),Col14a1,0.3305,False
GSE316244,GSM9447780_Expt3_Hom_niche,adventitial fibroblast (Fig. 1d),Pi16,0.1554,False
GSE316244,GSM9447780_Expt3_Hom_niche,adventitial fibroblast (Fig. 1d),Dcn,0.3581,False
GSE316244,GSM9447780_Expt3_Hom_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Tnc,0.0817,False
GSE316244,GSM9447780_Expt3_Hom_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Fst,0.0623,False
GSE316244,GSM9447780_Expt3_Hom_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx1,0.6696,False
GSE316244,GSM9447780_Expt3_Hom_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx2,0.1611,False
GSE316244,GSM9447780_Expt3_Hom_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Acta2,0.2081,False
GSE316244,GSM9447780_Expt3_Hom_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Pdgfrb,0.2026,False
GSE316244,GSM9447780_Expt3_Hom_niche,inflammatory fibroblast (ED Fig. 4l-m),Lcn2,0.0372,False
GSE316244,GSM9447780_Expt3_Hom_niche,inflammatory fibroblast (ED Fig. 4l-m),Saa3,0.0299,False
GSE316244,GSM9447780_Expt3_Hom_niche,inflammatory fibroblast (ED Fig. 4l-m),Sfrp1,0.2319,False
GSE316244,GSM9447780_Expt3_Hom_niche,inflammatory fibroblast (ED Fig. 4l-m),Cxcl12,0.2411,False
GSE316244,GSM9447780_Expt3_Hom_niche,alveolar macrophage (Fig. 1h),Itgax,0.0371,False
GSE316244,GSM9447780_Expt3_Hom_niche,alveolar macrophage (Fig. 1h),Siglec5,,True
GSE316244,GSM9447780_Expt3_Hom_niche,alveolar macrophage (Fig. 1h),Siglecf,0.0048,False
GSE316244,GSM9447780_Expt3_Hom_niche,alveolar macrophage (Fig. 1h),Pparg,0.0731,False
GSE316244,GSM9447780_Expt3_Hom_niche,alveolar macrophage (Fig. 1h),Mertk,0.1522,False
GSE316244,GSM9447780_Expt3_Hom_niche,alveolar macrophage (Fig. 1h),Car4,0.0095,False
GSE316244,GSM9447780_Expt3_Hom_niche,reprogrammed AM (Fig. 1h),Msr1,0.0195,False
GSE316244,GSM9447780_Expt3_Hom_niche,reprogrammed AM (Fig. 1h),Cdh1,0.0118,False
GSE316244,GSM9447780_Expt3_Hom_niche,reprogrammed AM (Fig. 1h),Ch25h,0.0285,False
GSE316244,GSM9447780_Expt3_Hom_niche,reprogrammed AM (Fig. 1h),Ear6,0.0002,False
GSE316244,GSM9447780_Expt3_Hom_niche,reprogrammed AM (Fig. 1h),Fstl1,0.4607,False
GSE316244,GSM9447780_Expt3_Hom_niche,reprogrammed AM (Fig. 1h),Cxcl2,0.0521,False
GSE316244,GSM9447780_Expt3_Hom_niche,monocyte/IM (Fig. 1h),Itgam,0.0799,False
GSE316244,GSM9447780_Expt3_Hom_niche,monocyte/IM (Fig. 1h),Ly6c2,0.1057,False
GSE316244,GSM9447780_Expt3_Hom_niche,monocyte/IM (Fig. 1h),Ccr2,0.1129,False
GSE316244,GSM9447780_Expt3_Hom_niche,monocyte/IM (Fig. 1h),Cx3cr1,0.1483,False
GSE316244,GSM9447780_Expt3_Hom_niche,monocyte/IM (Fig. 1h),Mmp19,0.1475,False
GSE316244,GSM9447780_Expt3_Hom_niche,Tnc-TLR4 axis (ED Fig. 4d),Tnc,0.0817,False
GSE316244,GSM9447780_Expt3_Hom_niche,Tnc-TLR4 axis (ED Fig. 4d),Tlr4,0.1465,False
GSE316244,GSM9447780_Expt3_Hom_niche,EGF axis (ED Fig. 5f-h),Areg,0.0033,False
GSE316244,GSM9447780_Expt3_Hom_niche,EGF axis (ED Fig. 5f-h),Ereg,0.003,False
GSE316244,GSM9447780_Expt3_Hom_niche,EGF axis (ED Fig. 5f-h),Hbegf,0.0689,False
GSE316244,GSM9447780_Expt3_Hom_niche,EGF axis (ED Fig. 5f-h),Tgfa,0.0249,False
GSE316244,GSM9447780_Expt3_Hom_niche,EGF axis (ED Fig. 5f-h),Egfr,0.3289,False
GSE316244,GSM9447780_Expt3_Hom_niche,fibroblast-to-epithelium (ED Fig. 5i-j),Wnt5a,0.1779,False
GSE316244,GSM9447780_Expt3_Hom_niche,fibroblast-to-epithelium (ED Fig. 5i-j),Igf1,0.2846,False
GSE316244,GSM9447780_Expt3_Hom_niche,fibroblast-to-epithelium (ED Fig. 5i-j),Spp1,0.0155,False
GSE316244,GSM9447780_Expt3_Hom_niche,mutant epithelial states (Fig. 4l),Sftpc,0.0331,False
GSE316244,GSM9447780_Expt3_Hom_niche,mutant epithelial states (Fig. 4l),Etv5,0.054,False
GSE316244,GSM9447780_Expt3_Hom_niche,mutant epithelial states (Fig. 4l),Lamp3,0.0044,False
GSE316244,GSM9447780_Expt3_Hom_niche,mutant epithelial states (Fig. 4l),Cd177,0.0118,False
GSE316244,GSM9447780_Expt3_Hom_niche,mutant epithelial states (Fig. 4l),Cldn4,0.0013,False
GSE316244,GSM9447780_Expt3_Hom_niche,mutant epithelial states (Fig. 4l),Itga2,0.069,False
GSE316244,GSM9447780_Expt3_Hom_niche,mutant epithelial states (Fig. 4l),Ndrg1,0.2719,False
GSE316244,GSM9447780_Expt3_Hom_niche,mutant epithelial states (Fig. 4l),Sox9,0.0424,False
GSE316244,GSM9447780_Expt3_Hom_niche,mutant epithelial states (Fig. 4l),Mki67,0.0281,False
GSE316244,GSM9447780_Expt3_Hom_niche,mutant epithelial states (Fig. 4l),Ager,0.0107,False
GSE316244,GSM9447780_Expt3_Hom_niche,mutant epithelial states (Fig. 4l),Hopx,0.1229,False
GSE316244,GSM9447780_Expt3_Hom_niche,compartment,Epcam,0.0206,False
GSE316244,GSM9447780_Expt3_Hom_niche,compartment,Ptprc,0.5072,False
GSE316244,GSM9447780_Expt3_Hom_niche,compartment,Col1a1,0.4737,False
GSE316244,GSM9447780_Expt3_Hom_niche,compartment,Pecam1,0.3265,False
GSE316244,GSM9447781_Expt3_Het_RFP,alveolar fibroblast (Fig. 1d),Pdgfra,0.0008,False
GSE316244,GSM9447781_Expt3_Het_RFP,alveolar fibroblast (Fig. 1d),Col13a1,0.0007,False
GSE316244,GSM9447781_Expt3_Het_RFP,alveolar fibroblast (Fig. 1d),Tcf21,0.0003,False
GSE316244,GSM9447781_Expt3_Het_RFP,alveolar fibroblast (Fig. 1d),Npnt,0.6664,False
GSE316244,GSM9447781_Expt3_Het_RFP,alveolar fibroblast (Fig. 1d),Scube2,0.0705,False
GSE316244,GSM9447781_Expt3_Het_RFP,adventitial fibroblast (Fig. 1d),Col14a1,0.008,False
GSE316244,GSM9447781_Expt3_Het_RFP,adventitial fibroblast (Fig. 1d),Pi16,0.0097,False
GSE316244,GSM9447781_Expt3_Het_RFP,adventitial fibroblast (Fig. 1d),Dcn,0.003,False
GSE316244,GSM9447781_Expt3_Het_RFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Tnc,0.0145,False
GSE316244,GSM9447781_Expt3_Het_RFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Fst,0.0273,False
GSE316244,GSM9447781_Expt3_Het_RFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx1,0.8584,False
GSE316244,GSM9447781_Expt3_Het_RFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx2,0.2427,False
GSE316244,GSM9447781_Expt3_Het_RFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Acta2,0.0185,False
GSE316244,GSM9447781_Expt3_Het_RFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Pdgfrb,0.0035,False
GSE316244,GSM9447781_Expt3_Het_RFP,inflammatory fibroblast (ED Fig. 4l-m),Lcn2,0.5949,False
GSE316244,GSM9447781_Expt3_Het_RFP,inflammatory fibroblast (ED Fig. 4l-m),Saa3,0.03,False
GSE316244,GSM9447781_Expt3_Het_RFP,inflammatory fibroblast (ED Fig. 4l-m),Sfrp1,0.0016,False
GSE316244,GSM9447781_Expt3_Het_RFP,inflammatory fibroblast (ED Fig. 4l-m),Cxcl12,0.0009,False
GSE316244,GSM9447781_Expt3_Het_RFP,alveolar macrophage (Fig. 1h),Itgax,0.0093,False
GSE316244,GSM9447781_Expt3_Het_RFP,alveolar macrophage (Fig. 1h),Siglec5,,True
GSE316244,GSM9447781_Expt3_Het_RFP,alveolar macrophage (Fig. 1h),Siglecf,0.0043,False
GSE316244,GSM9447781_Expt3_Het_RFP,alveolar macrophage (Fig. 1h),Pparg,0.2312,False
GSE316244,GSM9447781_Expt3_Het_RFP,alveolar macrophage (Fig. 1h),Mertk,0.0395,False
GSE316244,GSM9447781_Expt3_Het_RFP,alveolar macrophage (Fig. 1h),Car4,0.0115,False
GSE316244,GSM9447781_Expt3_Het_RFP,reprogrammed AM (Fig. 1h),Msr1,0.0049,False
GSE316244,GSM9447781_Expt3_Het_RFP,reprogrammed AM (Fig. 1h),Cdh1,0.8738,False
GSE316244,GSM9447781_Expt3_Het_RFP,reprogrammed AM (Fig. 1h),Ch25h,0.0055,False
GSE316244,GSM9447781_Expt3_Het_RFP,reprogrammed AM (Fig. 1h),Ear6,0.0014,False
GSE316244,GSM9447781_Expt3_Het_RFP,reprogrammed AM (Fig. 1h),Fstl1,0.0032,False
GSE316244,GSM9447781_Expt3_Het_RFP,reprogrammed AM (Fig. 1h),Cxcl2,0.1473,False
GSE316244,GSM9447781_Expt3_Het_RFP,monocyte/IM (Fig. 1h),Itgam,0.0353,False
GSE316244,GSM9447781_Expt3_Het_RFP,monocyte/IM (Fig. 1h),Ly6c2,0.1199,False
GSE316244,GSM9447781_Expt3_Het_RFP,monocyte/IM (Fig. 1h),Ccr2,0.0032,False
GSE316244,GSM9447781_Expt3_Het_RFP,monocyte/IM (Fig. 1h),Cx3cr1,0.1245,False
GSE316244,GSM9447781_Expt3_Het_RFP,monocyte/IM (Fig. 1h),Mmp19,0.0326,False
GSE316244,GSM9447781_Expt3_Het_RFP,Tnc-TLR4 axis (ED Fig. 4d),Tnc,0.0145,False
GSE316244,GSM9447781_Expt3_Het_RFP,Tnc-TLR4 axis (ED Fig. 4d),Tlr4,0.2918,False
GSE316244,GSM9447781_Expt3_Het_RFP,EGF axis (ED Fig. 5f-h),Areg,0.7997,False
GSE316244,GSM9447781_Expt3_Het_RFP,EGF axis (ED Fig. 5f-h),Ereg,0.5333,False
GSE316244,GSM9447781_Expt3_Het_RFP,EGF axis (ED Fig. 5f-h),Hbegf,0.8247,False
GSE316244,GSM9447781_Expt3_Het_RFP,EGF axis (ED Fig. 5f-h),Tgfa,0.3812,False
GSE316244,GSM9447781_Expt3_Het_RFP,EGF axis (ED Fig. 5f-h),Egfr,0.0425,False
GSE316244,GSM9447781_Expt3_Het_RFP,fibroblast-to-epithelium (ED Fig. 5i-j),Wnt5a,0.0484,False
GSE316244,GSM9447781_Expt3_Het_RFP,fibroblast-to-epithelium (ED Fig. 5i-j),Igf1,0.0031,False
GSE316244,GSM9447781_Expt3_Het_RFP,fibroblast-to-epithelium (ED Fig. 5i-j),Spp1,0.6115,False
GSE316244,GSM9447781_Expt3_Het_RFP,mutant epithelial states (Fig. 4l),Sftpc,0.9908,False
GSE316244,GSM9447781_Expt3_Het_RFP,mutant epithelial states (Fig. 4l),Etv5,0.4833,False
GSE316244,GSM9447781_Expt3_Het_RFP,mutant epithelial states (Fig. 4l),Lamp3,0.5732,False
GSE316244,GSM9447781_Expt3_Het_RFP,mutant epithelial states (Fig. 4l),Cd177,0.1605,False
GSE316244,GSM9447781_Expt3_Het_RFP,mutant epithelial states (Fig. 4l),Cldn4,0.5997,False
GSE316244,GSM9447781_Expt3_Het_RFP,mutant epithelial states (Fig. 4l),Itga2,0.7358,False
GSE316244,GSM9447781_Expt3_Het_RFP,mutant epithelial states (Fig. 4l),Ndrg1,0.5275,False
GSE316244,GSM9447781_Expt3_Het_RFP,mutant epithelial states (Fig. 4l),Sox9,0.3078,False
GSE316244,GSM9447781_Expt3_Het_RFP,mutant epithelial states (Fig. 4l),Mki67,0.1114,False
GSE316244,GSM9447781_Expt3_Het_RFP,mutant epithelial states (Fig. 4l),Ager,0.6441,False
GSE316244,GSM9447781_Expt3_Het_RFP,mutant epithelial states (Fig. 4l),Hopx,0.2506,False
GSE316244,GSM9447781_Expt3_Het_RFP,compartment,Epcam,0.899,False
GSE316244,GSM9447781_Expt3_Het_RFP,compartment,Ptprc,0.0222,False
GSE316244,GSM9447781_Expt3_Het_RFP,compartment,Col1a1,0.0049,False
GSE316244,GSM9447781_Expt3_Het_RFP,compartment,Pecam1,0.2974,False
GSE316244,GSM9447782_Expt3_Hom_RFP,alveolar fibroblast (Fig. 1d),Pdgfra,0.0022,False
GSE316244,GSM9447782_Expt3_Hom_RFP,alveolar fibroblast (Fig. 1d),Col13a1,0.0014,False
GSE316244,GSM9447782_Expt3_Hom_RFP,alveolar fibroblast (Fig. 1d),Tcf21,0.0014,False
GSE316244,GSM9447782_Expt3_Hom_RFP,alveolar fibroblast (Fig. 1d),Npnt,0.5431,False
GSE316244,GSM9447782_Expt3_Hom_RFP,alveolar fibroblast (Fig. 1d),Scube2,0.1186,False
GSE316244,GSM9447782_Expt3_Hom_RFP,adventitial fibroblast (Fig. 1d),Col14a1,0.0087,False
GSE316244,GSM9447782_Expt3_Hom_RFP,adventitial fibroblast (Fig. 1d),Pi16,0.0128,False
GSE316244,GSM9447782_Expt3_Hom_RFP,adventitial fibroblast (Fig. 1d),Dcn,0.0027,False
GSE316244,GSM9447782_Expt3_Hom_RFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Tnc,0.0156,False
GSE316244,GSM9447782_Expt3_Hom_RFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Fst,0.0084,False
GSE316244,GSM9447782_Expt3_Hom_RFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx1,0.7635,False
GSE316244,GSM9447782_Expt3_Hom_RFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx2,0.0719,False
GSE316244,GSM9447782_Expt3_Hom_RFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Acta2,0.0046,False
GSE316244,GSM9447782_Expt3_Hom_RFP,reprogrammed/fibrotic fibroblast (Fig. 1d),Pdgfrb,0.0043,False
GSE316244,GSM9447782_Expt3_Hom_RFP,inflammatory fibroblast (ED Fig. 4l-m),Lcn2,0.7378,False
GSE316244,GSM9447782_Expt3_Hom_RFP,inflammatory fibroblast (ED Fig. 4l-m),Saa3,0.0234,False
GSE316244,GSM9447782_Expt3_Hom_RFP,inflammatory fibroblast (ED Fig. 4l-m),Sfrp1,0.0019,False
GSE316244,GSM9447782_Expt3_Hom_RFP,inflammatory fibroblast (ED Fig. 4l-m),Cxcl12,0.0039,False
GSE316244,GSM9447782_Expt3_Hom_RFP,alveolar macrophage (Fig. 1h),Itgax,0.0012,False
GSE316244,GSM9447782_Expt3_Hom_RFP,alveolar macrophage (Fig. 1h),Siglec5,,True
GSE316244,GSM9447782_Expt3_Hom_RFP,alveolar macrophage (Fig. 1h),Siglecf,0.0007,False
GSE316244,GSM9447782_Expt3_Hom_RFP,alveolar macrophage (Fig. 1h),Pparg,0.0824,False
GSE316244,GSM9447782_Expt3_Hom_RFP,alveolar macrophage (Fig. 1h),Mertk,0.0469,False
GSE316244,GSM9447782_Expt3_Hom_RFP,alveolar macrophage (Fig. 1h),Car4,0.0027,False
GSE316244,GSM9447782_Expt3_Hom_RFP,reprogrammed AM (Fig. 1h),Msr1,0.0004,False
GSE316244,GSM9447782_Expt3_Hom_RFP,reprogrammed AM (Fig. 1h),Cdh1,0.818,False
GSE316244,GSM9447782_Expt3_Hom_RFP,reprogrammed AM (Fig. 1h),Ch25h,0.0012,False
GSE316244,GSM9447782_Expt3_Hom_RFP,reprogrammed AM (Fig. 1h),Ear6,0.0,False
GSE316244,GSM9447782_Expt3_Hom_RFP,reprogrammed AM (Fig. 1h),Fstl1,0.0065,False
GSE316244,GSM9447782_Expt3_Hom_RFP,reprogrammed AM (Fig. 1h),Cxcl2,0.0924,False
GSE316244,GSM9447782_Expt3_Hom_RFP,monocyte/IM (Fig. 1h),Itgam,0.0787,False
GSE316244,GSM9447782_Expt3_Hom_RFP,monocyte/IM (Fig. 1h),Ly6c2,0.1445,False
GSE316244,GSM9447782_Expt3_Hom_RFP,monocyte/IM (Fig. 1h),Ccr2,0.0026,False
GSE316244,GSM9447782_Expt3_Hom_RFP,monocyte/IM (Fig. 1h),Cx3cr1,0.0912,False
GSE316244,GSM9447782_Expt3_Hom_RFP,monocyte/IM (Fig. 1h),Mmp19,0.0244,False
GSE316244,GSM9447782_Expt3_Hom_RFP,Tnc-TLR4 axis (ED Fig. 4d),Tnc,0.0156,False
GSE316244,GSM9447782_Expt3_Hom_RFP,Tnc-TLR4 axis (ED Fig. 4d),Tlr4,0.2562,False
GSE316244,GSM9447782_Expt3_Hom_RFP,EGF axis (ED Fig. 5f-h),Areg,0.4361,False
GSE316244,GSM9447782_Expt3_Hom_RFP,EGF axis (ED Fig. 5f-h),Ereg,0.2334,False
GSE316244,GSM9447782_Expt3_Hom_RFP,EGF axis (ED Fig. 5f-h),Hbegf,0.6531,False
GSE316244,GSM9447782_Expt3_Hom_RFP,EGF axis (ED Fig. 5f-h),Tgfa,0.2241,False
GSE316244,GSM9447782_Expt3_Hom_RFP,EGF axis (ED Fig. 5f-h),Egfr,0.1198,False
GSE316244,GSM9447782_Expt3_Hom_RFP,fibroblast-to-epithelium (ED Fig. 5i-j),Wnt5a,0.0082,False
GSE316244,GSM9447782_Expt3_Hom_RFP,fibroblast-to-epithelium (ED Fig. 5i-j),Igf1,0.001,False
GSE316244,GSM9447782_Expt3_Hom_RFP,fibroblast-to-epithelium (ED Fig. 5i-j),Spp1,0.1185,False
GSE316244,GSM9447782_Expt3_Hom_RFP,mutant epithelial states (Fig. 4l),Sftpc,0.9996,False
GSE316244,GSM9447782_Expt3_Hom_RFP,mutant epithelial states (Fig. 4l),Etv5,0.6828,False
GSE316244,GSM9447782_Expt3_Hom_RFP,mutant epithelial states (Fig. 4l),Lamp3,0.763,False
GSE316244,GSM9447782_Expt3_Hom_RFP,mutant epithelial states (Fig. 4l),Cd177,0.0587,False
GSE316244,GSM9447782_Expt3_Hom_RFP,mutant epithelial states (Fig. 4l),Cldn4,0.2925,False
GSE316244,GSM9447782_Expt3_Hom_RFP,mutant epithelial states (Fig. 4l),Itga2,0.3566,False
GSE316244,GSM9447782_Expt3_Hom_RFP,mutant epithelial states (Fig. 4l),Ndrg1,0.354,False
GSE316244,GSM9447782_Expt3_Hom_RFP,mutant epithelial states (Fig. 4l),Sox9,0.1387,False
GSE316244,GSM9447782_Expt3_Hom_RFP,mutant epithelial states (Fig. 4l),Mki67,0.1025,False
GSE316244,GSM9447782_Expt3_Hom_RFP,mutant epithelial states (Fig. 4l),Ager,0.7264,False
GSE316244,GSM9447782_Expt3_Hom_RFP,mutant epithelial states (Fig. 4l),Hopx,0.1012,False
GSE316244,GSM9447782_Expt3_Hom_RFP,compartment,Epcam,0.8118,False
GSE316244,GSM9447782_Expt3_Hom_RFP,compartment,Ptprc,0.0094,False
GSE316244,GSM9447782_Expt3_Hom_RFP,compartment,Col1a1,0.0038,False
GSE316244,GSM9447782_Expt3_Hom_RFP,compartment,Pecam1,0.3397,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),SFTPC,0.9997,False
GSE310335,GSE310335_SIGAE,human organoid states (Fig. 5h),NAPSA,0.9207,False
