accession,library,gsm,role,barcodes,genes_in_reference,non_gene_features,species_probe_mouse,species_probe_human,species_call,species_expected,species_agrees,median_total_counts,median_genes,median_pct_mt,median_pct_ribo,median_pct_hb,cells_under_500_counts,cells_over_10pct_mt,nnz,non_gene_feature_detail
GSE316241,GSM9447763_Expt1_Confetti_mesenchyme,GSM9447763,"mesenchymal cells, Confetti and Red2Kras lungs (paper Fig. 1b-e)",6435,32285,none,0.2495,0.0,mouse,mouse,True,4529,2111,1.18,6.58,0.0,0,46,14183556,
GSE316241,GSM9447764_Expt1_Red2Kras_mesenchyme,GSM9447764,"mesenchymal cells, Confetti and Red2Kras lungs (paper Fig. 1b-e)",6791,32285,none,0.2757,0.0,mouse,mouse,True,3943,1824,1.4,8.25,0.26,0,85,14284206,
GSE316243,GSM9447777_Expt2_Confetti_niche,GSM9447777,"immune and stromal cells, Confetti and Red2Kras lungs (paper Fig. 1f-h)",4498,31053,none,0.1904,0.0,mouse,mouse,True,2042,677,1.88,12.7,0.38,0,12,3643980,
GSE316243,GSM9447778_Expt2_Red2Kras_niche,GSM9447778,"immune and stromal cells, Confetti and Red2Kras lungs (paper Fig. 1f-h)",3338,31053,none,0.2111,0.0,mouse,mouse,True,5885,1037,1.71,11.41,0.44,0,49,4467027,
GSE316244,GSM9447779_Expt3_Het_niche,GSM9447779,Areg-flox arm: niche and RFP+ mutant epithelium (paper Fig. 4d-m),8541,32285,BSD,0.3018,0.0,mouse,mouse,True,7056,2615,1.83,11.14,0.14,0,306,24336658,"{""BSD"": {""cells_detected"": 426, ""fraction_of_cells"": 0.0499, ""total_counts"": 545}}"
GSE316244,GSM9447780_Expt3_Hom_niche,GSM9447780,Areg-flox arm: niche and RFP+ mutant epithelium (paper Fig. 4d-m),10891,32285,BSD,0.3013,0.0,mouse,mouse,True,7509,2750,1.89,10.84,0.0,0,226,31175699,"{""BSD"": {""cells_detected"": 311, ""fraction_of_cells"": 0.0286, ""total_counts"": 364}}"
GSE316244,GSM9447781_Expt3_Het_RFP,GSM9447781,Areg-flox arm: niche and RFP+ mutant epithelium (paper Fig. 4d-m),7395,32285,BSD,0.5238,0.0,mouse,mouse,True,13367,3874,1.86,15.38,0.0,0,300,28582808,"{""BSD"": {""cells_detected"": 2875, ""fraction_of_cells"": 0.3888, ""total_counts"": 4932}}"
GSE316244,GSM9447782_Expt3_Hom_RFP,GSM9447782,Areg-flox arm: niche and RFP+ mutant epithelium (paper Fig. 4d-m),6929,32285,BSD,0.4971,0.0,mouse,mouse,True,12277,3545,2.76,13.67,0.0,0,920,23749763,"{""BSD"": {""cells_detected"": 2757, ""fraction_of_cells"": 0.3979, ""total_counts"": 4727}}"
GSE310335,GSE310335_SIGAE,,human KRAS-G12D alveolar organoids (paper Fig. 5f-h),6190,36601,none,0.0,0.4837,human,human,True,16165,3757,7.83,21.86,0.0,0,1570,23341757,
GSE310335,GSE310335_SIGAF,,human KRAS-G12D alveolar organoids (paper Fig. 5f-h),3218,36601,none,0.0,0.497,human,human,True,30586,5576,8.94,20.72,0.0,0,1231,17006840,
GSE247505,GSM7890829_Expt1_ConfettiRFP,GSM7890829,"England 2025: RFP+ lineage-labelled mutant epithelium, the CellChat partner",5366,31053,none,0.374,0.0,mouse,mouse,True,3581,1286,4.47,12.76,0.0,0,723,6734057,
GSE247505,GSM7890830_Expt1_ConfettiYFP,GSM7890830,"England 2025: RFP+ lineage-labelled mutant epithelium, the CellChat partner",6213,31053,none,0.3562,0.0,mouse,mouse,True,2864,1143,3.9,12.5,0.0,0,443,7026939,
GSE247505,GSM7890831_Expt1_4dRFPr1,GSM7890831,"England 2025: RFP+ lineage-labelled mutant epithelium, the CellChat partner",4811,31053,none,0.4022,0.0,mouse,mouse,True,4306,1408,3.1,14.89,0.0,0,351,6926360,
GSE247505,GSM7890832_Expt1_4dRFPr2,GSM7890832,"England 2025: RFP+ lineage-labelled mutant epithelium, the CellChat partner",2144,31053,none,0.3835,0.0,mouse,mouse,True,4623,1456,1.39,20.01,0.0,0,7,3147875,
GSE247505,GSM7890833_Expt1_4dYFPr1,GSM7890833,"England 2025: RFP+ lineage-labelled mutant epithelium, the CellChat partner",2584,31053,none,0.3975,0.0,mouse,mouse,True,5154,1633,3.76,12.49,0.0,0,360,4029813,
