mark	possible_preparation_contrasts	eligible_1kb	eligible_5kb	both_windows_eligible	same_direction_across_windows	H3_changes_direction_1kb	H3_changes_direction_5kb
H3K27ac	92	91	92	91	78	26	25
H3K27me3	92	87	92	87	78	18	18
H3K4me3	92	86	88	86	75	15	15
