subcluster,panEC_score,nonEC_score
0,1.33,-0.607
1,1.231,-0.423
2,1.68,-0.56
3,0.418,-0.344
4,0.993,-0.579
5,-0.95,0.473
6,-0.857,0.731
7,-1.131,-0.229
8,-1.114,0.407
9,-0.619,-0.036
10,-1.016,0.693
11,-1.021,0.426
12,-0.992,-0.09
13,-0.809,0.304
14,-0.929,0.294
15,-1.062,0.13
16,-1.012,-0.052
17,-0.965,-0.131
18,-0.915,-0.009
19,0.523,0.338
20,-0.087,-0.208
21,0.605,-0.527
22,0.926,-0.587
23,-1.007,-0.015
24,-1.171,0.022
25,-0.468,0.627
26,0.717,-0.328
27,1.05,-0.416
