set,gene,control,n_control,IL-1beta,n_IL-1beta,ratio_il1b_over_control
AT1_early,Lmo7,,0,,0,
AT1_early,Pdpn,,0,,0,
AT1_early,Hopx,,0,,0,
AT1_late,Aqp5,,0,,0,
AT1_late,Vegfa,,0,,0,
AT1_late,Cav1,,0,,0,
AT1_late,Spock2,,0,,0,
DATP_figure7,Cldn4,,0,,0,
DATP_figure7,AW112010,,0,,0,
DATP_figure7,Lhfp,,0,,0,
