gsm,treatment,label,gene,cells,detection_fraction,mean_normalized_10000
GSM9057712,Control IgG,APC_ambiguous,Areg,56,0.24999999999999992,0.9175782256267583
GSM9057712,Control IgG,APC_ambiguous,Casp1,56,0.4107142857142856,0.5418745125021351
GSM9057712,Control IgG,APC_ambiguous,Ccl2,56,0.10714285714285712,1.3851228649759129
GSM9057712,Control IgG,APC_ambiguous,Cxcl12,56,0.0,0.0
GSM9057712,Control IgG,APC_ambiguous,Fgf10,56,0.0,0.0
GSM9057712,Control IgG,APC_ambiguous,Fgf7,56,0.0,0.0
GSM9057712,Control IgG,APC_ambiguous,Gsdmd,56,0.39285714285714274,0.6903665629096999
GSM9057712,Control IgG,APC_ambiguous,Hbegf,56,0.0,0.0
GSM9057712,Control IgG,APC_ambiguous,Il1a,56,0.05357142857142857,0.2966097384151228
GSM9057712,Control IgG,APC_ambiguous,Il1b,56,0.8214285714285721,20.514224388003797
GSM9057712,Control IgG,APC_ambiguous,Il1r1,56,0.05357142857142857,0.08665411057641702
GSM9057712,Control IgG,APC_ambiguous,Il1r2,56,0.17857142857142852,0.27217554443611175
GSM9057712,Control IgG,APC_ambiguous,Il1rap,56,0.10714285714285712,0.11256960459128126
GSM9057712,Control IgG,APC_ambiguous,Il1rn,56,0.03571428571428571,0.04564386415156752
GSM9057712,Control IgG,APC_ambiguous,Nlrp3,56,0.4107142857142856,0.6188553783585227
GSM9057712,Control IgG,APC_ambiguous,Pycard,56,0.6607142857142859,1.6907559621181951
GSM9057712,Control IgG,APC_ambiguous,Sigirr,56,0.08928571428571427,0.16767942310522843
GSM9057712,Control IgG,APC_ambiguous,Tgfb1,56,0.9464285714285724,5.329054903712503
GSM9057712,Control IgG,APC_ambiguous,Vegfa,56,0.12499999999999997,0.25550603085565526
GSM9057712,Control IgG,AT1_like,Areg,38,0.0,0.0
GSM9057712,Control IgG,AT1_like,Casp1,38,0.0,0.0
GSM9057712,Control IgG,AT1_like,Ccl2,38,0.0,0.0
GSM9057712,Control IgG,AT1_like,Cxcl12,38,0.0,0.0
GSM9057712,Control IgG,AT1_like,Fgf10,38,0.0,0.0
GSM9057712,Control IgG,AT1_like,Fgf7,38,0.0,0.0
GSM9057712,Control IgG,AT1_like,Gsdmd,38,0.13157894736842105,0.4507551029416257
GSM9057712,Control IgG,AT1_like,Hbegf,38,0.4736842105263156,2.4253085308623317
GSM9057712,Control IgG,AT1_like,Il1a,38,0.0,0.0
GSM9057712,Control IgG,AT1_like,Il1b,38,0.05263157894736842,2.5306033268474866
GSM9057712,Control IgG,AT1_like,Il1r1,38,0.10526315789473684,0.5049784604270403
GSM9057712,Control IgG,AT1_like,Il1r2,38,0.0,0.0
GSM9057712,Control IgG,AT1_like,Il1rap,38,0.0,0.0
GSM9057712,Control IgG,AT1_like,Il1rn,38,0.0,0.0
GSM9057712,Control IgG,AT1_like,Nlrp3,38,0.02631578947368421,0.04561585972210818
GSM9057712,Control IgG,AT1_like,Pycard,38,0.05263157894736842,0.06575631326806367
GSM9057712,Control IgG,AT1_like,Sigirr,38,0.02631578947368421,0.061071685944962185
GSM9057712,Control IgG,AT1_like,Tgfb1,38,0.13157894736842105,0.3002951114776898
GSM9057712,Control IgG,AT1_like,Vegfa,38,0.973684210526315,41.72257798578576
GSM9057712,Control IgG,B_cell,Areg,696,0.011494252873563218,0.057648879874630646
GSM9057712,Control IgG,B_cell,Casp1,696,0.14080459770114942,0.37970764009699753
GSM9057712,Control IgG,B_cell,Ccl2,696,0.0,0.0
GSM9057712,Control IgG,B_cell,Cxcl12,696,0.004310344827586207,0.019210120180941564
GSM9057712,Control IgG,B_cell,Fgf10,696,0.0014367816091954023,0.001213805532816932
GSM9057712,Control IgG,B_cell,Fgf7,696,0.0,0.0
GSM9057712,Control IgG,B_cell,Gsdmd,696,0.11063218390804587,0.3407021361818575
GSM9057712,Control IgG,B_cell,Hbegf,696,0.0,0.0
GSM9057712,Control IgG,B_cell,Il1a,696,0.0014367816091954023,0.0008873404206987415
GSM9057712,Control IgG,B_cell,Il1b,696,0.017241379310344827,0.08278327894191358
GSM9057712,Control IgG,B_cell,Il1r1,696,0.0028735632183908046,0.0069488175649325985
GSM9057712,Control IgG,B_cell,Il1r2,696,0.007183908045977011,0.016932231389992076
GSM9057712,Control IgG,B_cell,Il1rap,696,0.008620689655172414,0.037146133881863184
GSM9057712,Control IgG,B_cell,Il1rn,696,0.0,0.0
GSM9057712,Control IgG,B_cell,Nlrp3,696,0.0,0.0
GSM9057712,Control IgG,B_cell,Pycard,696,0.25431034482758713,0.9056060947105107
GSM9057712,Control IgG,B_cell,Sigirr,696,0.06752873563218385,0.1733690723500969
GSM9057712,Control IgG,B_cell,Tgfb1,696,0.6551724137931018,3.968254762697091
GSM9057712,Control IgG,B_cell,Vegfa,696,0.01293103448275862,0.043526522731889346
GSM9057712,Control IgG,CSF1R_myeloid,Areg,354,0.0875706214689266,0.5458965114429962
GSM9057712,Control IgG,CSF1R_myeloid,Casp1,354,0.34180790960451907,0.8977618156208461
GSM9057712,Control IgG,CSF1R_myeloid,Ccl2,354,0.20621468926553682,1.5588115812821994
GSM9057712,Control IgG,CSF1R_myeloid,Cxcl12,354,0.0,0.0
GSM9057712,Control IgG,CSF1R_myeloid,Fgf10,354,0.0,0.0
GSM9057712,Control IgG,CSF1R_myeloid,Fgf7,354,0.002824858757062147,0.02111254676429108
GSM9057712,Control IgG,CSF1R_myeloid,Gsdmd,354,0.43502824858756906,1.058917228591755
GSM9057712,Control IgG,CSF1R_myeloid,Hbegf,354,0.011299435028248588,0.024087708148056622
GSM9057712,Control IgG,CSF1R_myeloid,Il1a,354,0.014124293785310734,0.03200329441115041
GSM9057712,Control IgG,CSF1R_myeloid,Il1b,354,0.8785310734463294,24.401430546535153
GSM9057712,Control IgG,CSF1R_myeloid,Il1r1,354,0.002824858757062147,0.0022847450315934543
GSM9057712,Control IgG,CSF1R_myeloid,Il1r2,354,0.07344632768361585,0.13427036793773323
GSM9057712,Control IgG,CSF1R_myeloid,Il1rap,354,0.076271186440678,0.11334846429674811
GSM9057712,Control IgG,CSF1R_myeloid,Il1rn,354,0.062146892655367256,0.5308442719695503
GSM9057712,Control IgG,CSF1R_myeloid,Nlrp3,354,0.4293785310734448,1.2144209957328251
GSM9057712,Control IgG,CSF1R_myeloid,Pycard,354,0.4915254237288115,1.3974054625987984
GSM9057712,Control IgG,CSF1R_myeloid,Sigirr,354,0.025423728813559324,0.04125903575542043
GSM9057712,Control IgG,CSF1R_myeloid,Tgfb1,354,0.8898305084745781,7.491152711736704
GSM9057712,Control IgG,CSF1R_myeloid,Vegfa,354,0.23728813559322046,0.7165121105967572
GSM9057712,Control IgG,NK_cell,Areg,158,0.0,0.0
GSM9057712,Control IgG,NK_cell,Casp1,158,0.18354430379746847,0.5705261105198672
GSM9057712,Control IgG,NK_cell,Ccl2,158,0.0,0.0
GSM9057712,Control IgG,NK_cell,Cxcl12,158,0.0,0.0
