unit_id,gsm,treatment,compartment,label,cells
u49,GSM9057713,anti-IL-1β,other,mural_pericyte,10
u50,GSM9057713,anti-IL-1β,airway,neuroendocrine_candidate,28
u51,GSM9057713,anti-IL-1β,other,neutrophil,677
u52,GSM9057713,anti-IL-1β,other,pDC_candidate,31
u53,GSM9057713,anti-IL-1β,other,plasma_cell,15
u54,GSM9057713,anti-IL-1β,airway,secretory_airway,19
u55,GSM9057713,anti-IL-1β,other,smooth_muscle,87
u56,GSM9057713,anti-IL-1β,endothelial,vascular_endothelial,240
u57,GSM9057709,Control IgG,other,APC_ambiguous,58
u58,GSM9057709,Control IgG,alveolar,AT1_like,214
u59,GSM9057709,Control IgG,other,B_cell,397
u60,GSM9057709,Control IgG,myeloid,CSF1R_myeloid,96
u61,GSM9057709,Control IgG,other,NK_cell,147
u62,GSM9057709,Control IgG,other,T_cell,535
u63,GSM9057709,Control IgG,other,basophil_mast_candidate,3
u64,GSM9057709,Control IgG,endothelial,capillary_endothelial,80
u65,GSM9057709,Control IgG,other,cardiac_muscle,2
u66,GSM9057709,Control IgG,other,cytotoxic_T_cell,73
u67,GSM9057709,Control IgG,fibroblast,fibroblast_Gsn,58
u68,GSM9057709,Control IgG,fibroblast,fibroblast_Itga8,6
u69,GSM9057709,Control IgG,fibroblast,fibroblast_Pi16,23
u70,GSM9057709,Control IgG,myeloid,inflammatory_CSF1R_CSF3R_myeloid,26
u71,GSM9057709,Control IgG,other,inflammatory_granulocyte_candidate,8
u72,GSM9057709,Control IgG,other,mesothelial_stromal_ambiguous,5
u73,GSM9057709,Control IgG,alveolar,mixed_AT2_AT1_alveolar,180
u74,GSM9057709,Control IgG,unassigned,mixed_myeloid_B,7
u75,GSM9057709,Control IgG,other,mural_pericyte,23
u76,GSM9057709,Control IgG,airway,neuroendocrine_candidate,69
u77,GSM9057709,Control IgG,other,neutrophil,196
u78,GSM9057709,Control IgG,other,pDC_candidate,6
u79,GSM9057709,Control IgG,other,plasma_cell,14
u80,GSM9057709,Control IgG,airway,secretory_airway,65
u81,GSM9057709,Control IgG,other,smooth_muscle,43
u82,GSM9057709,Control IgG,endothelial,vascular_endothelial,141
u83,GSM9057716,Control IgG,other,APC_ambiguous,80
u84,GSM9057716,Control IgG,alveolar,AT1_like,149
u85,GSM9057716,Control IgG,other,B_cell,427
u86,GSM9057716,Control IgG,myeloid,CSF1R_myeloid,262
u87,GSM9057716,Control IgG,other,NK_cell,263
u88,GSM9057716,Control IgG,other,T_cell,795
u89,GSM9057716,Control IgG,other,basophil_mast_candidate,15
u90,GSM9057716,Control IgG,endothelial,capillary_endothelial,62
u91,GSM9057716,Control IgG,other,cardiac_muscle,8
