gsm,treatment,compartment,label,cells
GSM9057716,Control IgG,myeloid,inflammatory_CSF1R_CSF3R_myeloid,62
GSM9057716,Control IgG,other,APC_ambiguous,80
GSM9057716,Control IgG,other,B_cell,427
GSM9057716,Control IgG,other,NK_cell,263
GSM9057716,Control IgG,other,T_cell,795
GSM9057716,Control IgG,other,basophil_mast_candidate,15
GSM9057716,Control IgG,other,cardiac_muscle,8
GSM9057716,Control IgG,other,cytotoxic_T_cell,132
GSM9057716,Control IgG,other,inflammatory_granulocyte_candidate,8
GSM9057716,Control IgG,other,mesothelial_stromal_ambiguous,39
GSM9057716,Control IgG,other,mural_pericyte,24
GSM9057716,Control IgG,other,neutrophil,347
GSM9057716,Control IgG,other,pDC_candidate,30
GSM9057716,Control IgG,other,plasma_cell,109
GSM9057716,Control IgG,other,smooth_muscle,220
GSM9057716,Control IgG,unassigned,mixed_fibroblast_myeloid,3
GSM9057716,Control IgG,unassigned,mixed_lineage,21
GSM9057716,Control IgG,unassigned,mixed_myeloid_B,9
GSM9057717,anti-IL-1β,airway,neuroendocrine_candidate,15
GSM9057717,anti-IL-1β,airway,secretory_airway,10
GSM9057717,anti-IL-1β,alveolar,AT1_like,29
GSM9057717,anti-IL-1β,alveolar,mixed_AT2_AT1_alveolar,45
GSM9057717,anti-IL-1β,endothelial,capillary_endothelial,44
GSM9057717,anti-IL-1β,endothelial,vascular_endothelial,74
GSM9057717,anti-IL-1β,fibroblast,fibroblast_Gsn,104
GSM9057717,anti-IL-1β,fibroblast,fibroblast_Itga8,95
GSM9057717,anti-IL-1β,fibroblast,fibroblast_Pi16,218
GSM9057717,anti-IL-1β,myeloid,CSF1R_myeloid,260
GSM9057717,anti-IL-1β,myeloid,inflammatory_CSF1R_CSF3R_myeloid,44
GSM9057717,anti-IL-1β,myeloid,macrophage_candidate,3
GSM9057717,anti-IL-1β,other,APC_ambiguous,97
GSM9057717,anti-IL-1β,other,B_cell,411
GSM9057717,anti-IL-1β,other,NK_cell,312
GSM9057717,anti-IL-1β,other,T_cell,563
GSM9057717,anti-IL-1β,other,basophil_mast_candidate,16
GSM9057717,anti-IL-1β,other,cardiac_muscle,1
GSM9057717,anti-IL-1β,other,cytotoxic_T_cell,90
GSM9057717,anti-IL-1β,other,inflammatory_granulocyte_candidate,5
GSM9057717,anti-IL-1β,other,mesothelial_stromal_ambiguous,11
GSM9057717,anti-IL-1β,other,mural_pericyte,38
GSM9057717,anti-IL-1β,other,neutrophil,275
GSM9057717,anti-IL-1β,other,pDC_candidate,45
GSM9057717,anti-IL-1β,other,plasma_cell,9
GSM9057717,anti-IL-1β,other,smooth_muscle,91
GSM9057717,anti-IL-1β,unassigned,mixed_myeloid_B,8
GSM9057720,Control IgG,airway,neuroendocrine_candidate,46
GSM9057720,Control IgG,airway,secretory_airway,85
GSM9057720,Control IgG,alveolar,AT1_like,245
GSM9057720,Control IgG,alveolar,mixed_AT2_AT1_alveolar,108
GSM9057720,Control IgG,endothelial,capillary_endothelial,164
GSM9057720,Control IgG,endothelial,vascular_endothelial,313
GSM9057720,Control IgG,fibroblast,fibroblast_Gsn,230
GSM9057720,Control IgG,fibroblast,fibroblast_Itga8,234
GSM9057720,Control IgG,fibroblast,fibroblast_Pi16,254
GSM9057720,Control IgG,myeloid,CSF1R_myeloid,303
GSM9057720,Control IgG,myeloid,inflammatory_CSF1R_CSF3R_myeloid,95
GSM9057720,Control IgG,myeloid,macrophage_candidate,11
GSM9057720,Control IgG,other,APC_ambiguous,250
GSM9057720,Control IgG,other,B_cell,224
GSM9057720,Control IgG,other,NK_cell,85
GSM9057720,Control IgG,other,T_cell,708
GSM9057720,Control IgG,other,basophil_mast_candidate,11
GSM9057720,Control IgG,other,cardiac_muscle,6
GSM9057720,Control IgG,other,cytotoxic_T_cell,71
GSM9057720,Control IgG,other,inflammatory_granulocyte_candidate,25
GSM9057720,Control IgG,other,mesothelial_stromal_ambiguous,21
GSM9057720,Control IgG,other,mural_pericyte,15
GSM9057720,Control IgG,other,neutrophil,916
GSM9057720,Control IgG,other,pDC_candidate,33
GSM9057720,Control IgG,other,plasma_cell,25
GSM9057720,Control IgG,other,smooth_muscle,107
GSM9057720,Control IgG,unassigned,mixed_airway_cytotoxic,11
GSM9057720,Control IgG,unassigned,mixed_fibroblast_myeloid,11
GSM9057720,Control IgG,unassigned,mixed_lineage,17
GSM9057720,Control IgG,unassigned,mixed_myeloid_B,2
GSM9057721,anti-IL-1β,airway,neuroendocrine_candidate,66
GSM9057721,anti-IL-1β,airway,secretory_airway,26
GSM9057721,anti-IL-1β,alveolar,AT1_like,250
GSM9057721,anti-IL-1β,alveolar,mixed_AT2_AT1_alveolar,124
GSM9057721,anti-IL-1β,endothelial,capillary_endothelial,232
GSM9057721,anti-IL-1β,endothelial,vascular_endothelial,501
GSM9057721,anti-IL-1β,fibroblast,fibroblast_Gsn,302
GSM9057721,anti-IL-1β,fibroblast,fibroblast_Itga8,374
GSM9057721,anti-IL-1β,fibroblast,fibroblast_Pi16,304
GSM9057721,anti-IL-1β,myeloid,CSF1R_myeloid,522
GSM9057721,anti-IL-1β,myeloid,inflammatory_CSF1R_CSF3R_myeloid,177
GSM9057721,anti-IL-1β,myeloid,macrophage_candidate,4
GSM9057721,anti-IL-1β,other,APC_ambiguous,303
GSM9057721,anti-IL-1β,other,B_cell,683
GSM9057721,anti-IL-1β,other,NK_cell,235
GSM9057721,anti-IL-1β,other,T_cell,936
GSM9057721,anti-IL-1β,other,basophil_mast_candidate,33
GSM9057721,anti-IL-1β,other,cardiac_muscle,10
GSM9057721,anti-IL-1β,other,cytotoxic_T_cell,155
GSM9057721,anti-IL-1β,other,inflammatory_granulocyte_candidate,86
GSM9057721,anti-IL-1β,other,mesothelial_stromal_ambiguous,25
GSM9057721,anti-IL-1β,other,mural_pericyte,27
GSM9057721,anti-IL-1β,other,neutrophil,590
GSM9057721,anti-IL-1β,other,pDC_candidate,70
GSM9057721,anti-IL-1β,other,plasma_cell,39
GSM9057721,anti-IL-1β,other,smooth_muscle,155
GSM9057721,anti-IL-1β,unassigned,mixed_fibroblast_myeloid,10
GSM9057721,anti-IL-1β,unassigned,mixed_lineage,16
GSM9057721,anti-IL-1β,unassigned,mixed_myeloid_B,5
