pair,n_cells,detection_a,detection_b,observed_both,expected_if_independent,ratio,genotype,tier,verdict
Runx1 with Pdgfrb,2751,0.5823,0.4787,0.3333,0.2788,1.1957,Areg-flox/+,retained,consistent with independence
Fst with Runx2,2751,0.3635,0.2185,0.1378,0.0794,1.7348,Areg-flox/+,falling,same cells more than chance
Runx1 with Fst,2751,0.5823,0.3635,0.2443,0.2117,1.154,Areg-flox/+,mixed,consistent with independence
Runx1 with Pdgfrb,3700,0.5059,0.4041,0.2246,0.2044,1.0986,Areg-flox/flox,retained,consistent with independence
Fst with Runx2,3700,0.1324,0.06,0.0065,0.0079,0.8163,Areg-flox/flox,falling,consistent with independence
Runx1 with Fst,3700,0.5059,0.1324,0.0549,0.067,0.8188,Areg-flox/flox,mixed,consistent with independence
