source_label	group	driver	chase_days	state	numerator	denominator	fraction
BO1535_B0302	6wk_3d	Slc4a11	3	HPCS	68	76	0.8947368421052632
BO1535_B0302	6wk_3d	Slc4a11	3	AT1-like	0	76	0.0
BO1535_B0302	6wk_3d	Slc4a11	3	AT2-like	1	76	0.013157894736842105
BO1535_B0302	6wk_3d	Slc4a11	3	Lung endoderm-like	4	76	0.05263157894736842
BO1535_B0302	6wk_3d	Slc4a11	3	Hybrid lung/gastric-like	0	76	0.0
BO1535_B0302	6wk_3d	Slc4a11	3	Highly proliferative	3	76	0.039473684210526314
BO1535_B0302	6wk_3d	Slc4a11	3	EMT	0	76	0.0
BO1535_B0302	6wk_3d	Slc4a11	3	Ribosome	0	76	0.0
BO1540_B0303	6wk_3d	Slc4a11	3	HPCS	137	146	0.9383561643835616
BO1540_B0303	6wk_3d	Slc4a11	3	AT1-like	0	146	0.0
BO1540_B0303	6wk_3d	Slc4a11	3	AT2-like	9	146	0.06164383561643835
BO1540_B0303	6wk_3d	Slc4a11	3	Lung endoderm-like	0	146	0.0
BO1540_B0303	6wk_3d	Slc4a11	3	Hybrid lung/gastric-like	0	146	0.0
BO1540_B0303	6wk_3d	Slc4a11	3	Highly proliferative	0	146	0.0
BO1540_B0303	6wk_3d	Slc4a11	3	EMT	0	146	0.0
BO1540_B0303	6wk_3d	Slc4a11	3	Ribosome	0	146	0.0
BR1128_B0307	6wk_3d	Slc4a11	3	HPCS	27	28	0.9642857142857143
BR1128_B0307	6wk_3d	Slc4a11	3	AT1-like	0	28	0.0
BR1128_B0307	6wk_3d	Slc4a11	3	AT2-like	1	28	0.03571428571428571
BR1128_B0307	6wk_3d	Slc4a11	3	Lung endoderm-like	0	28	0.0
BR1128_B0307	6wk_3d	Slc4a11	3	Hybrid lung/gastric-like	0	28	0.0
BR1128_B0307	6wk_3d	Slc4a11	3	Highly proliferative	0	28	0.0
BR1128_B0307	6wk_3d	Slc4a11	3	EMT	0	28	0.0
BR1128_B0307	6wk_3d	Slc4a11	3	Ribosome	0	28	0.0
BR1615_B0304	6wk_3d	Slc4a11	3	HPCS	146	158	0.9240506329113924
BR1615_B0304	6wk_3d	Slc4a11	3	AT1-like	2	158	0.012658227848101266
BR1615_B0304	6wk_3d	Slc4a11	3	AT2-like	10	158	0.06329113924050633
BR1615_B0304	6wk_3d	Slc4a11	3	Lung endoderm-like	0	158	0.0
BR1615_B0304	6wk_3d	Slc4a11	3	Hybrid lung/gastric-like	0	158	0.0
BR1615_B0304	6wk_3d	Slc4a11	3	Highly proliferative	0	158	0.0
BR1615_B0304	6wk_3d	Slc4a11	3	EMT	0	158	0.0
BR1615_B0304	6wk_3d	Slc4a11	3	Ribosome	0	158	0.0
BS1265_B0305	6wk_3d	Slc4a11	3	HPCS	166	178	0.9325842696629213
BS1265_B0305	6wk_3d	Slc4a11	3	AT1-like	3	178	0.016853932584269662
BS1265_B0305	6wk_3d	Slc4a11	3	AT2-like	8	178	0.0449438202247191
BS1265_B0305	6wk_3d	Slc4a11	3	Lung endoderm-like	0	178	0.0
BS1265_B0305	6wk_3d	Slc4a11	3	Hybrid lung/gastric-like	0	178	0.0
BS1265_B0305	6wk_3d	Slc4a11	3	Highly proliferative	1	178	0.0056179775280898875
BS1265_B0305	6wk_3d	Slc4a11	3	EMT	0	178	0.0
BS1265_B0305	6wk_3d	Slc4a11	3	Ribosome	0	178	0.0
BH1065_B0301_GFP+	8wk	Slc4a11	14	HPCS	34	138	0.2463768115942029
BH1065_B0301_GFP+	8wk	Slc4a11	14	AT1-like	11	138	0.07971014492753623
BH1065_B0301_GFP+	8wk	Slc4a11	14	AT2-like	58	138	0.42028985507246375
BH1065_B0301_GFP+	8wk	Slc4a11	14	Lung endoderm-like	23	138	0.16666666666666666
BH1065_B0301_GFP+	8wk	Slc4a11	14	Hybrid lung/gastric-like	10	138	0.07246376811594203
BH1065_B0301_GFP+	8wk	Slc4a11	14	Highly proliferative	2	138	0.014492753623188406
BH1065_B0301_GFP+	8wk	Slc4a11	14	EMT	0	138	0.0
BH1065_B0301_GFP+	8wk	Slc4a11	14	Ribosome	0	138	0.0
BH1094_B0302_GFP+	8wk	Slc4a11	14	HPCS	93	376	0.2473404255319149
BH1094_B0302_GFP+	8wk	Slc4a11	14	AT1-like	32	376	0.0851063829787234
BH1094_B0302_GFP+	8wk	Slc4a11	14	AT2-like	176	376	0.46808510638297873
BH1094_B0302_GFP+	8wk	Slc4a11	14	Lung endoderm-like	35	376	0.09308510638297872
BH1094_B0302_GFP+	8wk	Slc4a11	14	Hybrid lung/gastric-like	32	376	0.0851063829787234
BH1094_B0302_GFP+	8wk	Slc4a11	14	Highly proliferative	7	376	0.018617021276595744
BH1094_B0302_GFP+	8wk	Slc4a11	14	EMT	0	376	0.0
BH1094_B0302_GFP+	8wk	Slc4a11	14	Ribosome	1	376	0.0026595744680851063
BH1129_B0303_GFP+	8wk	Slc4a11	14	HPCS	25	90	0.2777777777777778
BH1129_B0303_GFP+	8wk	Slc4a11	14	AT1-like	5	90	0.05555555555555555
BH1129_B0303_GFP+	8wk	Slc4a11	14	AT2-like	38	90	0.4222222222222222
BH1129_B0303_GFP+	8wk	Slc4a11	14	Lung endoderm-like	3	90	0.03333333333333333
BH1129_B0303_GFP+	8wk	Slc4a11	14	Hybrid lung/gastric-like	19	90	0.2111111111111111
BH1129_B0303_GFP+	8wk	Slc4a11	14	Highly proliferative	0	90	0.0
BH1129_B0303_GFP+	8wk	Slc4a11	14	EMT	0	90	0.0
BH1129_B0303_GFP+	8wk	Slc4a11	14	Ribosome	0	90	0.0
BH1290_B0304_GFP+	8wk	Slc4a11	14	HPCS	26	138	0.18840579710144928
BH1290_B0304_GFP+	8wk	Slc4a11	14	AT1-like	3	138	0.021739130434782608
BH1290_B0304_GFP+	8wk	Slc4a11	14	AT2-like	81	138	0.5869565217391305
BH1290_B0304_GFP+	8wk	Slc4a11	14	Lung endoderm-like	5	138	0.036231884057971016
BH1290_B0304_GFP+	8wk	Slc4a11	14	Hybrid lung/gastric-like	18	138	0.13043478260869565
BH1290_B0304_GFP+	8wk	Slc4a11	14	Highly proliferative	5	138	0.036231884057971016
BH1290_B0304_GFP+	8wk	Slc4a11	14	EMT	0	138	0.0
BH1290_B0304_GFP+	8wk	Slc4a11	14	Ribosome	0	138	0.0
BL1121_B0304	12wk_3d	Slc4a11	3	HPCS	42	57	0.7368421052631579
BL1121_B0304	12wk_3d	Slc4a11	3	AT1-like	2	57	0.03508771929824561
BL1121_B0304	12wk_3d	Slc4a11	3	AT2-like	9	57	0.15789473684210525
BL1121_B0304	12wk_3d	Slc4a11	3	Lung endoderm-like	1	57	0.017543859649122806
BL1121_B0304	12wk_3d	Slc4a11	3	Hybrid lung/gastric-like	0	57	0.0
BL1121_B0304	12wk_3d	Slc4a11	3	Highly proliferative	3	57	0.05263157894736842
BL1121_B0304	12wk_3d	Slc4a11	3	EMT	0	57	0.0
