source_label	group	driver	chase_days	source_age_label	source_library	gsm	GEO_title	retained_cells	permanent_trace	current_mScarlet	unit_status	source_notebook
BO1535_B0302	6wk_3d	Slc4a11	3	6wk_3d	IGO17402	GSM9193565	KPfrt (Slc4a11-MCD/+ or Hopx-MACD/+) Rosa26-mTmG/+ tumors harvested at (6 or 12) weeks PTI, 3d tracing, GEX	76	author trace-sorted assignment	unavailable for traced rows	source alias; independent mouse/pool membership not verified	cache/followup_sources/hpcs/tracing/IGO17402/IGO17402-nointrons.ipynb
BO1540_B0303	6wk_3d	Slc4a11	3	6wk_3d	IGO17402	GSM9193565	KPfrt (Slc4a11-MCD/+ or Hopx-MACD/+) Rosa26-mTmG/+ tumors harvested at (6 or 12) weeks PTI, 3d tracing, GEX	146	author trace-sorted assignment	unavailable for traced rows	source alias; independent mouse/pool membership not verified	cache/followup_sources/hpcs/tracing/IGO17402/IGO17402-nointrons.ipynb
BR1128_B0307	6wk_3d	Slc4a11	3	6wk_3d	IGO17402	GSM9193565	KPfrt (Slc4a11-MCD/+ or Hopx-MACD/+) Rosa26-mTmG/+ tumors harvested at (6 or 12) weeks PTI, 3d tracing, GEX	28	author trace-sorted assignment	unavailable for traced rows	source alias; independent mouse/pool membership not verified	cache/followup_sources/hpcs/tracing/IGO17402/IGO17402-nointrons.ipynb
BR1615_B0304	6wk_3d	Slc4a11	3	6wk_3d	IGO17402	GSM9193565	KPfrt (Slc4a11-MCD/+ or Hopx-MACD/+) Rosa26-mTmG/+ tumors harvested at (6 or 12) weeks PTI, 3d tracing, GEX	158	author trace-sorted assignment	unavailable for traced rows	source alias; independent mouse/pool membership not verified	cache/followup_sources/hpcs/tracing/IGO17402/IGO17402-nointrons.ipynb
BS1265_B0305	6wk_3d	Slc4a11	3	6wk_3d	IGO17402	GSM9193565	KPfrt (Slc4a11-MCD/+ or Hopx-MACD/+) Rosa26-mTmG/+ tumors harvested at (6 or 12) weeks PTI, 3d tracing, GEX	178	author trace-sorted assignment	unavailable for traced rows	source alias; independent mouse/pool membership not verified	cache/followup_sources/hpcs/tracing/IGO17402/IGO17402-nointrons.ipynb
BH1065_B0301_GFP+	8wk	Slc4a11	14	8wk harvest; 6wk induction in panel label	IGO15601	GSM8529528	KPfrt Slc4a11-MCD/+ Rosa26-mTmG/+  tumor cells harvested 8 weeks PTI after 2 weeks of tracing, GEX	138	author trace-sorted assignment	unavailable for traced rows	source alias; independent mouse/pool membership not verified	cache/followup_sources/hpcs/tracing/IGO15601/IGO15601.ipynb
BH1094_B0302_GFP+	8wk	Slc4a11	14	8wk harvest; 6wk induction in panel label	IGO15601	GSM8529528	KPfrt Slc4a11-MCD/+ Rosa26-mTmG/+  tumor cells harvested 8 weeks PTI after 2 weeks of tracing, GEX	376	author trace-sorted assignment	unavailable for traced rows	source alias; independent mouse/pool membership not verified	cache/followup_sources/hpcs/tracing/IGO15601/IGO15601.ipynb
BH1129_B0303_GFP+	8wk	Slc4a11	14	8wk harvest; 6wk induction in panel label	IGO15601	GSM8529528	KPfrt Slc4a11-MCD/+ Rosa26-mTmG/+  tumor cells harvested 8 weeks PTI after 2 weeks of tracing, GEX	90	author trace-sorted assignment	unavailable for traced rows	source alias; independent mouse/pool membership not verified	cache/followup_sources/hpcs/tracing/IGO15601/IGO15601.ipynb
BH1290_B0304_GFP+	8wk	Slc4a11	14	8wk harvest; 6wk induction in panel label	IGO15601	GSM8529528	KPfrt Slc4a11-MCD/+ Rosa26-mTmG/+  tumor cells harvested 8 weeks PTI after 2 weeks of tracing, GEX	138	author trace-sorted assignment	unavailable for traced rows	source alias; independent mouse/pool membership not verified	cache/followup_sources/hpcs/tracing/IGO15601/IGO15601.ipynb
BL1121_B0304	12wk_3d	Slc4a11	3	12wk_3d	IGO16686	GSM9193563	KPfrt Slc4a11-MCD/+ Rosa26-mTmG/+ tumors treated with Tamoxifen and harvested at 12 weeks PTI after 3d tracing, GEX	57	author trace-sorted assignment	unavailable for traced rows	source alias; independent mouse/pool membership not verified	cache/followup_sources/hpcs/tracing/IGO16686/IGO16686-nointrons.ipynb
BL1124_B0305	12wk_3d	Slc4a11	3	12wk_3d	IGO16686	GSM9193563	KPfrt Slc4a11-MCD/+ Rosa26-mTmG/+ tumors treated with Tamoxifen and harvested at 12 weeks PTI after 3d tracing, GEX	67	author trace-sorted assignment	unavailable for traced rows	source alias; independent mouse/pool membership not verified	cache/followup_sources/hpcs/tracing/IGO16686/IGO16686-nointrons.ipynb
BL1233_B0306	12wk_3d	Slc4a11	3	12wk_3d	IGO16686	GSM9193563	KPfrt Slc4a11-MCD/+ Rosa26-mTmG/+ tumors treated with Tamoxifen and harvested at 12 weeks PTI after 3d tracing, GEX	58	author trace-sorted assignment	unavailable for traced rows	source alias; independent mouse/pool membership not verified	cache/followup_sources/hpcs/tracing/IGO16686/IGO16686-nointrons.ipynb
BL1237_B0302	12wk_3d	Slc4a11	3	12wk_3d	IGO16686	GSM9193563	KPfrt Slc4a11-MCD/+ Rosa26-mTmG/+ tumors treated with Tamoxifen and harvested at 12 weeks PTI after 3d tracing, GEX	239	author trace-sorted assignment	unavailable for traced rows	source alias; independent mouse/pool membership not verified	cache/followup_sources/hpcs/tracing/IGO16686/IGO16686-nointrons.ipynb
BL1606_B0303	12wk_3d	Slc4a11	3	12wk_3d	IGO16686	GSM9193563	KPfrt Slc4a11-MCD/+ Rosa26-mTmG/+ tumors treated with Tamoxifen and harvested at 12 weeks PTI after 3d tracing, GEX	354	author trace-sorted assignment	unavailable for traced rows	source alias; independent mouse/pool membership not verified	cache/followup_sources/hpcs/tracing/IGO16686/IGO16686-nointrons.ipynb
BL1646_B0301	12wk_3d	Slc4a11	3	12wk_3d	IGO16686	GSM9193563	KPfrt Slc4a11-MCD/+ Rosa26-mTmG/+ tumors treated with Tamoxifen and harvested at 12 weeks PTI after 3d tracing, GEX	102	author trace-sorted assignment	unavailable for traced rows	source alias; independent mouse/pool membership not verified	cache/followup_sources/hpcs/tracing/IGO16686/IGO16686-nointrons.ipynb
BD1621_B0302_GFP+	14wk	Slc4a11	14	14wk harvest; 12wk induction in panel label	IGO15600	GSM8529526	KPfrt Slc4a11-MCD/+ Rosa26-mTmG/+  tumor cells harvested 14 weeks PTI after 2 weeks of tracing, GEX	119	author trace-sorted assignment	unavailable for traced rows	source alias; independent mouse/pool membership not verified	cache/followup_sources/hpcs/tracing/IGO15600/IGO15600.ipynb
BF1303_B0301_GFP+	14wk	Slc4a11	14	14wk harvest; 12wk induction in panel label	IGO15600	GSM8529526	KPfrt Slc4a11-MCD/+ Rosa26-mTmG/+  tumor cells harvested 14 weeks PTI after 2 weeks of tracing, GEX	811	author trace-sorted assignment	unavailable for traced rows	source alias; independent mouse/pool membership not verified	cache/followup_sources/hpcs/tracing/IGO15600/IGO15600.ipynb
BH1066_GFP+	14wk	Slc4a11	14	14wk harvest; 12wk induction in panel label	IGO15771	GSM8529530	KPfrt Slc4a11-MCD/+ Rosa26-mTmG/+  tumor cells harvested 14 weeks PTI after 2 weeks of tracing, replicates, GEX	61	author trace-sorted assignment	unavailable for traced rows	source alias; independent mouse/pool membership not verified	cache/followup_sources/hpcs/tracing/IGO15771/IGO15771.ipynb
