group	driver	chase_days	state	source_labels	total_cells	state_cells	source_mean_fraction	source_min_fraction	source_max_fraction	cell_pooled_fraction
6wk_3d	Slc4a11	3	HPCS	5	586	544	0.9308027246697705	0.8947368421052632	0.9642857142857143	0.9283276450511946
6wk_3d	Slc4a11	3	AT1-like	5	586	5	0.0059024320864741854	0.0	0.016853932584269662	0.008532423208191127
6wk_3d	Slc4a11	3	AT2-like	5	586	29	0.04375019510655832	0.013157894736842105	0.06329113924050633	0.04948805460750853
6wk_3d	Slc4a11	3	Lung endoderm-like	5	586	4	0.010526315789473684	0.0	0.05263157894736842	0.006825938566552901
6wk_3d	Slc4a11	3	Hybrid lung/gastric-like	5	586	0	0.0	0.0	0.0	0.0
6wk_3d	Slc4a11	3	Highly proliferative	5	586	4	0.00901833234772324	0.0	0.039473684210526314	0.006825938566552901
6wk_3d	Slc4a11	3	EMT	5	586	0	0.0	0.0	0.0	0.0
6wk_3d	Slc4a11	3	Ribosome	5	586	0	0.0	0.0	0.0	0.0
8wk	Slc4a11	14	HPCS	4	742	178	0.23997520300133623	0.18840579710144928	0.2777777777777778	0.2398921832884097
8wk	Slc4a11	14	AT1-like	4	742	51	0.06052780347414945	0.021739130434782608	0.0851063829787234	0.06873315363881402
8wk	Slc4a11	14	AT2-like	4	742	353	0.4743884263541988	0.42028985507246375	0.5869565217391305	0.4757412398921833
8wk	Slc4a11	14	Lung endoderm-like	4	742	66	0.08232924761023744	0.03333333333333333	0.16666666666666666	0.0889487870619946
8wk	Slc4a11	14	Hybrid lung/gastric-like	4	742	79	0.12477901120361805	0.07246376811594203	0.2111111111111111	0.10646900269541779
8wk	Slc4a11	14	Highly proliferative	4	742	14	0.017335414739438792	0.0	0.036231884057971016	0.018867924528301886
8wk	Slc4a11	14	EMT	4	742	0	0.0	0.0	0.0	0.0
8wk	Slc4a11	14	Ribosome	4	742	1	0.0006648936170212766	0.0	0.0026595744680851063	0.0013477088948787063
12wk_3d	Slc4a11	3	HPCS	6	877	586	0.6785839307411266	0.46551724137931033	0.7824267782426778	0.6681870011402509
12wk_3d	Slc4a11	3	AT1-like	6	877	54	0.04847395675029345	0.0196078431372549	0.08757062146892655	0.06157354618015964
12wk_3d	Slc4a11	3	AT2-like	6	877	142	0.16577847422116201	0.08955223880597014	0.3103448275862069	0.1619156214367161
12wk_3d	Slc4a11	3	Lung endoderm-like	6	877	28	0.03670584043253119	0.012552301255230125	0.08620689655172414	0.03192702394526796
12wk_3d	Slc4a11	3	Hybrid lung/gastric-like	6	877	22	0.018092898239825805	0.0	0.03954802259887006	0.02508551881413911
12wk_3d	Slc4a11	3	Highly proliferative	6	877	34	0.04148364356569961	0.00980392156862745	0.08620689655172414	0.03876852907639681
12wk_3d	Slc4a11	3	EMT	6	877	4	0.004209593441896533	0.0	0.0196078431372549	0.004561003420752566
12wk_3d	Slc4a11	3	Ribosome	6	877	7	0.006671662607464768	0.0	0.02510460251046025	0.00798175598631699
14wk	Slc4a11	14	HPCS	3	991	315	0.43725036658151367	0.2749691738594328	0.5409836065573771	0.31786074672048437
14wk	Slc4a11	14	AT1-like	3	991	76	0.12800357757058475	0.06165228113440197	0.21311475409836064	0.07669021190716448
14wk	Slc4a11	14	AT2-like	3	991	245	0.1873582163151691	0.1092436974789916	0.2725030826140567	0.2472250252270434
14wk	Slc4a11	14	Lung endoderm-like	3	991	213	0.1621860120410073	0.03278688524590164	0.226890756302521	0.21493440968718466
14wk	Slc4a11	14	Hybrid lung/gastric-like	3	991	97	0.04464868561481313	0.0	0.11713933415536375	0.09788092835519677
14wk	Slc4a11	14	Highly proliferative	3	991	36	0.024903478805764993	0.0	0.04192355117139334	0.03632694248234107
14wk	Slc4a11	14	EMT	3	991	9	0.01564966307114708	0.0	0.04201680672268908	0.009081735620585268
14wk	Slc4a11	14	Ribosome	3	991	0	0.0	0.0	0.0	0.0
Hopx_12wk3d	Hopx	3	HPCS	2	1226	59	0.04767397154940407	0.039792387543252594	0.05555555555555555	0.04812398042414356
Hopx_12wk3d	Hopx	3	AT1-like	2	1226	582	0.47159479260113635	0.41695501730103807	0.5262345679012346	0.47471451876019577
Hopx_12wk3d	Hopx	3	AT2-like	2	1226	296	0.24185142466572684	0.2345679012345679	0.2491349480968858	0.24143556280587275
Hopx_12wk3d	Hopx	3	Lung endoderm-like	2	1226	189	0.15443045409885087	0.14969135802469136	0.15916955017301038	0.15415986949429036
Hopx_12wk3d	Hopx	3	Hybrid lung/gastric-like	2	1226	90	0.07626607287795292	0.026234567901234566	0.12629757785467127	0.0734094616639478
Hopx_12wk3d	Hopx	3	Highly proliferative	2	1226	7	0.005775022427271562	0.004629629629629629	0.006920415224913495	0.005709624796084829
Hopx_12wk3d	Hopx	3	EMT	2	1226	3	0.002408261779657397	0.0017301038062283738	0.0030864197530864196	0.0024469820554649264
Hopx_12wk3d	Hopx	3	Ribosome	2	1226	0	0.0	0.0	0.0	0.0
Hopx_12wk14d	Hopx	14	HPCS	2	911	35	0.0432409972299169	0.02	0.0664819944598338	0.038419319429198684
Hopx_12wk14d	Hopx	14	AT1-like	2	911	599	0.6506824477461597	0.6177285318559557	0.6836363636363636	0.6575192096597146
Hopx_12wk14d	Hopx	14	AT2-like	2	911	212	0.23032737345756737	0.2188365650969529	0.24181818181818182	0.2327113062568606
Hopx_12wk14d	Hopx	14	Lung endoderm-like	2	911	31	0.03389322588768572	0.0332409972299169	0.034545454545454546	0.03402854006586169
Hopx_12wk14d	Hopx	14	Hybrid lung/gastric-like	2	911	20	0.02389322588768572	0.014545454545454545	0.0332409972299169	0.021953896816684963
Hopx_12wk14d	Hopx	14	Highly proliferative	2	911	12	0.01614454797280282	0.0018181818181818182	0.030470914127423823	0.013172338090010977
Hopx_12wk14d	Hopx	14	EMT	2	911	0	0.0	0.0	0.0	0.0
Hopx_12wk14d	Hopx	14	Ribosome	2	911	2	0.0018181818181818182	0.0	0.0036363636363636364	0.0021953896816684962
