mouse_id,batch,gsm,Stem,Enterocyte.Immature.Proximal,Enterocyte.Mature.Proximal,start_intermediate_eligible,intermediate_destination_eligible,triplet_eligible
Control-Mouse1,B3,GSM2839451,200,32,36,True,True,True
Control-Mouse2,B4,GSM2839452,36,10,26,False,False,False
Control-Mouse3,B7,GSM2839453,227,65,94,True,True,True
Control-Mouse4,B8,GSM2839454,135,28,161,False,False,False
