condition,sacrifice_day,intermediate,endpoint,total_samples_in_stratum,eligible_units,minimum_units,passes_numeric_floor
H1N1_infected,6.0,Alveolar_transitional,AT2,2,0,3,False
H1N1_infected,11.0,Alveolar_transitional,AT2,2,1,3,False
H1N1_infected,19.0,Alveolar_transitional,AT2,2,0,3,False
H1N1_infected,25.0,Alveolar_transitional,AT2,2,0,3,False
H1N1_infected,42.0,Alveolar_transitional,AT2,8,0,3,False
H1N1_infected,90.0,Alveolar_transitional,AT2,4,0,3,False
H1N1_infected,366.0,Alveolar_transitional,AT2,3,0,3,False
homeostasis,0.0,Alveolar_transitional,AT2,2,0,3,False
,,Alveolar_transitional,AT2,8,0,3,False
H1N1_infected,6.0,Alveolar_transitional,AT1,2,0,3,False
H1N1_infected,11.0,Alveolar_transitional,AT1,2,1,3,False
H1N1_infected,19.0,Alveolar_transitional,AT1,2,0,3,False
H1N1_infected,25.0,Alveolar_transitional,AT1,2,0,3,False
H1N1_infected,42.0,Alveolar_transitional,AT1,8,0,3,False
H1N1_infected,90.0,Alveolar_transitional,AT1,4,0,3,False
H1N1_infected,366.0,Alveolar_transitional,AT1,3,0,3,False
homeostasis,0.0,Alveolar_transitional,AT1,2,0,3,False
,,Alveolar_transitional,AT1,8,0,3,False
H1N1_infected,6.0,AT1_AT2,AT2,2,0,3,False
H1N1_infected,11.0,AT1_AT2,AT2,2,0,3,False
H1N1_infected,19.0,AT1_AT2,AT2,2,0,3,False
H1N1_infected,25.0,AT1_AT2,AT2,2,1,3,False
H1N1_infected,42.0,AT1_AT2,AT2,8,1,3,False
H1N1_infected,90.0,AT1_AT2,AT2,4,0,3,False
H1N1_infected,366.0,AT1_AT2,AT2,3,1,3,False
homeostasis,0.0,AT1_AT2,AT2,2,0,3,False
,,AT1_AT2,AT2,8,0,3,False
H1N1_infected,6.0,AT1_AT2,AT1,2,0,3,False
H1N1_infected,11.0,AT1_AT2,AT1,2,0,3,False
H1N1_infected,19.0,AT1_AT2,AT1,2,0,3,False
H1N1_infected,25.0,AT1_AT2,AT1,2,1,3,False
H1N1_infected,42.0,AT1_AT2,AT1,8,0,3,False
H1N1_infected,90.0,AT1_AT2,AT1,4,0,3,False
H1N1_infected,366.0,AT1_AT2,AT1,3,1,3,False
homeostasis,0.0,AT1_AT2,AT1,2,0,3,False
,,AT1_AT2,AT1,8,0,3,False
