time_point,start_intermediate_eligible,intermediate_destination_eligible,triplet_eligible
d14_PBS,0,0,0
day 10,2,1,1
day 11,2,2,2
day 12,2,2,2
day 13,2,2,2
day 15,2,2,2
day 2,2,0,0
day 21,1,1,1
day 28,0,0,0
day 3,2,0,0
day 36,0,0,0
day 4,2,0,0
day 5,2,0,0
day 54,0,0,0
day 6,1,0,0
day 7,2,0,0
day 8,2,0,0
day 9,2,0,0
