capture_batch,IB,IFE-B,IFE-DI,IFE-DII,IFE-KI,IFE-KII,LH,OB,SG,TC,uHF-I,uHF-II,uHF-III,all_cells,mouse_identity_status
1772067055,0,39,6,4,1,1,0,1,0,0,4,3,0,59,unmapped; 34 capture batches are not 19 mice
1772067056,1,1,2,4,9,0,0,7,4,0,6,3,3,40,unmapped; 34 capture batches are not 19 mice
1772067071,0,21,4,1,0,0,0,1,0,1,3,2,0,33,unmapped; 34 capture batches are not 19 mice
1772067072,1,4,5,3,2,1,1,9,0,0,5,4,1,36,unmapped; 34 capture batches are not 19 mice
1772067075,0,32,7,4,1,1,0,0,0,0,5,1,0,51,unmapped; 34 capture batches are not 19 mice
1772067078,0,28,5,10,3,0,1,1,0,0,1,1,0,50,unmapped; 34 capture batches are not 19 mice
1772067080,1,2,1,2,3,2,0,0,0,0,8,5,2,26,unmapped; 34 capture batches are not 19 mice
1772067084,0,41,10,4,3,0,0,1,0,0,1,0,0,60,unmapped; 34 capture batches are not 19 mice
1772067085,4,5,2,2,4,0,2,7,0,0,2,4,1,33,unmapped; 34 capture batches are not 19 mice
1772067086,0,19,11,4,4,1,0,0,1,0,4,4,0,48,unmapped; 34 capture batches are not 19 mice
1772067087,1,8,4,4,1,2,0,12,2,2,8,8,1,53,unmapped; 34 capture batches are not 19 mice
1772067090,0,37,7,3,0,1,0,1,0,0,4,2,1,56,unmapped; 34 capture batches are not 19 mice
1772067095,0,5,4,6,2,0,0,5,0,0,11,2,0,35,unmapped; 34 capture batches are not 19 mice
1772071025,6,2,5,11,2,1,0,4,0,1,1,2,1,36,unmapped; 34 capture batches are not 19 mice
1772071026,3,2,3,3,5,0,1,10,0,2,3,3,2,37,unmapped; 34 capture batches are not 19 mice
1772071032,7,4,5,0,3,0,0,15,0,0,2,6,7,49,unmapped; 34 capture batches are not 19 mice
1772071034,1,3,4,7,2,0,1,12,0,2,3,3,3,41,unmapped; 34 capture batches are not 19 mice
1772071037,0,35,13,3,1,1,0,0,0,0,2,0,0,55,unmapped; 34 capture batches are not 19 mice
1772071039,1,8,1,5,9,0,0,0,0,0,5,5,1,35,unmapped; 34 capture batches are not 19 mice
1772071051,1,3,3,7,2,2,1,6,1,0,10,3,1,40,unmapped; 34 capture batches are not 19 mice
1772071061,5,4,2,0,1,1,2,6,2,1,4,2,4,34,unmapped; 34 capture batches are not 19 mice
1772071063,3,5,6,2,2,1,3,10,1,3,7,3,4,50,unmapped; 34 capture batches are not 19 mice
1772071066,3,0,2,1,4,2,2,13,1,2,4,4,2,40,unmapped; 34 capture batches are not 19 mice
1772071068,2,1,5,6,5,0,4,10,3,1,10,4,3,54,unmapped; 34 capture batches are not 19 mice
1772072256,5,0,3,1,0,1,2,11,0,0,7,5,3,38,unmapped; 34 capture batches are not 19 mice
1772072259,0,3,5,7,4,0,1,9,0,0,1,3,2,35,unmapped; 34 capture batches are not 19 mice
1772072261,3,5,3,5,2,0,0,4,0,0,4,7,3,36,unmapped; 34 capture batches are not 19 mice
1772072263,3,3,4,1,0,0,2,13,1,1,6,4,1,39,unmapped; 34 capture batches are not 19 mice
1772072275,2,2,6,2,1,0,2,9,0,0,7,2,5,38,unmapped; 34 capture batches are not 19 mice
1772072276,2,0,3,1,2,1,3,4,0,1,11,2,8,38,unmapped; 34 capture batches are not 19 mice
1772072282,0,3,3,2,2,0,0,10,0,0,7,6,5,38,unmapped; 34 capture batches are not 19 mice
1772072283,4,1,1,4,3,0,2,14,1,1,6,1,3,41,unmapped; 34 capture batches are not 19 mice
1772072284,0,1,4,4,2,1,1,4,2,0,10,2,5,36,unmapped; 34 capture batches are not 19 mice
1772072285,2,3,3,0,10,0,0,2,0,0,4,6,2,32,unmapped; 34 capture batches are not 19 mice
