author_celltype,cells
IFE-B,330
OB,211
uHF-I,176
IFE-DI,152
IFE-DII,123
uHF-II,112
IFE-KI,95
uHF-III,74
IB,61
LH,31
IFE-KII,20
SG,19
TC,18
