orig.ident,grouping,AT2 cells,Krt8 ADI,AT1 cells,start_intermediate_eligible,intermediate_destination_eligible,triplet_eligible
muc4169,PBS,449,5,1,False,False,False
muc4170,PBS,282,1,1,False,False,False
muc4171,d7,22,32,1,False,False,False
muc4172,PBS,396,6,8,False,False,False
muc4173,PBS,571,4,4,False,False,False
muc4631,d3,6,9,0,False,False,False
muc4632,d7,5,29,1,False,False,False
muc4633,d7,2,56,1,False,False,False
muc4634,d7,31,48,0,True,False,False
muc4635,d10,9,46,0,False,False,False
muc4636,d10,1,40,0,False,False,False
muc4637,d14,4,27,2,False,False,False
muc4638,d21,19,32,0,False,False,False
muc4639,d21,16,23,0,False,False,False
muc4640,PBS,385,2,0,False,False,False
muc4641,d28,109,36,0,True,False,False
muc4642,d28,16,18,1,False,False,False
muc4643,d3,9,55,0,False,False,False
muc4644,PBS,70,0,0,False,False,False
muc4645,d7,6,22,3,False,False,False
muc4646,d10,9,58,2,False,False,False
muc4647,d14,6,40,2,False,False,False
muc4648,d21,5,14,1,False,False,False
muc4649,d21,4,21,0,False,False,False
muc4653,d3,76,0,0,False,False,False
muc4655,d14,8,19,0,False,False,False
muc4656,d14,6,54,4,False,False,False
muc4657,PBS,189,3,6,False,False,False
