timepoint,barcode_suffix,encoded_library_group,AT2,Early Epithelium,Transitional,AT1,Neuroendocrine,Cilliated,Secretory,Mki67+ AT2,epithelial_cells,complete_at_floor,unit_identity_status
E12,1_1_1_1_1_1_1,E12:1_1_1_1_1_1_1,29,252,3,1,1,0,0,0,286,False,barcode_suffix_group; no public mouse/hash identity
E15,2_1_1_1_1_1_1,E15:2_1_1_1_1_1_1,20,69,1,3,0,6,5,0,104,False,barcode_suffix_group; no public mouse/hash identity
E16,1_1_1_1_1_1,E16:1_1_1_1_1_1,81,155,15,0,2,8,28,9,298,False,barcode_suffix_group; no public mouse/hash identity
E18,2_1_1_1_1_1,E18:2_1_1_1_1_1,110,152,44,4,2,5,44,8,369,False,barcode_suffix_group; no public mouse/hash identity
P0,1_1_1_1_1,P0:1_1_1_1_1,436,17,27,166,3,29,13,7,698,False,barcode_suffix_group; no public mouse/hash identity
P0,2_1_1_1_1,P0:2_1_1_1_1,208,24,9,159,1,23,3,0,427,False,barcode_suffix_group; no public mouse/hash identity
P3,1_1_1_1,P3:1_1_1_1,1203,20,8,419,4,47,25,66,1792,False,barcode_suffix_group; no public mouse/hash identity
P5,2_1_1_1,P5:2_1_1_1,664,21,7,180,5,38,14,101,1030,False,barcode_suffix_group; no public mouse/hash identity
P5,1_1_1,P5:1_1_1,377,13,0,78,0,36,6,69,579,False,barcode_suffix_group; no public mouse/hash identity
P7,2_1_1,P7:2_1_1,87,15,85,7,8,12,5,1,220,False,barcode_suffix_group; no public mouse/hash identity
P7,1_1,P7:1_1,3500,19,17,263,20,439,229,16,4503,False,barcode_suffix_group; no public mouse/hash identity
P7,2_1,P7:2_1,76,0,4,16,2,26,3,1,128,False,barcode_suffix_group; no public mouse/hash identity
P14,1,P14:1,5,3,1,4,1,1,6,1,22,False,barcode_suffix_group; no public mouse/hash identity
P14,2,P14:2,226,15,32,34,11,51,91,2,462,True,barcode_suffix_group; no public mouse/hash identity
