timepoint,AT1,AT2,Cilliated,Early Epithelium,Mki67+ AT2,Neuroendocrine,Secretory,Transitional,epithelial_cells,pooled_age_complete_at_floor,eligible_independent_units
E12,1,29,0,252,0,1,0,3,286,False,not_established
E15,3,20,6,69,0,0,5,1,104,False,not_established
E16,0,81,8,155,9,2,28,15,298,False,not_established
E18,4,110,5,152,8,2,44,44,369,False,not_established
P0,325,644,52,41,7,4,16,36,1125,True,not_established
P3,419,1203,47,20,66,4,25,8,1792,False,not_established
P5,258,1041,74,34,170,5,20,7,1609,False,not_established
P7,286,3663,477,34,18,30,237,106,4851,True,not_established
P14,38,231,52,18,3,12,97,33,484,True,not_established
