ligand,receptor,family,resource,biological_role
FGF10,FGFR1,exploratory,consensus,resource_RNA_compatibility_only
FGF10,FGFR2,exploratory,consensus,resource_RNA_compatibility_only
FGF10,FGFRL1,exploratory,consensus,resource_RNA_compatibility_only
TGFB1,ITGAV_ITGB6,core,consensus,resource_RNA_compatibility_only
TGFB1,ACVR1B_TGFBR2,core,consensus,resource_RNA_compatibility_only
TGFB1,TGFBR1_TGFBR2,core,consensus,resource_RNA_compatibility_only
TGFB1,ACVR1_TGFBR1_TGFBR2,core,consensus,resource_RNA_compatibility_only
TGFB1,ACVR1_TGFBR2,core,consensus,resource_RNA_compatibility_only
TGFB1,ACVR1C_TGFBR2,core,consensus,resource_RNA_compatibility_only
TGFB1,EGFR,core,consensus,resource_RNA_compatibility_only
TGFB1,ITGB3,core,consensus,resource_RNA_compatibility_only
TGFB1,ITGB1,core,consensus,resource_RNA_compatibility_only
TGFB1,ITGB5,core,consensus,resource_RNA_compatibility_only
TGFB1,ITGB8,core,consensus,resource_RNA_compatibility_only
TGFB1,SDC2,core,consensus,resource_RNA_compatibility_only
TGFB1,ACVRL1,core,consensus,resource_RNA_compatibility_only
TGFB1,CXCR4,core,consensus,resource_RNA_compatibility_only
TGFB1,TGFBR3,core,consensus,resource_RNA_compatibility_only
TGFB1,VASN,core,consensus,resource_RNA_compatibility_only
IL1A,IL1R1_IL1RAP,core,consensus,canonical_signaling_complex_RNA_compatibility_only
IL1A,IL1R2_IL1RAP,core,consensus,inhibitory_or_decoy_context_not_activation
IL1B,IL1R1_IL1RAP,core,consensus,canonical_signaling_complex_RNA_compatibility_only
IL1B,IL1R2_IL1RAP,core,consensus,inhibitory_or_decoy_context_not_activation
IL1B,ADRB2,core,consensus,incomplete_canonical_complex_RNA_compatibility_only
IL1B,SIGIRR,core,consensus,inhibitory_or_decoy_context_not_activation
CXCL1,ADRA2A,exploratory,consensus,resource_RNA_compatibility_only
CXCL1,CXCR1,exploratory,consensus,resource_RNA_compatibility_only
CXCL1,CXCR2,exploratory,consensus,resource_RNA_compatibility_only
CXCL1,MTNR1A,exploratory,consensus,resource_RNA_compatibility_only
CXCL1,GRM7,exploratory,consensus,resource_RNA_compatibility_only
CXCL1,ACKR1,exploratory,consensus,resource_RNA_compatibility_only
CCL2,CCR1,exploratory,consensus,resource_RNA_compatibility_only
CCL2,CCR2,exploratory,consensus,resource_RNA_compatibility_only
CCL2,CCR10,exploratory,consensus,resource_RNA_compatibility_only
CCL2,CCR3,exploratory,consensus,resource_RNA_compatibility_only
CCL2,CCR4,exploratory,consensus,resource_RNA_compatibility_only
CCL2,CCR5,exploratory,consensus,resource_RNA_compatibility_only
CCL2,ACKR1,exploratory,consensus,resource_RNA_compatibility_only
CCL2,ACKR4,exploratory,consensus,resource_RNA_compatibility_only
AREG,EGFR_ERBB2,core,consensus,resource_RNA_compatibility_only
AREG,ERBB3,core,consensus,resource_RNA_compatibility_only
VEGFA,FLT1_KDR,exploratory,consensus,resource_RNA_compatibility_only
VEGFA,NRP1,exploratory,consensus,resource_RNA_compatibility_only
VEGFA,NRP2,exploratory,consensus,resource_RNA_compatibility_only
VEGFA,EGFR,exploratory,consensus,resource_RNA_compatibility_only
