ligand,receptor,family,resource
FGF10,FGFR1,exploratory,consensus
FGF10,FGFR2,exploratory,consensus
FGF10,FGFRL1,exploratory,consensus
TGFB1,ITGAV_ITGB6,core,consensus
TGFB1,ACVR1B_TGFBR2,core,consensus
TGFB1,TGFBR1_TGFBR2,core,consensus
TGFB1,ACVR1_TGFBR1_TGFBR2,core,consensus
TGFB1,ACVR1_TGFBR2,core,consensus
TGFB1,ACVR1C_TGFBR2,core,consensus
TGFB1,EGFR,core,consensus
TGFB1,ITGB3,core,consensus
TGFB1,ITGB1,core,consensus
TGFB1,ITGB5,core,consensus
TGFB1,ITGB8,core,consensus
TGFB1,SDC2,core,consensus
TGFB1,ACVRL1,core,consensus
TGFB1,CXCR4,core,consensus
TGFB1,TGFBR3,core,consensus
TGFB1,VASN,core,consensus
IL1A,IL1R1_IL1RAP,core,consensus
IL1A,IL1R2_IL1RAP,core,consensus
IL1B,IL1R1_IL1RAP,core,consensus
IL1B,IL1R2_IL1RAP,core,consensus
IL1B,ADRB2,core,consensus
IL1B,SIGIRR,core,consensus
CXCL1,ADRA2A,exploratory,consensus
CXCL1,CXCR1,exploratory,consensus
CXCL1,CXCR2,exploratory,consensus
CXCL1,MTNR1A,exploratory,consensus
CXCL1,GRM7,exploratory,consensus
CXCL1,ACKR1,exploratory,consensus
CCL2,CCR1,exploratory,consensus
CCL2,CCR2,exploratory,consensus
CCL2,CCR10,exploratory,consensus
CCL2,CCR3,exploratory,consensus
CCL2,CCR4,exploratory,consensus
CCL2,CCR5,exploratory,consensus
CCL2,ACKR1,exploratory,consensus
CCL2,ACKR4,exploratory,consensus
AREG,EGFR_ERBB2,core,consensus
AREG,ERBB3,core,consensus
VEGFA,FLT1_KDR,exploratory,consensus
VEGFA,NRP1,exploratory,consensus
VEGFA,NRP2,exploratory,consensus
VEGFA,EGFR,exploratory,consensus
VEGFA,ITGB3,exploratory,consensus
VEGFA,ITGB1,exploratory,consensus
VEGFA,ITGAV,exploratory,consensus
VEGFA,RET,exploratory,consensus
VEGFA,EPHB2,exploratory,consensus
VEGFA,GPC1,exploratory,consensus
VEGFA,SIRPA,exploratory,consensus
VEGFA,TYRO3,exploratory,consensus
VEGFA,ITGA9,exploratory,consensus
CXCL2,CXCR1,exploratory,consensus
CXCL2,CXCR2,exploratory,consensus
CXCL2,XCR1,exploratory,consensus
CXCL2,MTNR1A,exploratory,consensus
CXCL2,GRM7,exploratory,consensus
CXCL2,ACKR1,exploratory,consensus
FGF7,NRP1,exploratory,consensus
FGF7,FGFR1,exploratory,consensus
FGF7,FGFR2,exploratory,consensus
FGF7,FGFR4,exploratory,consensus
FGF7,FGFR3,exploratory,consensus
CXCL12,CD4,exploratory,consensus
CXCL12,ITGB3,exploratory,consensus
CXCL12,ITGB1,exploratory,consensus
CXCL12,ITGAV,exploratory,consensus
CXCL12,ITGA5,exploratory,consensus
CXCL12,ITGA4,exploratory,consensus
CXCL12,ACKR3,exploratory,consensus
CXCL12,AVPR1A,exploratory,consensus
CXCL12,MTNR1A,exploratory,consensus
CXCL12,CXCR3,exploratory,consensus
CXCL12,CCR4,exploratory,consensus
CXCL12,CXCR4,exploratory,consensus
CXCL12,GRM7,exploratory,consensus
HBEGF,EGFR_ERBB2,core,consensus
HBEGF,ERBB2_ERBB4,core,consensus
HBEGF,CD44,core,consensus
HBEGF,PRLR,core,consensus
CCL2,ACKR2,exploratory,consensus
CXCL2,DPP4,exploratory,consensus
CXCL12,DPP4,exploratory,consensus
TGFB1,ENG,core,consensus
HBEGF,CD9,core,consensus
HBEGF,CD82,core,consensus
TGFB1,CAV1,core,consensus
CXCL12,SDC4,exploratory,consensus
VEGFA,GRIN2B,exploratory,consensus
VEGFA,CD44,exploratory,consensus
TGFB1,LPP,core,consensus
IL1B,IL1R2,core,cellchatdb
AREG,EGFR,core,cellchatdb
HBEGF,EGFR,core,cellchatdb
FGF7,FGFR2,exploratory,cellchatdb
FGF10,FGFR2,exploratory,cellchatdb
HBEGF,ERBB4,core,cellchatdb
CXCL12,ACKR3,exploratory,cellchatdb
CCL2,CCR2,exploratory,cellchatdb
CXCL1,CXCR2,exploratory,cellchatdb
CXCL2,CXCR2,exploratory,cellchatdb
CXCL12,CXCR4,exploratory,cellchatdb
VEGFA,FLT1,exploratory,cellchatdb
VEGFA,KDR,exploratory,cellchatdb
CCL2,ACKR1,exploratory,cellchatdb
CCL2,ACKR2,exploratory,cellchatdb
CXCL1,ACKR1,exploratory,cellchatdb
CXCL2,ACKR1,exploratory,cellchatdb
IL1A,IL1R1_IL1RAP,core,cellchatdb
IL1B,IL1R1_IL1RAP,core,cellchatdb
TGFB1,TGFBR1_TGFBR2,core,cellchatdb
VEGFA,FLT1_KDR,exploratory,cellchatdb
IL1A,IL1R2,core,cellchatdb
FGF10,FGFR1,exploratory,cellchatdb
FGF7,FGFR1,exploratory,cellchatdb
CXCL2,CXCR1,exploratory,cellchatdb
CXCL1,CXCR1,exploratory,cellchatdb
TGFB1,ACVR1B_TGFBR2,core,cellchatdb
TGFB1,ACVR1C_TGFBR2,core,cellchatdb
TGFB1,ACVR1_TGFBR1_TGFBR2,core,cellchatdb
AREG,EGFR_ERBB2,core,cellchatdb
HBEGF,EGFR_ERBB2,core,cellchatdb
HBEGF,ERBB2_ERBB4,core,cellchatdb
