"cohort","comp","label","cell_floor","donor","disease","cells","library_size","TMM_factor"
"GSE135893","AT2","AT2",100,"THD0001","control",1219,16705137,1.14043513785593
"GSE135893","AT2","AT2",100,"THD0002","control",1044,10935829,1.00272100578516
"GSE135893","AT2","AT2",100,"VUHD65","control",328,4592587,0.9527747537758
"GSE135893","AT2","AT2",100,"VUHD66","control",504,5838787,0.888802509528755
"GSE135893","AT2","AT2",100,"VUHD67","control",1120,17080238,0.884512406829597
"GSE135893","AT2","AT2",100,"VUILD53","IPF",109,587813,1.07152447484367
"GSE135893","AT2","AT2",100,"VUILD59","IPF",1838,12300163,0.991839978976196
"GSE135893","AT2","AT2",100,"VUILD60","IPF",137,1029209,1.02400478035581
"GSE135893","AT2","AT2",100,"VUILD61","IPF",395,3653653,1.05517729136884
"GSE135893","AT2","AT2",100,"VUILD64","IPF",428,1980747,1.01666700662063
"GSE135893","fibroblasts","__broad__",50,"TILD001","IPF",1069,9397525,0.862035659823185
"GSE135893","fibroblasts","__broad__",50,"TILD006","IPF",161,633069,0.719305012690207
"GSE135893","fibroblasts","__broad__",50,"TILD010","IPF",57,269307,1.11103620479384
"GSE135893","fibroblasts","__broad__",50,"TILD015","IPF",130,1207418,1.24039392053887
"GSE135893","fibroblasts","__broad__",50,"TILD028","IPF",144,718913,1.14915257536717
"GSE135893","fibroblasts","__broad__",50,"VUHD65","control",57,656517,0.88499287224453
"GSE135893","fibroblasts","__broad__",50,"VUHD66","control",113,921515,0.930580227345597
"GSE135893","fibroblasts","__broad__",50,"VUHD67","control",52,324592,1.1912967871419
"GSE135893","fibroblasts","__broad__",50,"VUILD53","IPF",66,275704,1.03373268190881
"GSE135893","fibroblasts","__broad__",50,"VUILD59","IPF",612,3197335,1.00409391612001
"GSE135893","fibroblasts","__broad__",30,"TILD001","IPF",1069,9397525,0.862035659823185
"GSE135893","fibroblasts","__broad__",30,"TILD006","IPF",161,633069,0.719305012690207
"GSE135893","fibroblasts","__broad__",30,"TILD010","IPF",57,269307,1.11103620479384
"GSE135893","fibroblasts","__broad__",30,"TILD015","IPF",130,1207418,1.24039392053887
"GSE135893","fibroblasts","__broad__",30,"TILD028","IPF",144,718913,1.14915257536717
"GSE135893","fibroblasts","__broad__",30,"VUHD65","control",57,656517,0.88499287224453
"GSE135893","fibroblasts","__broad__",30,"VUHD66","control",113,921515,0.930580227345597
"GSE135893","fibroblasts","__broad__",30,"VUHD67","control",52,324592,1.1912967871419
"GSE135893","fibroblasts","__broad__",30,"VUILD53","IPF",66,275704,1.03373268190881
"GSE135893","fibroblasts","__broad__",30,"VUILD59","IPF",612,3197335,1.00409391612001
"GSE135893","fibroblasts","__broad__",100,"TILD001","IPF",1069,9397525,0.83209746189312
"GSE135893","fibroblasts","__broad__",100,"TILD006","IPF",161,633069,0.770169219349046
"GSE135893","fibroblasts","__broad__",100,"TILD015","IPF",130,1207418,1.35948708696679
"GSE135893","fibroblasts","__broad__",100,"TILD028","IPF",144,718913,1.17770951071162
"GSE135893","fibroblasts","__broad__",100,"VUHD66","control",113,921515,0.947765338428725
"GSE135893","fibroblasts","__broad__",100,"VUILD59","IPF",612,3197335,1.02831354018627
"GSE135893","fibroblasts","Fibroblasts",30,"TILD006","IPF",40,151111,0.979417844296591
"GSE135893","fibroblasts","Fibroblasts",30,"VUHD66","control",57,467924,0.945539001385974
"GSE135893","fibroblasts","Fibroblasts",30,"VUILD59","IPF",38,213373,1.07982291760379
"GSE135893","fibroblasts","Myofibroblasts",50,"TILD001","IPF",53,388558,1.18570029201593
