cohort,view,resource,family,ligand,receptor,source,source_label,target,target_label,primary_effect,eligible_configurations,sensitivity_min,sensitivity_max,all_available_same_sign
GSE136831,subtype,consensus,core,HBEGF,ERBB2_ERBB4,macrophages,Macrophage,fibroblasts,Fibroblast,0.0404443206244424,9,-0.1586835758229856,0.1376917689003667,False
GSE136831,subtype,consensus,core,HBEGF,ERBB2_ERBB4,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,0.0332394852367796,9,-0.1710832522053804,0.0661252809168324,False
GSE136831,subtype,consensus,core,HBEGF,PRLR,macrophages,Macrophage,fibroblasts,Fibroblast,0.1985901481163923,9,-0.0317026112662004,0.2903832760953633,False
GSE136831,subtype,consensus,core,HBEGF,PRLR,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,0.1574361150305452,9,-0.0698763716592751,0.1586301449512852,False
GSE136831,subtype,consensus,core,IL1A,IL1R1_IL1RAP,macrophages,Macrophage,AT2,ATII,-1.2203891944306022,6,-1.3858722012066127,-1.0560026243332574,True
GSE136831,subtype,consensus,core,IL1A,IL1R1_IL1RAP,macrophages,Macrophage,fibroblasts,Fibroblast,0.5440361730265022,9,0.5212294689095125,0.9972386739336044,True
GSE136831,subtype,consensus,core,IL1A,IL1R1_IL1RAP,macrophages,Macrophage_Alveolar,AT2,ATII,-0.9347029258670309,6,-1.0989596131618082,-0.772620380575022,True
GSE136831,subtype,consensus,core,IL1A,IL1R1_IL1RAP,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,0.3881901955164828,9,0.335499119473333,1.06129396074296,True
GSE136831,subtype,consensus,core,IL1A,IL1R2_IL1RAP,macrophages,Macrophage,AT2,ATII,-1.191483513219936,6,-1.415273735200807,-0.9737896601870868,True
GSE136831,subtype,consensus,core,IL1A,IL1R2_IL1RAP,macrophages,Macrophage,fibroblasts,Fibroblast,-0.2761614779464452,9,-0.3392896668497225,0.2504259359754059,False
GSE136831,subtype,consensus,core,IL1A,IL1R2_IL1RAP,macrophages,Macrophage_Alveolar,AT2,ATII,-0.9057972446563638,6,-1.1283611471560024,-0.690407416428851,True
GSE136831,subtype,consensus,core,IL1A,IL1R2_IL1RAP,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,-0.5046838474113149,9,-0.5831258747919441,0.3958378220630854,False
GSE136831,subtype,consensus,core,IL1B,ADRB2,macrophages,Macrophage,AT2,ATII,-1.0248488242735228,6,-1.0336499200508973,-1.0085362798358275,True
GSE136831,subtype,consensus,core,IL1B,ADRB2,macrophages,Macrophage,fibroblasts,Fibroblast,-0.217034925560013,9,-0.2412858128401267,0.1114489302570667,False
GSE136831,subtype,consensus,core,IL1B,ADRB2,macrophages,Macrophage_Alveolar,AT2,ATII,-0.5358350791560706,6,-0.5443926686188609,-0.5200066498747411,True
GSE136831,subtype,consensus,core,IL1B,ADRB2,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,-0.2441687959617704,9,-0.2482791546808229,0.5331418822534166,False
GSE136831,subtype,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,Macrophage,AT2,ATII,-1.5695212575335926,6,-1.733794638876387,-1.4074112932332303,True
GSE136831,subtype,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,Macrophage,fibroblasts,Fibroblast,0.1326168992193652,9,0.1180181562191533,0.301611160118,True
GSE136831,subtype,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,Macrophage_Alveolar,AT2,ATII,-1.0805075124161414,6,-1.2445373874443495,-0.9188816632721428,True
GSE136831,subtype,consensus,core,IL1B,IL1R1_IL1RAP,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,0.1522307414486947,9,0.1387985875173178,0.8630481349030248,True
GSE136831,subtype,consensus,core,IL1B,IL1R2_IL1RAP,macrophages,Macrophage,AT2,ATII,-1.5406155763229266,6,-1.7631961728705794,-1.3251983290870606,True
GSE136831,subtype,consensus,core,IL1B,IL1R2_IL1RAP,macrophages,Macrophage,fibroblasts,Fibroblast,-0.6875807517535817,9,-0.7552247237056706,-0.4199772767020011,True
GSE136831,subtype,consensus,core,IL1B,IL1R2_IL1RAP,macrophages,Macrophage_Alveolar,AT2,ATII,-1.051601831205475,6,-1.2739389214385437,-0.8366686991259744,True
GSE136831,subtype,consensus,core,IL1B,IL1R2_IL1RAP,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,-0.7406433014791025,9,-0.8189257655650994,0.1975919962231511,False
GSE136831,subtype,consensus,core,IL1B,SIGIRR,macrophages,Macrophage,AT2,ATII,-0.7396137761051529,6,-0.7448550551508051,-0.7299493962687498,True
GSE136831,subtype,consensus,core,IL1B,SIGIRR,macrophages,Macrophage,fibroblasts,Fibroblast,-0.3761379422758271,9,-0.591675915729371,-0.303235609289775,True
GSE136831,subtype,consensus,core,IL1B,SIGIRR,macrophages,Macrophage_Alveolar,AT2,ATII,-0.2506000309877008,6,-0.2555978037187687,-0.241419766307664,True
GSE136831,subtype,consensus,core,IL1B,SIGIRR,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,-0.3239010977654661,9,-0.3264787987497568,-0.1131317553778323,True
GSE136831,subtype,consensus,core,TGFB1,ACVR1B_TGFBR2,macrophages,Macrophage,fibroblasts,Fibroblast,-0.0012007823588451,9,-0.0841124951226337,0.0337390535494073,False
GSE136831,subtype,consensus,core,TGFB1,ACVR1B_TGFBR2,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,0.0271059380218519,9,-0.0521058955179096,0.046318858209787,False
GSE136831,subtype,consensus,core,TGFB1,ACVR1C_TGFBR2,macrophages,Macrophage,fibroblasts,Fibroblast,0.5802296852079687,9,0.2546118365711471,0.866816330982545,True
GSE136831,subtype,consensus,core,TGFB1,ACVR1C_TGFBR2,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,0.6040517305135902,9,0.2976523973811904,1.146363431045455,True
GSE136831,subtype,consensus,core,TGFB1,ACVR1_TGFBR1_TGFBR2,macrophages,Macrophage,fibroblasts,Fibroblast,0.2131570963797759,9,0.0971688878740302,0.3910991470070071,True
GSE136831,subtype,consensus,core,TGFB1,ACVR1_TGFBR1_TGFBR2,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,0.1739778190801946,9,0.0878183740311948,0.1792692139275313,True
GSE136831,subtype,consensus,core,TGFB1,ACVR1_TGFBR2,macrophages,Macrophage,fibroblasts,Fibroblast,0.2448882553841471,9,0.1189713340801468,0.406581438101206,True
GSE136831,subtype,consensus,core,TGFB1,ACVR1_TGFBR2,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,0.20073181061547,9,0.0878183740311948,0.2064583780622113,True
GSE136831,subtype,consensus,core,TGFB1,ACVRL1,macrophages,Macrophage,fibroblasts,Fibroblast,-0.011008985547745,9,-0.0731319646725809,0.0952225259943766,False
GSE136831,subtype,consensus,core,TGFB1,ACVRL1,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,0.00310053566161,9,-0.0813375644900871,0.3326836565561057,False
GSE136831,subtype,consensus,core,TGFB1,CAV1,macrophages,Macrophage,fibroblasts,Fibroblast,0.1430642074159758,9,0.0199687216374249,0.4261888546463677,True
GSE136831,subtype,consensus,core,TGFB1,CAV1,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,0.079514633848146,9,0.0230864505038415,0.2011935375277049,True
GSE136831,subtype,consensus,core,TGFB1,CXCR4,macrophages,Macrophage,fibroblasts,Fibroblast,0.2462862597021482,9,0.1474544652832081,0.8419647899364318,True
GSE136831,subtype,consensus,core,TGFB1,CXCR4,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,0.2076076563706657,9,0.1408618859423533,0.8337595610921014,True
GSE136831,subtype,consensus,core,TGFB1,EGFR,macrophages,Macrophage,fibroblasts,Fibroblast,-0.083163474382971,9,-0.0907954066146023,-0.0267358411090468,True
GSE136831,subtype,consensus,core,TGFB1,EGFR,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,-0.0444166468304283,9,-0.0733997237975208,0.0323409209997747,False
GSE136831,subtype,consensus,core,TGFB1,ENG,macrophages,Macrophage,fibroblasts,Fibroblast,-0.2578751415783156,9,-0.3107644095924371,-0.2162514983765229,True
GSE136831,subtype,consensus,core,TGFB1,ENG,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,-0.2609606383659173,9,-0.2892931773839438,-0.2592434139382398,True
GSE136831,subtype,consensus,core,TGFB1,ITGAV_ITGB6,macrophages,Macrophage,fibroblasts,Fibroblast,-0.2137301544875569,9,-0.646746962911247,-0.1709176296882066,True
GSE136831,subtype,consensus,core,TGFB1,ITGAV_ITGB6,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,-0.2071546734649612,9,-0.6282469563411812,-0.0870841967349562,True
GSE136831,subtype,consensus,core,TGFB1,ITGB1,macrophages,Macrophage,fibroblasts,Fibroblast,-0.0410609405858481,9,-0.1003323987720881,0.1815685927347354,False
GSE136831,subtype,consensus,core,TGFB1,ITGB1,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,-0.1216372546987774,9,-0.122097669499869,-0.0770112737117614,True
GSE136831,subtype,consensus,core,TGFB1,ITGB3,macrophages,Macrophage,fibroblasts,Fibroblast,-0.1715783230391032,9,-0.2789930173027226,0.0854226760712819,False
GSE136831,subtype,consensus,core,TGFB1,ITGB3,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,-0.2838706287897237,9,-0.4057472061879474,-0.1907435373122918,True
GSE136831,subtype,consensus,core,TGFB1,ITGB5,macrophages,Macrophage,fibroblasts,Fibroblast,-0.0910440534792078,9,-0.1287956666153187,0.0451043828190833,False
GSE136831,subtype,consensus,core,TGFB1,ITGB5,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,-0.0884260045604286,9,-0.1089021772519274,-0.0070357794691959,True
GSE136831,subtype,consensus,core,TGFB1,ITGB8,macrophages,Macrophage,fibroblasts,Fibroblast,-0.0296489893881881,9,-0.1950230525170146,-0.0189730820920086,True
GSE136831,subtype,consensus,core,TGFB1,ITGB8,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,-0.0233327585229439,9,-0.1388003986379145,0.0859829853559466,False
GSE136831,subtype,consensus,core,TGFB1,LPP,macrophages,Macrophage,fibroblasts,Fibroblast,-0.0144926026077474,9,-0.0344425634884668,0.1022964902455445,False
GSE136831,subtype,consensus,core,TGFB1,LPP,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,-0.0136072363909924,9,-0.0219103638961328,0.0528295639841989,False
GSE136831,subtype,consensus,core,TGFB1,SDC2,macrophages,Macrophage,fibroblasts,Fibroblast,0.2216425740678387,9,0.1720782092183874,0.246112691289305,True
GSE136831,subtype,consensus,core,TGFB1,SDC2,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,0.1667232998096199,9,-0.043417880810475,0.1743987823798454,False
GSE136831,subtype,consensus,core,TGFB1,TGFBR1_TGFBR2,macrophages,Macrophage,fibroblasts,Fibroblast,-0.2199626869972464,9,-0.3231342534925403,-0.0486749081017352,True
GSE136831,subtype,consensus,core,TGFB1,TGFBR1_TGFBR2,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,-0.2172834930723164,9,-0.251756982700555,-0.0773807691613148,True
GSE136831,subtype,consensus,core,TGFB1,TGFBR3,macrophages,Macrophage,fibroblasts,Fibroblast,-0.626465093958398,9,-0.6271699258662284,-0.4875544749301745,True
GSE136831,subtype,consensus,core,TGFB1,TGFBR3,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,-0.6080516230388548,9,-0.6087491637501756,-0.531356343955748,True
GSE136831,subtype,consensus,core,TGFB1,VASN,macrophages,Macrophage,fibroblasts,Fibroblast,-0.4060200194102226,9,-0.4078625930736432,-0.1549273547509324,True
GSE136831,subtype,consensus,core,TGFB1,VASN,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,-0.4198715930491206,9,-0.4218709505859763,-0.1704395073996334,True
GSE136831,subtype,consensus,exploratory,CCL2,ACKR1,fibroblasts,Fibroblast,macrophages,Macrophage,0.4746040679830789,9,0.3315784305296638,0.7172956495071077,True
GSE136831,subtype,consensus,exploratory,CCL2,ACKR1,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,0.1365968550531411,9,-0.172529413655126,1.556624223980246,False
GSE136831,subtype,consensus,exploratory,CCL2,ACKR2,fibroblasts,Fibroblast,macrophages,Macrophage,0.5025914741440745,9,0.3478635018451737,0.6052379486739614,True
GSE136831,subtype,consensus,exploratory,CCL2,ACKR2,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,0.2343502972372131,9,-0.1092517025402233,1.0679550636504342,False
GSE136831,subtype,consensus,exploratory,CCL2,ACKR4,fibroblasts,Fibroblast,macrophages,Macrophage,0.2072269888408962,9,0.0751499610117867,0.2505549242588545,True
GSE136831,subtype,consensus,exploratory,CCL2,ACKR4,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,0.0178152911474267,9,-0.1212824520558486,0.3064645710174107,False
GSE136831,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Fibroblast,macrophages,Macrophage,0.489680034716482,9,0.4501228688084424,0.5110499723386521,True
GSE136831,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,0.1078433664196607,9,-0.1221121058467877,0.563488525827271,False
GSE136831,subtype,consensus,exploratory,CCL2,CCR10,fibroblasts,Fibroblast,macrophages,Macrophage,0.4057511891187255,9,0.3459748397707241,0.4271337677981668,True
GSE136831,subtype,consensus,exploratory,CCL2,CCR10,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,0.3027068071479784,9,0.1403783604607555,0.5355212920696699,True
GSE136831,subtype,consensus,exploratory,CCL2,CCR2,fibroblasts,Fibroblast,macrophages,Macrophage,0.5004797502151419,9,0.3538290393364152,0.5117475418941906,True
GSE136831,subtype,consensus,exploratory,CCL2,CCR2,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,0.6161607628482964,9,0.3420793011929426,1.1749090538514095,True
GSE136831,subtype,consensus,exploratory,CCL2,CCR3,fibroblasts,Fibroblast,macrophages,Macrophage,0.6027855339419999,9,0.5890817412668161,0.6253921457064138,True
GSE136831,subtype,consensus,exploratory,CCL2,CCR3,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,0.1065641572596538,9,0.0463110740614096,0.7560571434376246,True
GSE136831,subtype,consensus,exploratory,CCL2,CCR4,fibroblasts,Fibroblast,macrophages,Macrophage,0.5403656591242081,9,0.414745445384491,1.1140602919722942,True
GSE136831,subtype,consensus,exploratory,CCL2,CCR4,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,-0.1405254584236708,9,-0.4435234902704077,0.4410579294381538,False
GSE136831,subtype,consensus,exploratory,CCL2,CCR5,fibroblasts,Fibroblast,macrophages,Macrophage,0.6054274733352338,9,0.5566958150561145,0.6096788701728375,True
GSE136831,subtype,consensus,exploratory,CCL2,CCR5,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,0.9339196635697328,9,0.6378633004744598,1.0249856793835743,True
GSE136831,subtype,consensus,exploratory,CXCL12,ACKR3,fibroblasts,Fibroblast,macrophages,Macrophage,0.7539036781691646,9,0.6706063336306123,1.03149422886049,True
GSE136831,subtype,consensus,exploratory,CXCL12,ACKR3,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,0.6181173161859252,9,0.6072344875441944,0.859244634402363,True
GSE136831,subtype,consensus,exploratory,CXCL12,AVPR1A,fibroblasts,Fibroblast,macrophages,Macrophage,0.9445942665231116,9,0.7846861554837314,1.0770255646329685,True
GSE136831,subtype,consensus,exploratory,CXCL12,AVPR1A,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,0.4097016618499711,9,0.2232129640011904,0.5496067919595187,True
GSE136831,subtype,consensus,exploratory,CXCL12,CCR4,fibroblasts,Fibroblast,macrophages,Macrophage,1.217934307604034,9,1.0989808906361431,1.9666721160830103,True
GSE136831,subtype,consensus,exploratory,CXCL12,CCR4,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,0.4467328472577958,9,0.2203691499656437,0.8177362185020427,True
GSE136831,subtype,consensus,exploratory,CXCL12,CD4,fibroblasts,Fibroblast,macrophages,Macrophage,1.312660208169027,9,1.2839572722558517,1.386194868067563,True
GSE136831,subtype,consensus,exploratory,CXCL12,CD4,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,0.9814407929553726,9,0.8952498127780109,0.9877289016075056,True
GSE136831,subtype,consensus,exploratory,CXCL12,CXCR3,fibroblasts,Fibroblast,macrophages,Macrophage,1.3535263566718594,9,1.154338364429782,1.627295432963615,True
GSE136831,subtype,consensus,exploratory,CXCL12,CXCR3,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,0.7670094362563975,9,0.6530001802098506,0.9103324716961934,True
GSE136831,subtype,consensus,exploratory,CXCL12,CXCR4,fibroblasts,Fibroblast,macrophages,Macrophage,0.9728459279750918,9,0.9605333395690998,1.316993656435108,True
GSE136831,subtype,consensus,exploratory,CXCL12,CXCR4,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,0.9784675159303884,9,0.9522904624013436,1.4047922883491877,True
GSE136831,subtype,consensus,exploratory,CXCL12,DPP4,fibroblasts,Fibroblast,macrophages,Macrophage,0.9638660168539772,9,0.7367411532002484,1.1078036213944729,True
GSE136831,subtype,consensus,exploratory,CXCL12,DPP4,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,0.2558290225668784,9,0.0383381266457445,0.4245678571508775,True
GSE136831,subtype,consensus,exploratory,CXCL12,GRM7,fibroblasts,Fibroblast,macrophages,Macrophage,1.1947370573707934,9,1.138868449869307,1.2727246346765415,True
GSE136831,subtype,consensus,exploratory,CXCL12,GRM7,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,0.6367542119966547,9,0.3707582389468804,1.0018171055037266,True
GSE136831,subtype,consensus,exploratory,CXCL12,ITGA4,fibroblasts,Fibroblast,macrophages,Macrophage,1.1909905144794672,9,1.174967272448697,1.2569993335456695,True
GSE136831,subtype,consensus,exploratory,CXCL12,ITGA4,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,1.134197826411727,9,0.958740967447715,1.2201909337405683,True
GSE136831,subtype,consensus,exploratory,CXCL12,ITGA5,fibroblasts,Fibroblast,macrophages,Macrophage,0.6998175407232123,9,0.6631173319124706,0.7445673373517367,True
GSE136831,subtype,consensus,exploratory,CXCL12,ITGA5,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,0.662429327069848,9,0.6194807477976552,0.7310812803139468,True
GSE136831,subtype,consensus,exploratory,CXCL12,ITGAV,fibroblasts,Fibroblast,macrophages,Macrophage,0.6660936925205316,9,0.6371652287132568,0.8045852884262343,True
GSE136831,subtype,consensus,exploratory,CXCL12,ITGAV,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,0.633008053678144,9,0.5856950717301279,0.8254757778435842,True
GSE136831,subtype,consensus,exploratory,CXCL12,ITGB1,fibroblasts,Fibroblast,macrophages,Macrophage,0.5384944217139696,9,0.5019863621888021,0.658736323291639,True
GSE136831,subtype,consensus,exploratory,CXCL12,ITGB1,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,0.7120851153369543,9,0.7003333527793281,0.7395739562052785,True
GSE136831,subtype,consensus,exploratory,CXCL12,ITGB3,fibroblasts,Fibroblast,macrophages,Macrophage,1.143601284715297,9,1.1256631176681542,1.1980918891902066,True
GSE136831,subtype,consensus,exploratory,CXCL12,ITGB3,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,1.120665123377555,9,0.9502001202972576,1.610145114406441,True
GSE136831,subtype,consensus,exploratory,CXCL12,SDC4,fibroblasts,Fibroblast,macrophages,Macrophage,0.6626437031161885,9,0.6507132953586625,0.8466270606869291,True
GSE136831,subtype,consensus,exploratory,CXCL12,SDC4,fibroblasts,Fibroblast,macrophages,Macrophage_Alveolar,0.5194910317770747,9,0.4970953412982997,0.8956505209120804,True
