library	unit	target	fibroblast_total_counts	epithelial_count_fraction	activation_score	hallmark_tgf_beta_score	eligible
3-1_F10_MAPK1	3-1	MAPK1	345733	0.8327	9.3154	5.3501	yes
3-1_F11_BMP2	3-1	BMP2	556018	0.8555	9.0199	5.5935	yes
3-1_G02_ERBB3	3-1	ERBB3	1267758	0.6088	8.9164	5.7277	yes
3-1_G03_SOCS2	3-1	SOCS2	870807	0.8145	9.2959	5.7273	yes
3-1_G04_SOAT1	3-1	SOAT1	1427638	0.7986	9.5011	5.7314	yes
3-1_G05_VANGL2	3-1	VANGL2	318124	0.8528	9.5818	5.7307	yes
3-1_G06_IRF4	3-1	IRF4	648031	0.8289	9.2143	5.6258	yes
3-1_G07_ATP6V0E	3-1	ATP6V0E	641482	0.6821	9.4294	5.4522	yes
3-1_G08_MAP2K1	3-1	MAP2K1	129789	0.9037	8.7661	5.1701	yes
3-1_G09_MAP3K2	3-1	MAP3K2	460363	0.8016	9.6832	5.7447	yes
3-1_G10_TDTOMATO	3-1	TDTOMATO	11417	0.7654	8.7801	3.8741	no
3-1_G11_TIGIT	3-1	TIGIT	600353	0.8487	9.4885	5.6093	yes
3-2_B02_KIDINS220	3-2	KIDINS220	387769	0.7801	8.5499	5.7155	yes
3-2_B03_CD81	3-2	CD81	27794	0.7695	9.7452	4.3743	no
3-2_B04_TIGIT	3-2	TIGIT	59249	0.8373	9.2921	4.6651	no
3-2_B05_TDTOMATO	3-2	TDTOMATO	1176571	0.7975	9.9889	5.7394	yes
3-2_B06_TGIF1	3-2	TGIF1	398863	0.8258	8.424	5.7026	yes
3-2_B07_CELSR1	3-2	CELSR1	820814	0.7803	10.1146	5.7342	yes
3-2_B08_PI4K2B	3-2	PI4K2B	560240	0.8931	9.2306	5.7619	yes
3-2_B09_MAP2K2	3-2	MAP2K2	75248	0.8067	9.8515	5.1445	no
3-2_B10_MAP3K5	3-2	MAP3K5	176549	0.8401	10.1713	5.825	yes
3-2_B11_MAPK3	3-2	MAPK3	302	0.8365	2.6557	0.2165	no
3-2_C02_ITGB6	3-2	ITGB6	650042	0.827	8.0118	5.4653	yes
3-2_C03_EGFR	3-2	EGFR	51605	0.904	9.5429	5.3041	no
3-2_C04_DRAM1	3-2	DRAM1	205777	0.6614	9.446	4.7252	yes
3-2_C05_CSNK1A1	3-2	CSNK1A1	324446	0.6286	9.2814	5.6637	yes
3-2_C06_ADK	3-2	ADK	528625	0.8306	9.6399	5.7809	yes
3-2_C07_GNAI2	3-2	GNAI2	592908	0.8872	9.7855	5.766	yes
3-2_C08_OCIAD2	3-2	OCIAD2	263957	0.8593	9.7362	5.7433	yes
3-2_C09_TIGIT	3-2	TIGIT	376068	0.7899	9.4823	5.5362	yes
3-2_C10_MAP3K7	3-2	MAP3K7	141779	0.8712	8.9217	5.6464	yes
3-2_C11_CISH	3-2	CISH	2061123	0.7704	8.991	5.6074	yes
3-2_D02_SLC22A3	3-2	SLC22A3	762910	0.8593	10.2774	5.706	yes
3-2_D03_ERBB2	3-2	ERBB2	97637	0.8356	9.4535	5.0218	no
3-2_D04_EGFL6	3-2	EGFL6	968637	0.7801	10.0624	5.7173	yes
