cluster,AT0,AT1,AT2,AT2 proliferating,Adventitial fibroblasts,Alveolar Mph CCL3+,Alveolar Mph MT-positive,Alveolar Mph proliferating,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club (nasal),Club (non-nasal),DC1,DC2,Deuterosomal,EC aerocyte capillary,EC arterial,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet (bronchial),Goblet (nasal),Goblet (subsegmental),Hematopoietic stem cells,Hillock-like,Interstitial Mph perivascular,Ionocyte,Lymphatic EC differentiating,Lymphatic EC mature,Lymphatic EC proliferating,Mast cells,Mesothelium,Migratory DCs,Monocyte-derived Mph,Multiciliated (nasal),Multiciliated (non-nasal),Myofibroblasts,NK cells,Neuroendocrine,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,Plasmacytoid DCs,SM activated stress response,SMG duct,SMG mucous,SMG serous (bronchial),SMG serous (nasal),Smooth muscle,Smooth muscle FAM83D+,Subpleural fibroblasts,Suprabasal,T cells proliferating,Tuft,pre-TB secretory
0,-0.5805,-0.4013,-0.2614,0.0287,-0.0401,0.073,-0.2067,0.0267,-0.3574,0.5752,-0.0248,-0.2274,0.0541,-0.099,0.009,-0.0344,-0.1348,-0.0033,0.1381,-0.0337,-0.0488,-0.0529,-0.6123,-0.2257,-0.0637,-0.0362,-0.0216,-0.2796,-0.0245,0.0013,0.8432,0.0044,-0.019,0.0279,-0.0086,-0.0134,-0.1059,-0.0237,0.2491,-0.0052,-0.3728,-0.2299,0.1327,-0.0003,0.0499,-0.0537,-0.0098,-0.0014,-0.0049,0.0128,-0.5872,-0.0035,0.0002,-0.0043,-0.1268,-0.0062,0.4189,-0.0713,0.0126,-0.0001,0.024
1,-0.5589,-0.3894,-0.2434,0.1754,-0.0441,-0.0468,-0.4768,0.2095,-0.2317,-0.0719,-0.0459,-0.204,0.0323,-0.087,-0.0388,-0.0131,-0.132,0.0221,0.5783,-0.0197,-0.0592,-0.0586,-0.7364,-0.2247,-0.0651,-0.0361,-0.0246,-0.2724,-0.0293,-0.0092,0.2291,0.0148,-0.0242,-0.0682,0.2871,0.0244,-0.1039,-0.0262,0.0314,-0.01,-0.3697,-0.1831,-0.2283,-0.0002,-0.0421,-0.05,-0.0117,0.0001,-0.0065,0.3289,-0.6808,-0.0105,-0.0016,-0.0067,-0.1299,0.0049,-0.0319,-0.0629,0.2414,-0.0007,-0.5227
10,0.0296,0.6899,-0.0048,-0.0114,-0.0224,0.1222,0.3286,-0.0061,-0.2902,-0.0259,-0.0167,-0.1082,-0.0339,-0.0579,-0.0743,-0.0063,0.3124,-0.0023,-0.0255,-0.0079,0.7957,0.0079,0.2054,-0.1285,-0.0344,-0.0233,-0.0114,0.2084,0.0127,-0.0068,-0.0693,-0.0082,0.0509,-0.0207,-0.0127,-0.0178,-0.0492,-0.0105,-0.0073,-0.0045,-0.2698,-0.2073,-0.2884,-0.0001,-0.0451,-0.0312,-0.0027,-0.0007,0.0013,-0.5551,-0.4053,-0.0079,0.0023,-0.0028,0.1802,-0.0118,-0.011,-0.0414,-0.0038,-0.0001,-0.0444
11,2.6047,-0.3401,0.8371,-0.0239,-0.0587,-0.067,-0.142,-0.0137,0.368,-0.0753,-0.0332,-0.0896,-0.0748,-0.1024,-0.1965,-0.0174,0.3684,-0.0055,-0.0478,-0.0399,-0.0406,-0.0709,-0.7177,-0.1907,0.033,-0.0361,-0.0156,0.207,0.0305,-0.0002,-0.0764,-0.0155,-0.0284,-0.0819,-0.0147,-0.0444,0.0033,0.0975,-0.0171,-0.0052,-0.4225,0.1942,-0.4532,0.0001,-0.1484,-0.0742,-0.0205,-0.0027,-0.0176,0.1509,0.9024,0.0191,-0.0014,0.0736,-0.1345,-0.024,-0.0665,-0.0708,-0.0137,0.0001,2.1604
12,0.2294,-0.3808,-0.0775,-0.0236,-0.0368,-0.0284,-0.0169,0.0496,0.1883,-0.0706,-0.04,1.8691,-0.0709,-0.092,-0.2077,0.0306,-0.0143,-0.0055,-0.046,-0.0176,-0.0213,-0.0291,-0.6403,-0.1945,-0.0032,0.0529,-0.0322,-0.1413,0.0667,0.1247,-0.08,-0.0132,-0.0308,-0.0614,-0.0224,-0.0487,0.1244,0.0925,-0.0217,-0.0105,-0.3987,0.226,-0.4251,-0.0003,-0.1309,-0.0592,-0.0167,-0.0029,-0.0166,0.6074,1.4207,-0.0068,-0.0004,-0.0029,0.1008,-0.0151,-0.1204,0.9623,-0.0233,0.0006,0.1507
13,2.5566,-0.1158,0.08,0.0186,-0.0129,-0.0193,0.0376,0.0426,0.1155,0.0275,-0.0059,0.1995,-0.0183,-0.0211,-0.0206,0.0088,1.3417,-0.0016,-0.0059,-0.0079,-0.005,-0.0047,-0.232,-0.0519,-0.0023,0.014,0.0037,0.3762,0.0031,0.0034,-0.0145,-0.0026,-0.0068,0.0229,0.0207,-0.0084,0.3509,0.0168,0.0035,0.0018,-0.0492,0.0038,-0.1421,-0.0,-0.0383,-0.0144,-0.0035,0.0034,-0.004,-0.0358,0.743,0.0187,0.0,0.0054,-0.0241,0.0093,0.0777,0.0929,0.0376,-0.0001,1.5107
14,0.2386,-0.1294,-0.0923,0.0099,-0.0172,0.0536,-0.1529,0.0105,-0.1955,0.0013,-0.0136,-0.0743,-0.031,-0.0365,1.1397,0.0361,0.3473,0.0001,-0.0098,-0.0264,-0.0104,-0.0109,-0.1962,-0.0826,-0.0183,-0.0142,-0.0135,-0.1179,-0.0096,-0.015,-0.021,-0.0046,-0.0073,-0.0211,0.0136,-0.0216,-0.0269,-0.0159,0.0019,-0.004,-0.1152,-0.1524,-0.12,-0.0002,0.2179,-0.0182,-0.0037,-0.0005,-0.0117,0.0996,-0.1623,-0.0164,-0.0003,-0.0027,-0.0346,-0.0042,-0.0256,-0.0292,0.003,-0.0001,-0.0647
15,0.1621,-0.0733,-0.0909,0.0151,-0.0012,0.0231,0.0483,0.0147,-0.1339,0.253,-0.0106,-0.0615,0.015,-0.0315,0.1966,-0.0027,0.4729,0.0193,0.0998,-0.0122,-0.0105,-0.0154,-0.2168,-0.0493,-0.0088,-0.007,-0.0029,-0.0304,0.0037,-0.0001,0.3837,0.0053,-0.0059,0.0048,0.0167,-0.0071,-0.0222,-0.004,0.0431,-0.0024,-0.0426,-0.141,0.0653,-0.0001,0.1135,-0.0076,0.0023,0.0013,-0.0012,-0.4142,-0.2681,-0.0052,0.0025,-0.0017,-0.0352,0.0043,0.2432,-0.0017,0.0175,-0.0001,0.0609
16,3.2447,-0.3535,0.3826,-0.0353,-0.0416,0.0076,-0.2405,-0.0067,0.3391,-0.0727,-0.0282,0.1235,-0.0673,-0.0846,-0.1993,-0.0564,1.3506,-0.0053,-0.0391,-0.0184,-0.0389,-0.0459,-0.7254,-0.1811,-0.0315,0.0167,-0.0138,0.4976,0.0178,0.0082,-0.0803,-0.0123,-0.0243,-0.0703,-0.0225,-0.0348,0.5631,0.0435,-0.0164,-0.0076,-0.3983,0.1737,-0.4316,-0.0002,-0.152,-0.0575,-0.0153,-0.002,-0.0112,0.8698,0.9079,0.0295,-0.0012,-0.0022,-0.1085,-0.0172,0.032,-0.0482,-0.0245,0.0011,2.2706
17,0.1178,0.2096,0.11,0.0752,0.1022,0.0575,0.2288,0.1364,0.1009,0.3961,-0.0385,-0.0147,-0.0571,-0.0761,-0.1461,-0.0107,2.6109,0.0624,-0.0147,-0.0079,-0.0458,0.1348,-0.292,0.4377,0.103,0.0893,0.1671,1.4275,0.0439,-0.0019,0.0628,-0.0132,0.0013,-0.0039,0.0871,-0.0064,0.1421,-0.0314,0.0071,0.0535,-0.4097,-0.0264,-0.084,-0.0003,-0.0798,0.2051,0.032,0.2032,-0.0032,0.5561,0.5827,0.2871,0.0158,-0.0096,-0.0826,0.0317,0.8632,0.005,0.0998,0.0,0.9225
