leiden_cluster,DD046Q,DD047Q,DD073R
11,0,1,0
12,28,35,4
13,33,10,0
15,3,1,0
16,34,18,3
18,3,25,0
21,1,1,1
23,1,0,0
24,0,16,0
25,1,5,0
26,0,2,0
28,0,2,0
29,0,2,0
30,0,49,0
5,1,0,0
9,1,0,0
