leiden_cluster,DD046Q,DD047Q,DD073R
10,0,2,0
11,156,308,113
12,18,33,4
13,184,82,4
14,3,8,0
15,5,1,1
16,539,555,3
18,6,255,0
19,0,1,0
20,1,1,0
21,26,12,15
22,0,1,0
23,1,0,0
24,0,32,0
25,2,23,0
26,30,72,6
28,3,3,0
29,0,7,0
30,0,197,0
5,4,0,0
7,1,3,0
8,0,9,0
9,1,2,1
