leiden_cluster,DD046Q,DD047Q,DD073R
10,0,2,0
11,168,311,116
12,18,33,4
13,202,83,5
14,3,13,0
15,6,3,1
16,544,558,3
18,6,255,0
19,1,2,0
20,1,1,0
21,27,12,16
22,0,2,0
23,1,0,0
24,0,32,0
25,2,24,0
26,30,73,6
28,3,4,0
29,0,7,0
30,0,197,0
5,4,0,0
7,1,5,0
8,0,12,0
9,1,2,1
