cluster,n_cells,blind_proposal,hlca_compartment,compartment_fraction,hlca_type_flat,flat_mode_fraction,flat_confidence,flat_runner_up,flat_runner_up_fraction,verdict_flat_vs_blind,hlca_group_hier,hlca_type_hier,hier_mode_fraction,hier_confidence,verdict_hier_vs_blind,top3_mean_own_marker_score,cells_per_donor
0,1000,Mono_Mac,Immune,0.948,Interstitial Mph perivascular,0.462,mixed,Alveolar macrophages,0.242,agree,Myeloid,Interstitial Mph perivascular,0.461,mixed,agree,Interstitial Mph perivascular=0.843; Alveolar macrophages=0.575; Monocyte-derived Mph=0.249,DD046Q=202; DD047Q=349; DD073R=449
1,377,Mono_Mac,Immune,0.966,DC2,0.528,confident,T cells proliferating,0.114,partial (same compartment),Myeloid,DC2,0.552,confident,partial (same compartment),DC2=0.578; T cells proliferating=0.241; Interstitial Mph perivascular=0.229,DD046Q=124; DD047Q=93; DD073R=160
2,1173,Endothelial,Endothelial,0.989,EC general capillary,0.961,confident,Lymphatic EC mature,0.014,agree,Blood vessels,EC general capillary,0.962,confident,agree,EC general capillary=2.132; Lymphatic EC mature=0.159; Lymphatic EC differentiating=-0.007,DD046Q=594; DD047Q=356; DD073R=223
3,314,Endothelial,Endothelial,0.99,EC arterial,0.748,confident,EC general capillary,0.22,agree,Blood vessels,EC arterial,0.758,confident,agree,EC arterial=1.985; EC general capillary=0.631; Lymphatic EC differentiating=0.008,DD046Q=127; DD047Q=122; DD073R=65
4,1118,CD8_T,Immune,0.964,CD8 T cells,0.692,confident,NK cells,0.136,agree,Lymphoid,CD8 T cells,0.704,confident,agree,CD8 T cells=0.897; NK cells=0.167; CD4 T cells=0.028,DD046Q=489; DD047Q=289; DD073R=340
5,1326,Fibroblast,Stroma,0.964,Alveolar fibroblasts,0.44,mixed,Subpleural fibroblasts,0.143,agree,Fibroblast lineage,Alveolar fibroblasts,0.483,mixed,agree,Alveolar fibroblasts=0.427; Subpleural fibroblasts=0.160; Adventitial fibroblasts=0.075,DD046Q=471; DD047Q=186; DD073R=669
6,1231,Fibroblast,Stroma,1.0,Peribronchial fibroblasts,0.425,mixed,SM activated stress response,0.213,agree,Fibroblast lineage,Peribronchial fibroblasts,0.482,mixed,agree,Peribronchial fibroblasts=0.646; Adventitial fibroblasts=0.435; SM activated stress response=0.238,DD046Q=228; DD047Q=109; DD073R=894
7,2096,NK,Immune,0.964,NK cells,0.829,confident,CD8 T cells,0.078,agree,Lymphoid,NK cells,0.653,confident,agree,NK cells=1.913; CD8 T cells=0.215; Non-classical monocytes=0.009,DD046Q=493; DD047Q=1321; DD073R=282
8,1738,T_cell,Immune,0.876,CD4 T cells,0.355,mixed,Alveolar Mph CCL3+,0.113,agree,Lymphoid,CD4 T cells,0.427,mixed,agree,CD4 T cells=0.208; CD8 T cells=0.068; Alveolar Mph CCL3+=0.057,DD046Q=611; DD047Q=541; DD073R=586
9,1086,Endothelial,Endothelial,0.887,EC general capillary,0.701,confident,EC aerocyte capillary,0.052,agree,Blood vessels,EC general capillary,0.596,confident,agree,EC general capillary=1.374; Lymphatic EC mature=0.067; EC venous systemic=0.046,DD046Q=661; DD047Q=239; DD073R=186
10,961,Endothelial,Endothelial,0.973,EC aerocyte capillary,0.465,mixed,EC general capillary,0.335,agree,Blood vessels,EC aerocyte capillary,0.489,mixed,agree,EC aerocyte capillary=0.796; EC general capillary=0.205; Lymphatic EC differentiating=0.051,DD046Q=566; DD047Q=210; DD073R=185
11,807,AT2,Epithelial,0.989,AT0,0.737,confident,pre-TB secretory,0.234,partial (same compartment),Alveolar epithelium,AT2,0.838,confident,agree,AT0=2.605; pre-TB secretory=2.160; SMG duct=0.902,DD046Q=185; DD047Q=353; DD073R=269
12,1292,Transitional,Epithelial,0.948,Basal resting,0.691,confident,SMG duct,0.125,agree,Airway epithelium,Basal resting,0.75,confident,agree,Basal resting=1.869; SMG duct=1.421; Suprabasal=0.962,DD046Q=752; DD047Q=312; DD073R=228
13,730,Club,Epithelial,0.507,AT0,0.397,mixed,EC aerocyte capillary,0.156,partial (same compartment),Alveolar epithelium,EC aerocyte capillary,0.2,mixed,partial (same compartment),AT0=2.557; pre-TB secretory=1.511; Club (non-nasal)=1.342,DD046Q=532; DD047Q=128; DD073R=70
14,893,Neutrophil,Immune,0.714,Classical monocytes,0.56,confident,EC aerocyte capillary,0.094,reference lacks identity,Myeloid,Classical monocytes,0.471,mixed,reference lacks identity,Classical monocytes=1.140; Non-classical monocytes=0.218; Alveolar Mph CCL3+=0.054,DD046Q=306; DD047Q=534; DD073R=53
15,446,Platelet,Endothelial,0.413,EC aerocyte capillary,0.222,mixed,EC general capillary,0.096,reference lacks identity,Myeloid,EC aerocyte capillary,0.274,mixed,reference lacks identity,Lymphatic EC proliferating=0.017; Lymphatic EC mature=0.005; Lymphatic EC differentiating=-0.006,DD046Q=262; DD047Q=57; DD073R=127
16,1198,Club,Epithelial,0.987,AT0,0.922,confident,Club (non-nasal),0.053,partial (same compartment),Alveolar epithelium,AT2,0.64,confident,partial (same compartment),AT0=3.245; pre-TB secretory=2.271; Club (non-nasal)=1.351,DD046Q=570; DD047Q=588; DD073R=40
17,23,Plasma,Stroma,0.87,Subpleural fibroblasts,0.522,confident,SM activated stress response,0.261,disagree,Fibroblast lineage,Subpleural fibroblasts,0.783,confident,disagree,Subpleural fibroblasts=0.863; SM activated stress response=0.556; Peribronchial fibroblasts=0.205,DD073R=23
18,486,Pan_epithelial,Epithelial,0.988,AT0,0.537,confident,Club (non-nasal),0.416,partial (same compartment),Alveolar epithelium,AT2,0.407,mixed,partial (same compartment),Club (non-nasal)=2.060; AT0=1.683; pre-TB secretory=1.269,DD046Q=129; DD047Q=283; DD073R=74
19,2359,Pan_immune,Immune,0.969,Classical monocytes,0.49,mixed,Non-classical monocytes,0.27,partial (same compartment),Myeloid,Classical monocytes,0.488,mixed,partial (same compartment),Classical monocytes=1.099; Non-classical monocytes=0.791; Alveolar Mph CCL3+=0.174,DD046Q=591; DD047Q=1192; DD073R=576
20,437,B_cell,Immune,0.842,B cells,0.737,confident,EC aerocyte capillary,0.046,agree,Lymphoid,B cells,0.778,confident,agree,B cells=1.789; Plasma cells=0.040; Non-classical monocytes=0.021,DD046Q=73; DD047Q=162; DD073R=202
