gene	tss	gsm	mean_CPM	covered_fraction
PDPN	13027416	GSM8796444	0.011069244984537364	1.0
SFTPB	85670254	GSM8796444	0.08334491588175297	1.0
SFTPC	22435742	GSM8796444	0.05990415178239346	1.0
TP53	7579367	GSM8796444	0.04927769040688872	1.0
TP63	192606306	GSM8796444	0.02130503834038973	1.0
ATF3	211863906	GSM8796445	0.04971009409427643	1.0
CAV1	117841395	GSM8796445	0.14259423413313926	1.0
CDKN1A	36499358	GSM8796445	0.14882576180808246	1.0
HOPX	60144363	GSM8796445	0.100171194113791	1.0
KRT8	52869656	GSM8796445	0.06456829310208559	1.0
NKX2-1	30708839	GSM8796445	0.0777417469881475	1.0
PDPN	13027416	GSM8796445	0.046908935546875	1.0
SFTPB	85670254	GSM8796445	0.0987909224871546	1.0
SFTPC	22435742	GSM8796445	0.0780056867543608	1.0
TP53	7579367	GSM8796445	0.05344494347833097	1.0
TP63	192606306	GSM8796445	0.016847450288012624	1.0
ATF3	211863906	GSM8796447	0.04491502847522497	1.0
CAV1	117841395	GSM8796447	0.12390070090070367	1.0
CDKN1A	36499358	GSM8796447	0.08510386799275875	1.0
HOPX	60144363	GSM8796447	0.04813597900047898	1.0
KRT8	52869656	GSM8796447	0.043701099790632726	1.0
NKX2-1	30708839	GSM8796447	0.040739164005964994	1.0
PDPN	13027416	GSM8796447	0.015554365191608667	1.0
SFTPB	85670254	GSM8796447	0.11451305756345391	1.0
SFTPC	22435742	GSM8796447	0.07675210409983993	1.0
TP53	7579367	GSM8796447	0.025767475694417955	1.0
TP63	192606306	GSM8796447	0.010682495974004268	1.0
ATF3	211863906	GSM8833580	0.007465215213596821	1.0
CAV1	117841395	GSM8833580	0.48075987476855514	1.0
CDKN1A	36499358	GSM8833580	5.927232328511774	1.0
HOPX	60144363	GSM8833580	0.09331519436091185	1.0
KRT8	52869656	GSM8833580	6.942851071037352	1.0
NKX2-1	30708839	GSM8833580	6.524152317762375	1.0
PDPN	13027416	GSM8833580	0.01288993826881051	1.0
SFTPB	85670254	GSM8833580	0.018663027975708246	1.0
SFTPC	22435742	GSM8833580	0.04688152639567852	1.0
TP53	7579367	GSM8833580	0.018663038033992052	1.0
TP63	192606306	GSM8833580	0.061861754283308985	1.0
ATF3	211863906	GSM8833581	0.024608925729990006	1.0
CAV1	117841395	GSM8833581	1.233184013031423	1.0
CDKN1A	36499358	GSM8833581	2.7897294095531104	1.0
HOPX	60144363	GSM8833581	0.34715071913599965	1.0
KRT8	52869656	GSM8833581	5.127310493208468	1.0
NKX2-1	30708839	GSM8833581	9.316686750650407	1.0
PDPN	13027416	GSM8833581	0.11467778752744198	1.0
SFTPB	85670254	GSM8833581	1.0017502667605878	1.0
SFTPC	22435742	GSM8833581	0.09843592662364245	1.0
TP53	7579367	GSM8833581	0.013671625405550003	1.0
TP63	192606306	GSM8833581	0.0	1.0
ATF3	211863906	GSM8833582	0.020513799093663694	1.0
CAV1	117841395	GSM8833582	3.8687511850893497	1.0
CDKN1A	36499358	GSM8833582	4.523748906895518	1.0
HOPX	60144363	GSM8833582	0.0973202932626009	1.0
KRT8	52869656	GSM8833582	4.871477418892086	1.0
NKX2-1	30708839	GSM8833582	9.858906671285629	1.0
PDPN	13027416	GSM8833582	0.25535067399591205	1.0
SFTPB	85670254	GSM8833582	0.7935640226453543	1.0
SFTPC	22435742	GSM8833582	0.06967693262547255	1.0
TP53	7579367	GSM8833582	0.015658710516989232	1.0
TP63	192606306	GSM8833582	0.0	1.0
ATF3	211863906	GSM8833583	0.0	1.0
CAV1	117841395	GSM8833583	0.23954846933484078	1.0
CDKN1A	36499358	GSM8833583	7.3945418872237205	1.0
