gsm,patient,histology,source_cells,qc_cells,assayed_genes,model_genes_measured,total_counts,sha256
GSM9237904,4,normal,36862,28112,18082,1731,109940542,3d61006c03786fed3dc1524ee5fb27836bddfac1374f39c763a3225e2919a59c
GSM9237905,4,normal,14328,10131,18082,1731,34856775,5f372179fd195f07b964ce7a65beece1b0affd616ad555798430d09f7f0d10f7
GSM9237906,4,AAH,5613,4445,18082,1731,19719088,15216710884844b6223562218e654a4902393aed5ab9024130c95ec97e98b1bc
GSM9237907,4,AAH,14058,9781,18082,1731,34296795,d1f4c92746e446773100ec824c55c0ff198626c1fd6868009ae0a6bf840ace10
GSM9237912,6,normal,1690,1076,18082,1731,4385959,e15fb5efdd42f6f88580d574f25be90432552abe3362cd429c476795e45b9817
GSM9237913,6,AAH,3699,2236,18082,1731,8245139,65e3ddb706ea78d027ff825c022d308ea5d6ee87f40eea70ab9bb753e203bedf
GSM9237921,9,normal,3000,1989,18082,1731,7251894,7af5ccdd490254af2a1fc17652097ebe8065b89107f16213ce29ed75f3a000ca
GSM9237922,9,AAH,1730,1009,18082,1731,3776783,14cafcbb452b53efc1a16c6daf64fa7fb990fd746119bfe676388d5e2174ed2c
