gsm,gene,assayed
GSM9237904,ARHGAP15,True
GSM9237904,ARHGAP25,True
GSM9237904,ARHGAP29,True
GSM9237904,ARHGAP9,True
GSM9237904,ARID4A,True
GSM9237904,ARID4B,True
GSM9237904,ARID5A,True
GSM9237904,ARID5B,True
GSM9237904,ARL4A,True
GSM9237904,ARL4C,True
GSM9237904,ARL4D,True
GSM9237904,ARL5B,True
GSM9237904,ARMC3,True
GSM9237904,ARPP19,True
GSM9237904,ARTN,True
GSM9237904,ASCL1,True
GSM9237904,ASCL3,True
GSM9237904,ASF1A,True
GSM9237904,ASF1B,True
GSM9237904,ASGR2,True
GSM9237904,ASPN,True
GSM9237904,ATAD2,True
GSM9237904,ATF3,True
GSM9237904,ATF5,True
GSM9237904,ATP12A,True
GSM9237904,ATP1B1,True
GSM9237904,ATP2A2,True
GSM9237904,ATP2A3,True
GSM9237904,ATP2B1,True
GSM9237904,ATP2C1,True
GSM9237904,ATP5F1A,True
GSM9237904,ATP5F1B,True
GSM9237904,ATP5F1C,True
GSM9237904,ATP5F1D,True
GSM9237904,ATP5F1E,True
GSM9237904,ATP5MC1,True
GSM9237904,ATP5MC2,True
GSM9237904,ATP5MC3,True
GSM9237904,ATP5ME,True
GSM9237904,ATP5MF,True
GSM9237904,ATP5MG,True
GSM9237904,ATP5PB,True
GSM9237904,ATP5PD,True
GSM9237904,ATP5PF,True
GSM9237904,ATP5PO,True
GSM9237904,ATP6AP1,True
GSM9237904,ATP6AP2,True
GSM9237904,ATP6V0B,True
GSM9237904,ATP6V0C,True
GSM9237904,ATP6V0E1,True
GSM9237904,ATP6V1C1,True
GSM9237904,ATP6V1D,True
GSM9237904,ATP6V1E1,True
GSM9237904,ATP6V1F,True
GSM9237904,ATP6V1G1,True
GSM9237904,ATP6V1G3,True
GSM9237904,ATP6V1H,True
GSM9237904,ATP7A,True
GSM9237904,ATRX,True
GSM9237904,AURKA,True
GSM9237904,AURKB,True
GSM9237904,AUTS2,True
GSM9237904,AVPR1A,True
GSM9237904,AXIN1,True
GSM9237904,AXIN2,True
GSM9237904,AXL,True
GSM9237904,AZGP1,True
GSM9237904,B2M,True
GSM9237904,B3GALT6,True
GSM9237904,B3GAT1,True
GSM9237904,B3GAT3,True
GSM9237904,B3GNT3,True
GSM9237904,B4GALNT2,True
GSM9237904,B4GALT1,True
GSM9237904,B4GALT2,True
GSM9237904,B4GALT4,True
GSM9237904,B4GALT5,True
GSM9237904,B4GALT7,True
GSM9237904,B9D1,True
GSM9237904,BAG3,True
GSM9237904,BAIAP2,True
GSM9237904,BAK1,True
GSM9237904,BANK1,True
GSM9237904,BARD1,True
GSM9237904,BASP1,True
GSM9237904,BATF,True
GSM9237904,BATF2,True
GSM9237904,BAX,True
GSM9237904,BBOF1,True
GSM9237904,BCAM,True
GSM9237904,BCAN,True
GSM9237904,BCAR3,True
GSM9237904,BCKDHA,True
GSM9237904,BCL11B,True
GSM9237904,BCL2,True
GSM9237904,BCL2A1,True
GSM9237904,BCL3,True
GSM9237904,BCL6,True
GSM9237904,BCYRN1,False
GSM9237904,BDH2,True
GSM9237904,BDKRB1,True
GSM9237904,BEST1,True
GSM9237904,BEX1,True
GSM9237904,BEX5,True
GSM9237904,BGN,True
GSM9237904,BHLHE40,True
