compartment,genotype,call,n_cells,pct_of_library
RFP+ epithelium,Areg-flox/+,AT1_like,5,0.08
RFP+ epithelium,Areg-flox/+,AT2,1794,29.24
RFP+ epithelium,Areg-flox/+,DATP_like,2860,46.62
RFP+ epithelium,Areg-flox/+,cycling,54,0.88
RFP+ epithelium,Areg-flox/flox,AT1_like,6,0.12
RFP+ epithelium,Areg-flox/flox,AT2,3081,59.08
RFP+ epithelium,Areg-flox/flox,DATP_like,1147,21.99
RFP+ epithelium,Areg-flox/flox,cycling,11,0.21
