"cohort","compartment","label","cell_floor","n_control","n_IPF","eligible"
"GSE136831","AT2","__broad__",50,10,3,TRUE
"GSE136831","AT2","__broad__",30,10,3,TRUE
"GSE136831","AT2","__broad__",100,6,1,FALSE
"GSE136831","AT2","ATII",50,10,3,TRUE
"GSE136831","AT2","ATII",30,10,3,TRUE
"GSE136831","AT2","ATII",100,6,1,FALSE
"GSE136831","fibroblasts","__broad__",50,4,18,TRUE
"GSE136831","fibroblasts","__broad__",30,4,18,TRUE
"GSE136831","fibroblasts","__broad__",100,4,11,TRUE
"GSE136831","fibroblasts","Fibroblast",50,4,10,TRUE
"GSE136831","fibroblasts","Fibroblast",30,4,14,TRUE
"GSE136831","fibroblasts","Fibroblast",100,3,5,TRUE
"GSE136831","fibroblasts","Myofibroblast",50,1,10,FALSE
"GSE136831","fibroblasts","Myofibroblast",30,1,14,FALSE
"GSE136831","fibroblasts","Myofibroblast",100,0,8,FALSE
"GSE136831","macrophages","__broad__",50,27,32,TRUE
"GSE136831","macrophages","__broad__",30,27,32,TRUE
"GSE136831","macrophages","__broad__",100,27,32,TRUE
"GSE136831","macrophages","Macrophage",50,27,32,TRUE
"GSE136831","macrophages","Macrophage",30,27,32,TRUE
"GSE136831","macrophages","Macrophage",100,27,32,TRUE
"GSE136831","macrophages","Macrophage_Alveolar",50,26,29,TRUE
"GSE136831","macrophages","Macrophage_Alveolar",30,26,30,TRUE
"GSE136831","macrophages","Macrophage_Alveolar",100,25,27,TRUE
