"cohort","compartment","label","cell_floor","genes_tested","residual_df","eligible_sets"
"GSE136831","AT2","__broad__",50,8246,11,8
"GSE136831","AT2","__broad__",30,8246,11,8
"GSE136831","AT2","ATII",50,8246,11,8
"GSE136831","AT2","ATII",30,8246,11,8
"GSE136831","fibroblasts","__broad__",50,12501,20,6
"GSE136831","fibroblasts","__broad__",30,12501,20,6
"GSE136831","fibroblasts","__broad__",100,15185,13,6
"GSE136831","fibroblasts","Fibroblast",50,10087,12,6
"GSE136831","fibroblasts","Fibroblast",30,10105,16,6
"GSE136831","fibroblasts","Fibroblast",100,10139,6,6
"GSE136831","macrophages","__broad__",50,20384,57,7
"GSE136831","macrophages","__broad__",30,20384,57,7
"GSE136831","macrophages","__broad__",100,20384,57,7
"GSE136831","macrophages","Macrophage",50,17339,57,7
"GSE136831","macrophages","Macrophage",30,17339,57,7
"GSE136831","macrophages","Macrophage",100,17339,57,7
"GSE136831","macrophages","Macrophage_Alveolar",50,15952,53,7
"GSE136831","macrophages","Macrophage_Alveolar",30,15911,54,7
"GSE136831","macrophages","Macrophage_Alveolar",100,15965,50,7
