"NGenes","Correlation","Direction","PValue","FDR","set","cohort","compartment","label","cell_floor","correlation_setting","n_control","n_IPF","assayed_fraction","mean_member_log2FC","FDR_global"
137,0.12451966234185,"Up",0.937341215543372,0.960389641772647,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE136831","AT2","__broad__",50,"estimated",10,3,0.985,0.0116676925387435,0.980397759309577
87,0.0536262212308675,"Down",0.718042726488306,0.960389641772647,"HALLMARK_INFLAMMATORY_RESPONSE","GSE136831","AT2","__broad__",50,"estimated",10,3,0.985,-0.0065213065320359,0.977335933275749
46,0.0147333079768538,"Up",0.83488661010798,0.960389641772647,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE136831","AT2","__broad__",50,"estimated",10,3,0.988505747126437,-0.0575027364595349,0.980397759309577
108,0.0501517217266299,"Up",0.960389641772647,0.960389641772647,"HALLMARK_HYPOXIA","GSE136831","AT2","__broad__",50,"estimated",10,3,0.945,-0.0212491359054988,0.980397759309577
101,0.0390379949938819,"Down",0.666916336579742,0.960389641772647,"HALLMARK_GLYCOLYSIS","GSE136831","AT2","__broad__",50,"estimated",10,3,0.965,-0.0124845979578437,0.963503562372486
121,0.0336122539722237,"Up",0.334752638890636,0.892673703708363,"HALLMARK_P53_PATHWAY","GSE136831","AT2","__broad__",50,"estimated",10,3,0.97,0.140789060370763,0.810976728639132
109,0.131266470642015,"Down",0.281209206203074,0.892673703708363,"HALLMARK_E2F_TARGETS","GSE136831","AT2","__broad__",50,"estimated",10,3,0.98,-0.143974799099902,0.810976728639132
118,0.0802077691243774,"Down",0.323297568837465,0.892673703708363,"HALLMARK_G2M_CHECKPOINT","GSE136831","AT2","__broad__",50,"estimated",10,3,0.98,-0.117855792144382,0.810976728639132
137,0.01,"Up",0.825072872951452,0.92915570061843,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE136831","AT2","__broad__",50,"fixed001",10,3,0.985,0.0116676925387435,0.89841268388047
87,0.01,"Down",0.520674801806226,0.833079682889961,"HALLMARK_INFLAMMATORY_RESPONSE","GSE136831","AT2","__broad__",50,"fixed001",10,3,0.985,-0.0065213065320359,0.690172602051052
46,0.01,"Up",0.819243314212579,0.92915570061843,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE136831","AT2","__broad__",50,"fixed001",10,3,0.988505747126437,-0.0575027364595349,0.89841268388047
108,0.01,"Up",0.92915570061843,0.92915570061843,"HALLMARK_HYPOXIA","GSE136831","AT2","__broad__",50,"fixed001",10,3,0.945,-0.0212491359054988,0.948513111047981
101,0.01,"Down",0.489491739955845,0.833079682889961,"HALLMARK_GLYCOLYSIS","GSE136831","AT2","__broad__",50,"fixed001",10,3,0.965,-0.0124845979578437,0.690172602051052
121,0.01,"Up",0.127798602817009,0.340796274178691,"HALLMARK_P53_PATHWAY","GSE136831","AT2","__broad__",50,"fixed001",10,3,0.97,0.140789060370763,0.250485261521338
109,0.01,"Down",0.00227550205617312,0.018204016449385,"HALLMARK_E2F_TARGETS","GSE136831","AT2","__broad__",50,"fixed001",10,3,0.98,-0.143974799099902,0.00857689236557562
118,0.01,"Down",0.0240869703639911,0.0963478814559642,"HALLMARK_G2M_CHECKPOINT","GSE136831","AT2","__broad__",50,"fixed001",10,3,0.98,-0.117855792144382,0.0737663467397226
137,0.12451966234185,"Up",0.937341215543372,0.960389641772647,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE136831","AT2","__broad__",30,"estimated",10,3,0.985,0.0116676925387435,0.960389641772647
87,0.0536262212308675,"Down",0.718042726488306,0.960389641772647,"HALLMARK_INFLAMMATORY_RESPONSE","GSE136831","AT2","__broad__",30,"estimated",10,3,0.985,-0.0065213065320359,0.960389641772647
46,0.0147333079768538,"Up",0.83488661010798,0.960389641772647,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE136831","AT2","__broad__",30,"estimated",10,3,0.988505747126437,-0.0575027364595349,0.960389641772647
108,0.0501517217266299,"Up",0.960389641772647,0.960389641772647,"HALLMARK_HYPOXIA","GSE136831","AT2","__broad__",30,"estimated",10,3,0.945,-0.0212491359054988,0.960389641772647
