sub_r0.5,Neutrophil,aMAC,cDC1,cDC2,cMON,iMAC,iMON,maDC,pMON
0,0,0,0,0,42,3,449,0,0
1,2,72,0,0,1,61,580,0,0
10,0,0,1,0,1,711,34,0,0
11,1,2,308,3,0,0,0,5,0
12,33,34,17,28,8,6,10,1,23
13,18,59,26,10,19,33,14,0,26
14,1,0,0,81,0,0,0,0,0
15,77,0,0,0,0,0,0,0,0
2,0,1941,0,0,0,0,3,0,0
3,0,1339,1,0,0,2,5,0,0
4,1085,0,0,0,0,0,0,0,0
5,3,0,0,1,10,0,0,0,705
6,6,0,0,2,941,1,17,0,27
7,0,1,29,359,12,2,43,98,1
8,0,184,0,0,0,0,1,0,0
9,5,185,145,4,3,13,6,1,3
