subcluster,Siglecf,Ear2,Plet1,Fabp4,Krt79,Cd163,Mrc1,Folr2,Lyve1,C1qa,C1qb,Spp1,Lpl,Chil3,Mmp9,Ccl2,Il1rn,S100a8,Il18,Trem2,Marco,Mcemp1,Ly6c2,Ccr2,Plac8,Cx3cr1,Ace,Nr4a1,Xcr1,Clec9a,Cd209a,Itgax,H2-Ab1,Ccr7,Fscn1,Siglech,Bst2,S100a9,Retnlg,Csf3r,Isg15,Ifit3,Irf7,Mki67,Top2a
0,0.008,0.206,0.008,0.053,0.0,0.0,0.055,0.034,0.055,0.356,0.455,0.285,0.148,0.696,0.0,0.856,0.85,0.136,0.466,0.219,0.004,0.374,0.966,0.765,0.96,0.105,0.126,0.652,0.0,0.008,0.0,0.308,0.54,0.004,0.002,0.0,0.986,0.016,0.0,0.484,0.998,0.941,0.996,0.016,0.02
1,0.088,0.295,0.173,0.256,0.007,0.001,0.69,0.092,0.015,0.693,0.781,0.584,0.561,0.422,0.003,0.447,0.652,0.341,0.325,0.821,0.014,0.423,0.344,0.408,0.279,0.251,0.06,0.732,0.0,0.035,0.0,0.588,0.851,0.011,0.006,0.0,0.926,0.006,0.0,0.378,0.49,0.18,0.464,0.098,0.05
2,0.545,0.995,0.997,0.612,0.538,0.002,0.998,0.001,0.006,0.013,0.033,0.902,0.998,0.995,0.003,0.059,0.635,0.417,0.918,0.639,0.217,0.967,0.006,0.088,0.019,0.014,0.126,0.856,0.001,0.038,0.002,0.949,0.708,0.002,0.004,0.0,0.607,0.006,0.005,0.126,0.119,0.034,0.076,0.069,0.045
3,0.801,0.987,0.995,0.8,0.901,0.0,0.998,0.0,0.007,0.008,0.007,0.902,0.999,0.996,0.0,0.053,0.693,0.554,0.968,0.683,0.643,0.975,0.004,0.036,0.012,0.009,0.205,0.907,0.004,0.065,0.002,0.989,0.478,0.003,0.004,0.001,0.604,0.007,0.0,0.099,0.077,0.01,0.054,0.045,0.031
4,0.056,0.013,0.006,0.011,0.001,0.0,0.005,0.0,0.012,0.003,0.006,0.059,0.012,0.137,0.829,0.018,0.601,0.979,0.025,0.002,0.006,0.693,0.097,0.002,0.202,0.005,0.042,0.732,0.0,0.0,0.001,0.091,0.043,0.002,0.004,0.0,0.091,0.982,0.794,0.959,0.502,0.118,0.229,0.008,0.002
5,0.006,0.843,0.012,0.586,0.003,0.0,0.008,0.0,0.007,0.01,0.011,0.024,0.138,0.326,0.007,0.035,0.081,0.026,0.068,0.056,0.003,0.4,0.16,0.233,0.903,0.708,0.904,0.99,0.001,0.0,0.001,0.353,0.333,0.007,0.0,0.0,0.339,0.022,0.003,0.283,0.222,0.064,0.354,0.003,0.036
6,0.003,0.313,0.01,0.03,0.002,0.006,0.059,0.003,0.01,0.018,0.036,0.024,0.26,0.693,0.012,0.247,0.174,0.109,0.193,0.211,0.004,0.809,0.901,0.96,0.991,0.65,0.27,0.962,0.001,0.002,0.033,0.041,0.316,0.005,0.001,0.001,0.718,0.023,0.008,0.533,0.495,0.107,0.616,0.017,0.018
7,0.031,0.404,0.132,0.011,0.002,0.059,0.42,0.007,0.017,0.128,0.152,0.116,0.174,0.077,0.007,0.172,0.178,0.018,0.145,0.04,0.006,0.631,0.185,0.594,0.347,0.261,0.035,0.844,0.031,0.097,0.589,0.633,0.939,0.338,0.2,0.046,0.727,0.015,0.009,0.04,0.308,0.086,0.228,0.138,0.068
8,0.719,0.989,0.995,0.703,0.627,0.0,1.0,0.0,0.0,0.011,0.011,0.984,1.0,0.989,0.0,0.049,0.816,0.443,0.941,0.751,0.47,0.984,0.005,0.081,0.016,0.005,0.13,0.859,0.0,0.081,0.0,0.995,0.681,0.011,0.011,0.0,0.773,0.0,0.0,0.103,0.141,0.011,0.092,0.497,0.432
9,0.356,0.641,0.616,0.359,0.348,0.019,0.704,0.033,0.016,0.167,0.167,0.715,0.668,0.548,0.014,0.205,0.46,0.315,0.658,0.504,0.255,0.732,0.055,0.477,0.121,0.211,0.104,0.899,0.186,0.205,0.132,0.847,0.822,0.036,0.016,0.033,0.74,0.019,0.005,0.115,0.249,0.079,0.173,0.863,0.855
