patient,histology,label,uncertainty_cutoff,cells
4,AAH,AT0,0.2,5
4,AAH,AT1,0.2,894
4,AAH,AT2,0.2,3036
4,AAH,AT2 proliferating,0.2,12
4,AAH,Adventitial fibroblasts,0.2,57
4,AAH,Alveolar fibroblasts,0.2,1446
4,AAH,Alveolar macrophages,0.2,502
4,AAH,B cells,0.2,18
4,AAH,Basal resting,0.2,7
4,AAH,CD4 T cells,0.2,381
4,AAH,CD8 T cells,0.2,353
4,AAH,Classical monocytes,0.2,16
4,AAH,Club (non-nasal),0.2,1
4,AAH,EC aerocyte capillary,0.2,103
4,AAH,EC arterial,0.2,100
4,AAH,EC general capillary,0.2,48
4,AAH,EC venous pulmonary,0.2,120
4,AAH,EC venous systemic,0.2,2
4,AAH,Goblet (bronchial),0.2,1
4,AAH,Goblet (nasal),0.2,3
4,AAH,Interstitial Mph perivascular,0.2,71
4,AAH,Lymphatic EC differentiating,0.2,60
4,AAH,Mast cells,0.2,246
4,AAH,Mesothelium,0.2,1
4,AAH,Migratory DCs,0.2,26
4,AAH,Monocyte-derived Mph,0.2,46
4,AAH,Multiciliated (non-nasal),0.2,53
4,AAH,Myofibroblasts,0.2,4
4,AAH,NK cells,0.2,61
4,AAH,Non-classical monocytes,0.2,42
4,AAH,Peribronchial fibroblasts,0.2,16
4,AAH,Pericytes,0.2,37
4,AAH,Plasma cells,0.2,139
4,AAH,Plasmacytoid DCs,0.2,36
4,AAH,Smooth muscle,0.2,36
4,AAH,T cells proliferating,0.2,21
4,AAH,pre-TB secretory,0.2,2
4,normal,AT0,0.2,59
4,normal,AT1,0.2,2362
4,normal,AT2,0.2,7038
4,normal,AT2 proliferating,0.2,12
4,normal,Adventitial fibroblasts,0.2,164
4,normal,Alveolar Mph proliferating,0.2,2
4,normal,Alveolar fibroblasts,0.2,3706
4,normal,Alveolar macrophages,0.2,1771
4,normal,B cells,0.2,82
4,normal,Basal resting,0.2,62
4,normal,CD4 T cells,0.2,1222
4,normal,CD8 T cells,0.2,1443
4,normal,Classical monocytes,0.2,65
4,normal,EC aerocyte capillary,0.2,389
4,normal,EC arterial,0.2,243
4,normal,EC general capillary,0.2,182
4,normal,EC venous pulmonary,0.2,351
4,normal,EC venous systemic,0.2,4
4,normal,Goblet (nasal),0.2,6
4,normal,Goblet (subsegmental),0.2,2
4,normal,Interstitial Mph perivascular,0.2,139
4,normal,Lymphatic EC differentiating,0.2,180
4,normal,Mast cells,0.2,615
4,normal,Migratory DCs,0.2,36
4,normal,Monocyte-derived Mph,0.2,114
4,normal,Multiciliated (non-nasal),0.2,286
4,normal,Myofibroblasts,0.2,6
4,normal,NK cells,0.2,179
4,normal,Neuroendocrine,0.2,3
4,normal,Non-classical monocytes,0.2,118
4,normal,Peribronchial fibroblasts,0.2,10
4,normal,Pericytes,0.2,144
4,normal,Plasma cells,0.2,603
4,normal,Plasmacytoid DCs,0.2,54
4,normal,SM activated stress response,0.2,2
4,normal,Smooth muscle,0.2,55
4,normal,Suprabasal,0.2,1
4,normal,T cells proliferating,0.2,24
4,normal,pre-TB secretory,0.2,16
6,AAH,AT0,0.2,1
6,AAH,AT1,0.2,218
6,AAH,AT2,0.2,414
6,AAH,Adventitial fibroblasts,0.2,34
6,AAH,Alveolar fibroblasts,0.2,247
6,AAH,Alveolar macrophages,0.2,77
6,AAH,B cells,0.2,1
6,AAH,Basal resting,0.2,37
6,AAH,CD4 T cells,0.2,20
6,AAH,CD8 T cells,0.2,34
6,AAH,Classical monocytes,0.2,10
6,AAH,Club (non-nasal),0.2,3
6,AAH,EC aerocyte capillary,0.2,62
6,AAH,EC arterial,0.2,26
6,AAH,EC general capillary,0.2,45
6,AAH,EC venous pulmonary,0.2,13
6,AAH,Goblet (bronchial),0.2,1
6,AAH,Goblet (nasal),0.2,3
6,AAH,Interstitial Mph perivascular,0.2,9
6,AAH,Lymphatic EC differentiating,0.2,10
6,AAH,Mast cells,0.2,13
6,AAH,Multiciliated (non-nasal),0.2,174
6,AAH,Myofibroblasts,0.2,1
6,AAH,NK cells,0.2,17
6,AAH,Neuroendocrine,0.2,1
6,AAH,Non-classical monocytes,0.2,10
6,AAH,Pericytes,0.2,17
6,AAH,Plasma cells,0.2,26
6,AAH,Plasmacytoid DCs,0.2,1
6,AAH,SMG mucous,0.2,5
6,AAH,SMG serous (bronchial),0.2,6
6,AAH,Smooth muscle,0.2,30
6,AAH,Suprabasal,0.2,2
6,AAH,pre-TB secretory,0.2,10
6,normal,AT0,0.2,1
6,normal,AT1,0.2,92
6,normal,AT2,0.2,142
6,normal,Adventitial fibroblasts,0.2,19
6,normal,Alveolar fibroblasts,0.2,117
6,normal,Alveolar macrophages,0.2,77
6,normal,B cells,0.2,7
6,normal,Basal resting,0.2,15
6,normal,CD4 T cells,0.2,21
6,normal,CD8 T cells,0.2,17
6,normal,Classical monocytes,0.2,7
6,normal,EC aerocyte capillary,0.2,23
