label,uncertainty_cutoff,cells,gene,detection_fraction,mean_normalized_10000
AT0,0.2,68,EPCAM,0.7794117647058824,4.216406099300224
AT0,0.2,68,KRT8,0.8235294117647058,4.790408940981644
AT0,0.2,68,SFTPC,0.9264705882352942,13.245128646015797
AT0,0.2,68,SFTPA1,0.9852941176470589,39.84787864174278
AT0,0.2,68,ABCA3,0.27941176470588236,0.7014061624526637
AT0,0.2,68,AGER,0.6911764705882353,3.720739528450913
AT0,0.2,68,HOPX,0.8382352941176471,6.795462544641111
AT0,0.2,68,SCGB1A1,0.22058823529411764,6.722117280458613
AT0,0.2,68,FOXJ1,0.058823529411764705,0.06787539305282664
AT0,0.2,68,PTPRC,0.014705882352941176,0.025691618366424137
AT0,0.2,68,LST1,0.029411764705882353,0.039948243097025674
AT0,0.2,68,TYROBP,0.19117647058823528,0.40131225296492934
AT0,0.2,68,C1QA,0.3235294117647059,0.7208186286563227
AT0,0.2,68,C1QB,0.3088235294117647,0.966451807699001
AT0,0.2,68,CD68,0.29411764705882354,0.7467619243583895
AT0,0.2,68,CSF1R,0.10294117647058823,0.25294297904502966
AT0,0.2,68,PPARG,0.04411764705882353,0.043821907090584776
AT0,0.2,68,FABP4,0.029411764705882353,0.04489165823544623
AT0,0.2,68,COL1A1,0.23529411764705882,0.6368122936020965
AT0,0.2,68,COL1A2,0.14705882352941177,0.2918915853864392
AT0,0.2,68,COL3A1,0.058823529411764705,0.2177601926154642
AT0,0.2,68,DCN,0.20588235294117646,0.48077853448488495
AT0,0.2,68,LUM,0.10294117647058823,0.2166238410601676
AT0,0.2,68,PDGFRA,0.0,0.0
AT0,0.2,68,PI16,0.0,0.0
AT0,0.2,68,ACTA2,0.04411764705882353,0.07998659256954482
AT0,0.2,68,TAGLN,0.23529411764705882,0.6149616480669637
AT0,0.2,68,MYH11,0.04411764705882353,0.1062518909829828
AT0,0.2,68,PECAM1,0.11764705882352941,0.5794993668737354
AT0,0.2,68,VWF,0.058823529411764705,0.1686973571783288
AT0,0.2,68,MKI67,0.014705882352941176,0.035650623885918005
AT0,0.2,68,CLDN4,0.9558823529411765,9.827757549224259
AT0,0.2,68,KRT17,0.014705882352941176,0.17240190331701263
AT1,0.2,3820,EPCAM,0.5835078534031414,4.171854420502596
AT1,0.2,3820,KRT8,0.7044502617801047,7.300793584656754
AT1,0.2,3820,SFTPC,0.805759162303665,19.66481903973547
AT1,0.2,3820,SFTPA1,0.793979057591623,13.565337574063218
AT1,0.2,3820,ABCA3,0.19947643979057592,1.110094537896317
AT1,0.2,3820,AGER,0.9971204188481675,70.64872346290319
AT1,0.2,3820,HOPX,0.6701570680628273,6.124824673722636
AT1,0.2,3820,SCGB1A1,0.09424083769633508,0.7061440192183398
AT1,0.2,3820,FOXJ1,0.03795811518324607,0.16166628219639798
AT1,0.2,3820,PTPRC,0.0274869109947644,0.10649063053626037
AT1,0.2,3820,LST1,0.02931937172774869,0.11612253027269555
AT1,0.2,3820,TYROBP,0.09450261780104711,0.4414310469330093
AT1,0.2,3820,C1QA,0.15785340314136126,0.9078730650411203
