gene,present,input_feature_count
Wnt1,True,1
Wnt2,True,1
Wnt2b,True,1
Wnt3,True,1
Wnt3a,True,1
Wnt4,True,1
Wnt5a,True,1
Wnt5b,True,1
Wnt6,True,1
Wnt7a,True,1
Wnt7b,True,1
Wnt8a,True,1
Wnt8b,True,1
Wnt9a,True,1
Wnt9b,True,1
Wnt10a,True,1
Wnt10b,True,1
Wnt11,True,1
Wnt16,True,1
Porcn,True,1
Wls,True,1
Axin2,True,1
Lef1,True,1
Mki67,True,1
Top2a,True,1
Sftpa1,True,1
Slc34a2,True,1
Sftpb,True,1
Lyz2,True,1
Napsa,True,1
Hc,True,1
Sftpd,True,1
Cxcl15,True,1
Scd1,True,1
Lamp3,True,1
Fasn,True,1
Lpcat1,True,1
S100g,True,1
Malat1,True,1
Npc2,True,1
Rnase4,True,1
Abca3,True,1
Chi3l1,False,0
Elovl1,True,1
Ctsc,True,1
Lgi3,True,1
Egfl6,True,1
Ctsh,True,1
Ager,True,1
Gpr116,False,0
Sepp1,False,0
Ptprf,True,1
Nrp1,True,1
Sfta2,True,1
Etv5,True,1
Dram1,True,1
Acly,True,1
Cd36,True,1
Cldn18,True,1
Rbpjl,True,1
Zdhhc3,True,1
Cpm,True,1
Irx1,True,1
Tgoln1,True,1
Lcn2,True,1
Brd7,True,1
Neat1,True,1
Acsl4,True,1
Acoxl,True,1
H2afj,False,0
Rgcc,True,1
Alcam,True,1
Phldb2,True,1
Scd2,True,1
Ppp1r9a,True,1
Ank3,True,1
Atrx,True,1
Slc12a2,True,1
Lyz1,True,1
Il33,True,1
Lrg1,True,1
Ccdc141,True,1
Iqgap1,True,1
Rpl21,True,1
Mid1ip1,True,1
Secisbp2l,True,1
Snx25,True,1
App,True,1
Fabp5,True,1
Taok3,True,1
Cd74,True,1
Gas6,True,1
Lrp2,True,1
Atp8a1,True,1
Mlc1,True,1
Cox6a2,True,1
Kcnj15,True,1
Chia,False,0
Spink5,True,1
Atp11a,True,1
Nemf,True,1
Muc1,True,1
Itga9,True,1
Gm26924,False,0
Abcd3,True,1
Lpin2,True,1
Tmem30a,True,1
Errfi1,True,1
Pcnt,True,1
Itih4,True,1
Snhg11,True,1
Mme,True,1
Nucb2,True,1
Exosc7,True,1
Nckap5,True,1
Tspan11,True,1
Hp1bp3,True,1
Bex4,True,1
Soat1,True,1
Eef2,True,1
Slc39a8,True,1
Acsl5,True,1
Chka,True,1
Ctnnb1,True,1
Socs2,True,1
St6galnac2,True,1
Rps19,True,1
Ptgs1,True,1
Acot7,True,1
Grb14,True,1
Lrrk2,True,1
Mylk,True,1
Rrbp1,True,1
Usp8,True,1
Ppp1r14c,True,1
Uhrf1bp1l,True,1
Ociad2,True,1
Tnfaip1,True,1
Myh7,True,1
Bex2,True,1
Nkd1,True,1
Cnn2,True,1
Ncor1,True,1
Pmvk,True,1
C6,True,1
Npnt,True,1
H2-Aa,True,1
Sdc1,True,1
Actn4,True,1
Apc,True,1
Apoc1,True,1
Arhgef38,True,1
Slc26a9,True,1
Matn4,True,1
Aox3,True,1
Atp6v1c2,True,1
Slco4c1,True,1
Arf6,True,1
Cdc42bpa,True,1
Scp2,True,1
Tmsb4x,True,1
Klf9,True,1
Adam19,True,1
Pi4k2b,True,1
Pik3ca,True,1
Foxp1,True,1
Lamb3,True,1
Npw,True,1
Npc1,True,1
Ralbp1,True,1
Oat,True,1
Cftr,True,1
Ramp1,True,1
Afap1l1,True,1
Entpd1,True,1
Enpep,True,1
Ptplad1,False,0
Sept7,False,0
Filip1l,True,1
Chd3,True,1
Pfkfb2,True,1
Thbs3,True,1
Apoe,True,1
Macc1,True,1
Prrc2c,True,1
Prnp,True,1
Esam,True,1
Fgfr2,True,1
Sparc,True,1
Atp6v1a,True,1
Mmp15,True,1
Sdc4,True,1
Cd63,True,1
Cited2,True,1
Rn7sk,False,0
Vldlr,True,1
Rmdn2,True,1
Rdx,True,1
Etfb,True,1
Top1,True,1
Ano6,True,1
Rab27a,True,1
Tns1,True,1
Npr1,True,1
Nrn1,True,1
Abhd2,True,1
Tinag,True,1
Prps2,True,1
Cadm1,True,1
Rab27b,True,1
Xdh,True,1
A630007B06Rik,False,0
Kcnc3,True,1
Kif5b,True,1
Cat,True,1
Tmem42,True,1
Tmem243,True,1
Ddx6,True,1
Golga4,True,1
Adamts1,True,1
Col6a1,True,1
Tex15,True,1
Limch1,True,1
Atp1a1,True,1
Col4a1,True,1
Antxr1,True,1
Bod1l,True,1
Ttc38,True,1
Pla2g1b,True,1
Me1,True,1
Car8,True,1
Kmt2e,True,1
Gclc,True,1
Tfcp2l1,True,1
Adk,True,1
Hmha1,False,0
Prmt8,True,1
Rpl5,True,1
Iah1,True,1
Syt7,True,1
Luc7l2,True,1
Bmp1,True,1
Mtch1,True,1
Dbi,True,1
H2-Ab1,True,1
Aqp5,True,1
Nkx2-1,True,1
Myh14,True,1
Mtdh,True,1
Rai14,True,1
Arid4b,True,1
H6pd,True,1
Tpm1,True,1
Prrg3,True,1
Kank2,True,1
Ggcx,True,1
Vcp,True,1
Tmem164,True,1
Nipbl,True,1
Chsy1,True,1
Sort1,True,1
C77370,False,0
Utrn,True,1
Acaca,True,1
Maob,True,1
Ankrd12,True,1
Dpp4,True,1
Npr2,True,1
Slc43a2,True,1
Plxna2,True,1
Renbp,True,1
Gsap,True,1
Tc2n,True,1
Akap13,True,1
Kcnj2,True,1
Ltbp3,True,1
Vamp8,True,1
Ctsz,True,1
Ralgapa2,True,1
Ttn,True,1
Rb1cc1,True,1
Kcne2,True,1
Ash1l,True,1
Fdps,True,1
Cdh16,True,1
Srrm2,True,1
Rbms3,True,1
Nfix,True,1
Sec14l4,True,1
Wbp5,False,0
Cpeb3,True,1
Epn3,True,1
Mtss1,True,1
Tmf1,True,1
Bptf,True,1
Bicc1,True,1
Epha7,True,1
Fam102b,True,1
Soga2,False,0
Sgpp2,True,1
Pgs1,True,1
Tmem110,False,0
Cyb5b,True,1
Oplah,True,1
Zbtb4,True,1
Nucks1,True,1
Ahcyl2,True,1
Ldlr,True,1
Ankrd11,True,1
Sptlc2,True,1
P4ha1,True,1
Fam126b,True,1
Met,True,1
Lcp1,True,1
Scaf11,True,1
Id2,True,1
Hk2,True,1
Tmod1,True,1
Fads1,True,1
Slc1a3,True,1
Eif4h,True,1
Pygo1,True,1
Atp6v0b,True,1
Usp33,True,1
Mfsd2a,True,1
Pgm2,True,1
Anxa6,True,1
Magi3,True,1
Ptgfrn,True,1
Ubr1,True,1
Lamb2,True,1
Pard3,True,1
Srebf1,True,1
Thsd4,True,1
Rock2,True,1
Elfn1,True,1
Pura,True,1
Zbtb38,True,1
Fam101b,False,0
Aldh1l1,True,1
Pptc7,True,1
Csrp1,True,1
Srebf2,True,1
Mrps9,True,1
Zfhx3,True,1
Dek,True,1
Ppig,True,1
Ang,True,1
Hkdc1,True,1
Camk2n1,True,1
Macf1,True,1
Gm11744,False,0
Rock1,True,1
Rtkn,True,1
Atp6v0a1,True,1
Gaa,True,1
Adssl1,True,1
Zc3h13,True,1
Snx22,True,1
Sgms1,True,1
Plcg1,True,1
Itpr2,True,1
Pfkfb4,True,1
Msrb3,True,1
Diap1,False,0
Nktr,True,1
Arpc1b,True,1
Pbrm1,True,1
Tmem116,True,1
Ttll7,True,1
Gpt,True,1
Anpep,True,1
Arhgap17,True,1
Itga7,True,1
Pip5k1b,True,1
Trpm6,True,1
H2-Eb1,True,1
Tpr,True,1
Dpp9,True,1
Dst,True,1
Eif5b,True,1
Usp34,True,1
Baz1b,True,1
Sfpq,True,1
Szt2,True,1
Ggt5,True,1
Bcam,True,1
Hip1r,True,1
Trip11,True,1
Arid4a,True,1
Dock1,True,1
Myo18a,True,1
Mapkapk2,True,1
Irf2bp2,True,1
Ap3d1,True,1
2810474O19Rik,False,0
Snx30,True,1
Jun,True,1
Scamp1,True,1
Wdr81,True,1
Hmgn1,True,1
Slco2a1,True,1
Fam184a,True,1
Pde7b,True,1
Atp2b1,True,1
9330182L06Rik,False,0
Krt23,True,1
mt-Rnr1,True,1
Pla2g4f,True,1
Cst8,True,1
Rap1gap,True,1
Tmem50b,True,1
Hmgcs1,True,1
St6galnac4,True,1
Stbd1,True,1
Tmem163,True,1
D10Bwg1379e,False,0
Gsk3b,True,1
Creg1,True,1
Pnpla2,True,1
Rapgef5,True,1
Pitpnm2,True,1
Fkbp2,True,1
