sample,day,n,n_top,pct
EEM-scRNA-113,6.0,1058,6,0.567
EEM-scRNA-116,11.0,1641,39,2.377
EEM-scRNA-117,19.0,1769,549,31.034
EEM-scRNA-118,25.0,1595,853,53.48
EEM-scRNA-124,42.0,1539,807,52.437
EEM-scRNA-125,42.0,1565,609,38.914
EEM-scRNA-126,42.0,1758,266,15.131
EEM-scRNA-127,42.0,2417,602,24.907
EEM-scRNA-158,0.0,1464,40,2.732
EEM-scRNA-162,6.0,2308,11,0.477
EEM-scRNA-166,0.0,1981,25,1.262
EEM-scRNA-167,11.0,1657,375,22.631
EEM-scRNA-170,19.0,1518,414,27.273
EEM-scRNA-172,25.0,1287,278,21.601
EEM-scRNA-179,42.0,2173,601,27.658
EEM-scRNA-180,42.0,2516,310,12.321
EEM-scRNA-181,42.0,2277,153,6.719
EEM-scRNA-182,42.0,1794,558,31.104
EEM-scRNA-236,90.0,1366,526,38.507
EEM-scRNA-237,90.0,1869,867,46.388
EEM-scRNA-238,90.0,1744,206,11.812
EEM-scRNA-239,90.0,2119,584,27.56
EEM-scRNA-310,366.0,1626,177,10.886
EEM-scRNA-311,366.0,1399,377,26.948
EEM-scRNA-312,366.0,919,199,21.654
