subcluster,AF1,AF2,Arterial_endothelium,CAP1,CAP2,Lymphatic_endothelium,Plasma_cell,T_lymphocyte,Venous_endothelium
0,1,1,52,2927,92,0,1,2,31
1,0,0,0,56,3758,2,0,0,0
2,0,0,1,1485,142,0,0,0,0
3,0,0,85,7658,21,1,0,0,60
4,0,0,122,15571,11,0,0,0,237
5,0,0,14,9315,1,2,0,1,99
6,0,0,0,56,0,0,0,0,0
7,0,0,1,1065,0,0,0,0,11
8,2,0,2,453,15,0,0,0,5
