donor,disease,label,gene,cells,detected_cells,detection_fraction,count_sum,full_library_sum,mean_normalized_10000,cohort
001C,control,cMonocyte,IL1B,601,83,0.1381031613976705,166,2323293,0.6519595467221833,GSE136831
003C,control,cMonocyte,IL1B,451,233,0.516629711751663,721,1697933,4.222184973361628,GSE136831
065C,control,cMonocyte,IL1B,157,26,0.1656050955414012,48,541153,0.8966482815616408,GSE136831
092C,control,cMonocyte,IL1B,180,81,0.45,454,625051,6.304404300081453,GSE136831
098C,control,cMonocyte,IL1B,453,66,0.1456953642384106,152,1279465,1.0165898517481204,GSE136831
133C,control,cMonocyte,IL1B,290,125,0.4310344827586206,358,1377816,2.502005594324382,GSE136831
137C,control,cMonocyte,IL1B,50,21,0.42,75,220310,3.422034878403101,GSE136831
160C,control,cMonocyte,IL1B,86,32,0.3720930232558139,82,308100,2.4725082648728867,GSE136831
208C,control,cMonocyte,IL1B,57,24,0.4210526315789473,102,290119,2.874356398511772,GSE136831
222C,control,cMonocyte,IL1B,1452,261,0.1797520661157025,695,5624822,1.1585814543230124,GSE136831
226C,control,cMonocyte,IL1B,68,31,0.4558823529411764,147,179713,7.68413893474223,GSE136831
253C,control,cMonocyte,IL1B,312,146,0.4679487179487179,492,2207910,2.2827991615561563,GSE136831
296C,control,cMonocyte,IL1B,548,136,0.2481751824817518,405,2152157,1.6328910617060928,GSE136831
439C,control,cMonocyte,IL1B,397,147,0.3702770780856423,388,1302165,3.03874853972633,GSE136831
454C,control,cMonocyte,IL1B,68,30,0.4411764705882353,98,301141,3.3072381404823488,GSE136831
483C,control,cMonocyte,IL1B,77,56,0.7272727272727273,232,217264,11.653705679819758,GSE136831
1372C,control,cMonocyte,IL1B,621,34,0.0547504025764895,43,2466480,0.1980892759904748,GSE136831
010I,IPF,cMonocyte,IL1B,165,93,0.5636363636363636,564,671080,6.928337666560939,GSE136831
021I,IPF,cMonocyte,IL1B,145,20,0.1379310344827586,47,641535,0.8566122806344694,GSE136831
022I,IPF,cMonocyte,IL1B,150,38,0.2533333333333333,107,521008,1.875286389355637,GSE136831
29I,IPF,cMonocyte,IL1B,58,16,0.2758620689655172,51,286871,1.6979033118888422,GSE136831
034I,IPF,cMonocyte,IL1B,67,8,0.1194029850746268,12,194839,0.7219819423585669,GSE136831
040I,IPF,cMonocyte,IL1B,87,12,0.1379310344827586,42,300046,1.2392115132561703,GSE136831
041I,IPF,cMonocyte,IL1B,104,31,0.2980769230769231,186,502659,3.4382383440736453,GSE136831
49I,IPF,cMonocyte,IL1B,85,18,0.2117647058823529,51,338632,1.7483808749029457,GSE136831
051I,IPF,cMonocyte,IL1B,253,58,0.2292490118577075,194,939525,1.873285360583256,GSE136831
053I,IPF,cMonocyte,IL1B,66,30,0.4545454545454545,305,269214,11.071452494084957,GSE136831
123I,IPF,cMonocyte,IL1B,106,33,0.3113207547169811,101,525316,1.957494125622912,GSE136831
135I,IPF,cMonocyte,IL1B,222,35,0.1576576576576576,77,776365,0.9179374541611334,GSE136831
138I,IPF,cMonocyte,IL1B,202,36,0.1782178217821782,134,948314,1.289810735064547,GSE136831
145I,IPF,cMonocyte,IL1B,227,53,0.2334801762114537,169,769901,2.0302144241089675,GSE136831
157I,IPF,cMonocyte,IL1B,108,32,0.2962962962962963,100,430727,1.7976097181781487,GSE136831
158I,IPF,cMonocyte,IL1B,160,28,0.175,87,484275,1.487174241616815,GSE136831
166I,IPF,cMonocyte,IL1B,375,31,0.0826666666666666,62,862481,0.6392536626937961,GSE136831
174I,IPF,cMonocyte,IL1B,225,99,0.44,300,888094,3.3104426618586342,GSE136831
177I,IPF,cMonocyte,IL1B,313,23,0.0734824281150159,38,812300,0.5475975209258482,GSE136831
179I,IPF,cMonocyte,IL1B,122,45,0.3688524590163934,151,500521,2.8613532343101484,GSE136831
209I,IPF,cMonocyte,IL1B,187,47,0.2513368983957219,112,694105,1.6691500586862595,GSE136831
210I,IPF,cMonocyte,IL1B,54,31,0.5740740740740741,153,188988,6.368619682810123,GSE136831
212I,IPF,cMonocyte,IL1B,112,103,0.9196428571428572,1628,473244,38.266289453365935,GSE136831
221I,IPF,cMonocyte,IL1B,241,69,0.2863070539419087,186,782822,2.0656249719402235,GSE136831
222I,IPF,cMonocyte,IL1B,464,191,0.4116379310344827,1320,1836561,6.000205090706816,GSE136831
225I,IPF,cMonocyte,IL1B,390,114,0.2923076923076923,259,1415719,1.6817528461517215,GSE136831
001C,control,Macrophage,IL1B,390,55,0.141025641025641,152,2206538,0.7895187523340546,GSE136831
002C,control,Macrophage,IL1B,436,89,0.2041284403669724,497,3730789,1.497585278607285,GSE136831
003C,control,Macrophage,IL1B,1097,227,0.2069279854147675,603,10261460,0.7140723783514985,GSE136831
034C,control,Macrophage,IL1B,481,302,0.6278586278586279,1740,2506440,7.31670405734178,GSE136831
