sample_id,day,phase,label,n_cells,n_myeloid_labelled_cells_animal,pct_of_myeloid
EEM-scRNA-158,0,baseline,Neutrophil,77,510,15.098
EEM-scRNA-158,0,baseline,aMAC,182,510,35.686
EEM-scRNA-158,0,baseline,cDC1,32,510,6.275
EEM-scRNA-158,0,baseline,cDC2,46,510,9.02
EEM-scRNA-158,0,baseline,cMON,48,510,9.412
EEM-scRNA-158,0,baseline,iMAC,21,510,4.118
EEM-scRNA-158,0,baseline,iMON,18,510,3.529
EEM-scRNA-158,0,baseline,maDC,5,510,0.98
EEM-scRNA-158,0,baseline,pMON,81,510,15.882
EEM-scRNA-166,0,baseline,Neutrophil,61,573,10.646
EEM-scRNA-166,0,baseline,aMAC,149,573,26.003
EEM-scRNA-166,0,baseline,cDC1,4,573,0.698
EEM-scRNA-166,0,baseline,cDC2,26,573,4.538
EEM-scRNA-166,0,baseline,cMON,241,573,42.059
EEM-scRNA-166,0,baseline,iMAC,8,573,1.396
EEM-scRNA-166,0,baseline,iMON,2,573,0.349
EEM-scRNA-166,0,baseline,maDC,4,573,0.698
EEM-scRNA-166,0,baseline,pMON,78,573,13.613
EEM-scRNA-113,6,active repair,Neutrophil,44,186,23.656
EEM-scRNA-113,6,active repair,aMAC,13,186,6.989
EEM-scRNA-113,6,active repair,cDC1,3,186,1.613
EEM-scRNA-113,6,active repair,cDC2,4,186,2.151
EEM-scRNA-113,6,active repair,cMON,11,186,5.914
EEM-scRNA-113,6,active repair,iMAC,3,186,1.613
EEM-scRNA-113,6,active repair,iMON,98,186,52.688
EEM-scRNA-113,6,active repair,maDC,1,186,0.538
EEM-scRNA-113,6,active repair,pMON,9,186,4.839
EEM-scRNA-162,6,active repair,Neutrophil,56,589,9.508
EEM-scRNA-162,6,active repair,aMAC,13,589,2.207
EEM-scRNA-162,6,active repair,cDC1,24,589,4.075
EEM-scRNA-162,6,active repair,cDC2,34,589,5.772
EEM-scRNA-162,6,active repair,cMON,38,589,6.452
EEM-scRNA-162,6,active repair,iMAC,24,589,4.075
EEM-scRNA-162,6,active repair,iMON,349,589,59.253
EEM-scRNA-162,6,active repair,maDC,24,589,4.075
EEM-scRNA-162,6,active repair,pMON,27,589,4.584
EEM-scRNA-116,11,active repair,Neutrophil,76,253,30.04
EEM-scRNA-116,11,active repair,aMAC,12,253,4.743
EEM-scRNA-116,11,active repair,cDC1,6,253,2.372
EEM-scRNA-116,11,active repair,cDC2,9,253,3.557
EEM-scRNA-116,11,active repair,cMON,35,253,13.834
EEM-scRNA-116,11,active repair,iMAC,10,253,3.953
EEM-scRNA-116,11,active repair,iMON,99,253,39.13
