group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,Ms4a4c,36.199936,5.55546,6.101823075616294e-287,1.9664955408096193e-282,0.9959514170040485,0.21814163948226875
0,Irf7,36.115566,5.512065,1.292222391221085e-285,2.0593121276212006e-281,0.9959514170040485,0.22571819425444598
0,Isg15,36.104656,6.3900576,1.916946873173514e-285,2.0593121276212006e-281,0.9979757085020243,0.26118067978533094
0,Fcgr1,36.015697,4.8640633,4.751580342694333e-284,3.8283482821088245e-280,0.9898785425101214,0.35062611806797855
0,Zbp1,35.599426,4.5778704,1.4297826913469856e-277,9.21580731534613e-274,0.9919028340080972,0.2865410922866463
0,Ifi204,35.135406,4.3827314,1.9420618664555e-270,1.0431461638687975e-266,0.9838056680161943,0.39566452699147636
0,Ifi202b,34.986694,5.368718,3.585219571056343e-268,1.6506350905143403e-264,0.9635627530364372,0.1381668946648427
0,Ifi47,34.935974,4.941036,2.114668438250969e-267,8.51894180349403e-264,0.9736842105263158,0.22529727454488058
0,Ms4a6d,34.240982,3.8825183,5.94071429626073e-257,2.1273037815543422e-253,0.979757085020243,0.5349889508576239
0,Ifit3,34.159443,6.3488274,9.682220399665404e-256,3.1203859904041663e-252,0.9412955465587044,0.06682100389350731
0,Oasl1,33.841488,6.0800304,4.8419783375426826e-251,1.4186116169302326e-247,0.9311740890688259,0.05956013890350416
0,Ly6c2,33.633728,5.7887626,5.393057383036766e-248,1.4483954445042408e-244,0.9655870445344129,0.17931179627486057
0,Rtp4,33.533726,4.5589786,1.554684450410158e-246,3.8541823436783514e-243,0.9635627530364372,0.15868673050615595
0,Pnp,33.4301,3.1730852,5.010229169452271e-245,1.153354754807913e-241,0.9757085020242915,0.6523203198989793
0,Ifit2,33.41548,6.6486278,8.16925953976812e-245,1.755192642984313e-241,0.9129554655870445,0.0558770914448069
0,Ms4a6b,33.36203,4.0329394,4.875092146014421e-244,9.819654355109548e-241,0.9817813765182186,0.2945385667683889
0,Phf11b,33.099968,4.817207,2.975136594337612e-240,5.640158950724268e-237,0.9311740890688259,0.18636220141008103
0,Ifitm3,32.868443,4.4742312,6.209851135118844e-237,1.1118393465700561e-233,1.0,0.48679364411238557
0,Bst2,32.771763,3.3819828,1.4873714522788329e-235,2.5228951138969593e-232,0.9858299595141701,0.5907608123750394
0,Xaf1,32.7486,4.622931,3.178715376232816e-235,5.1221819572615594e-232,0.9230769230769231,0.1507944859518047
1,Ctss,34.731403,2.1371264,2.645910101359259e-264,8.52723907466062e-260,1.0,0.8955931472901627
1,Ctsz,33.10723,1.5986665,2.3387363683538141e-240,3.7686397839653363e-236,0.9958100558659218,0.8927917250296304
1,Npc2,31.884977,1.6642467,4.313261001500797e-223,4.63359251854559e-219,0.9986033519553073,0.8759831914664368
1,Lgmn,31.512,2.3609405,5.949606101599151e-218,4.793597636058436e-214,0.9706703910614525,0.6676004740868441
1,Apoe,31.119535,4.5901036,1.3108075569660547e-212,8.448941189180402e-209,0.9231843575418994,0.39446180368494776
1,Cyba,29.219915,1.1069632,1.0831568639964383e-187,4.986854201839602e-184,0.9986033519553073,0.9719857773946773
1,Trem2,28.974014,2.9143376,1.3986737542340556e-184,5.634557218931893e-181,0.8212290502793296,0.37560607693136516
1,C1qb,28.503702,4.194184,1.0539793555057613e-178,3.774182963248853e-175,0.7807262569832403,0.14157957116690012
1,Ctsb,28.129341,1.7978139,4.288918043196987e-174,1.3822325069615248e-170,0.9958100558659218,0.8930072190496714
1,Atp6v0c,27.521685,1.1908677,9.66069377297172e-167,2.830407626503024e-163,0.9972067039106145,0.9314729016269798
1,Ctsh,27.369556,1.5381854,6.31958863922503e-165,1.5666746358841867e-161,0.9860335195530726,0.8138131666846246
1,C3ar1,27.25342,3.0247324,1.5137495820508678e-163,3.4846515378810975e-160,0.7569832402234636,0.1403943540566749
1,Cxcl16,26.80289,2.4632077,2.989972830218438e-158,6.424056291485321e-155,0.8715083798882681,0.31332830513953236
1,Rps2,26.095797,1.1396282,4.069110179690566e-150,8.196205179441724e-147,0.9972067039106145,0.917358043314298
1,Cstb,25.811272,1.6418841,6.626307774570234e-147,1.2561920409344089e-143,0.9832402234636871,0.7715763387565995
1,C1qc,25.528593,3.6946006,9.493349363243568e-144,1.699731462658965e-140,0.7122905027932961,0.12918866501454584
1,Ms4a7,25.419418,3.104261,1.5385177652606293e-142,2.609650028358924e-139,0.7276536312849162,0.17961426570412672
1,Ms4a6d,25.364498,1.8457844,6.2183568312111864e-142,9.543104950298767e-139,0.9203910614525139,0.5289300721904967
1,B2m,25.204824,0.86728114,3.546368951868961e-140,5.195108117310585e-137,1.0,0.9921344682685056
1,Ctsl,25.054672,2.068585,1.5526873566231578e-138,2.1756525273587448e-135,0.9064245810055865,0.610710052796035
10,C1qa,43.159916,7.2993813,0.0,0.0,0.998661311914324,0.10118918918918919
10,C1qc,42.94324,6.6403427,0.0,0.0,0.9959839357429718,0.10432432432432433
10,C1qb,42.13232,6.7396727,0.0,0.0,0.9959839357429718,0.12205405405405405
10,Tmem176b,40.280426,4.4844694,0.0,0.0,0.965194109772423,0.22497297297297297
10,Cd81,39.214264,3.1986034,0.0,0.0,0.9705488621151271,0.4887567567567568
10,Apoe,38.876945,5.8296847,0.0,0.0,0.9812583668005355,0.388
10,Tmem176a,38.766994,4.4075127,0.0,0.0,0.9397590361445783,0.19178378378378377
10,Ms4a7,38.530087,4.808383,0.0,0.0,0.927710843373494,0.1616216216216216
10,H2-Eb1,38.211567,5.03755,0.0,0.0,0.9759036144578314,0.4803243243243243
10,H2-Aa,37.885212,4.6343055,0.0,0.0,0.9825970548862115,0.5547027027027027
10,Cd74,36.83815,4.49497,4.5267452628973724e-297,1.215732886105471e-293,0.9879518072289156,0.6982702702702702
10,Selenop,36.3578,3.0786371,1.9784296007655236e-289,4.904679167190099e-286,0.9678714859437751,0.6767567567567567
10,H2-Ab1,35.855118,4.4401894,1.5305985738820518e-281,3.5234379170764836e-278,0.9799196787148594,0.5570810810810811
10,Rgs10,35.62325,2.8437533,6.117733772536999e-278,1.3144154934754826e-274,0.9410977242302544,0.4797837837837838
10,Mafb,35.214977,3.7800195,1.1796585718323254e-271,2.3761272783132617e-268,0.92904953145917,0.27297297297297296
10,C3ar1,34.81473,3.982185,1.4559475678974905e-265,2.6067932343444626e-262,0.8661311914323963,0.1295135135135135
10,Pf4,34.633102,6.258265,8.024956182913522e-263,1.3612015150680895e-259,0.7898259705488622,0.05978378378378378
10,Cxcl16,34.00414,3.2401426,1.9351656206200222e-253,3.1183258810671036e-250,0.9317269076305221,0.3065945945945946
10,Aif1,32.978382,3.1812,1.658434850001859e-238,2.1379215338343962e-235,0.9210174029451138,0.3016216216216216
10,Csf1r,32.911865,2.3604383,1.4869590405788733e-237,1.8431429215298433e-234,0.9718875502008032,0.6596756756756756
11,Cst3,29.543549,4.2095075,7.947928536971989e-192,2.561458408895333e-187,1.0,0.9717916924984501
11,Ckb,28.26112,4.5028944,1.0391580146838148e-175,1.6744992248614995e-171,0.987460815047022,0.2850795618929531
11,Wdfy4,27.616169,3.533238,7.116297607890441e-168,4.586880786141862e-164,0.9780564263322884,0.39780946476544743
11,Xcr1,26.913595,7.2176585,1.522609741063771e-159,8.17844445583387e-156,0.896551724137931,0.014362471585038231
11,Plbd1,26.778908,3.3064194,5.6900697242848016e-158,2.619708101060723e-154,0.9937304075235109,0.4201281256457946
11,H2-DMa,26.60017,2.65238,6.75734705952632e-156,2.7221972629301784e-152,0.9905956112852664,0.7297995453606116
11,Septin3,26.541058,6.6246467,3.257345763894315e-155,1.1664193253198443e-151,0.8871473354231975,0.023558586484810913
11,Eef1b2,26.420378,1.946629,7.992844304431067e-154,2.575933862432044e-150,0.9905956112852664,0.8961562306261625
11,Irf8,26.365683,3.1701298,3.3926475132809085e-153,9.93984036891065e-150,0.9843260188087775,0.6205827650340979
11,Itgae,26.026577,6.7966866,2.4780280808001817e-149,5.920969121508319e-146,0.8683385579937304,0.02262864228146311
11,H2-Ab1,26.025146,4.829654,2.572097793878505e-149,5.920969121508319e-146,1.0,0.5751188262037611
11,Trim35,25.71469,3.8107898,8.008037115609177e-146,1.7205534677456836e-142,0.9216300940438872,0.27991320520768753
11,Rpsa,25.09409,1.6794671,5.76995503198049e-139,8.854957655746058e-136,0.9937304075235109,0.9146517875594131
11,Rpl14,24.886526,1.6357967,1.0410800562025163e-136,1.5250876386952134e-133,0.9905956112852664,0.8952262864228147
11,Rpl17,24.865133,1.3811823,1.774093156082423e-136,2.48589018409671e-133,0.9905956112852664,0.9673486257491217
11,Rps11,24.792198,1.5928566,1.0881588149776136e-135,1.461215928712439e-132,0.987460815047022,0.9460632362058277
