sample_id,gsm,group,all_cells,AT2,activated_AT2,fibroblasts,myofibroblasts,AT2_including_activated,fibroblasts_including_myofibroblasts,both_at_least_50
muc4169,GSM4200067,PBS_d14,1199,449,3,13,0,452,13,False
muc4170,GSM4200068,PBS_d21,1199,282,4,13,2,286,15,False
muc4171,GSM4200069,Bleo_d7,1199,22,47,10,8,69,18,False
muc4172,GSM4200070,PBS_d10,1199,396,3,6,0,399,6,False
muc4173,GSM4200071,PBS_d10,1199,571,2,4,0,573,4,False
muc4631,GSM4200072,Bleo_d3,851,6,14,3,1,20,4,False
muc4632,GSM4200073,Bleo_d7,1199,5,30,13,12,35,25,False
muc4633,GSM4200074,Bleo_d7,1199,2,30,24,15,32,39,False
muc4634,GSM4200075,Bleo_d7,1199,31,308,24,1,339,25,False
muc4635,GSM4200076,Bleo_d10,1199,9,6,15,58,15,73,False
muc4636,GSM4200077,Bleo_d10,1199,1,19,14,40,20,54,False
muc4637,GSM4200078,Bleo_d14,1199,4,25,18,22,29,40,False
muc4638,GSM4200079,Bleo_d21,1199,19,32,7,51,51,58,True
muc4639,GSM4200080,Bleo_d21,1199,16,9,7,28,25,35,False
muc4640,GSM4200081,PBS_d28,1098,385,4,47,0,389,47,False
muc4641,GSM4200082,Bleo_d28,1199,109,25,3,2,134,5,False
muc4642,GSM4200083,Bleo_d28,1120,16,9,1,6,25,7,False
muc4643,GSM4200084,Bleo_d3,1199,9,144,16,0,153,16,False
muc4644,GSM4200085,PBS_d3,228,70,1,2,0,71,2,False
muc4645,GSM4200086,Bleo_d7,1199,6,10,14,6,16,20,False
muc4646,GSM4200087,Bleo_d10,1199,9,14,65,85,23,150,False
muc4647,GSM4200088,Bleo_d14,686,6,8,11,40,14,51,False
muc4648,GSM4200089,Bleo_d21,771,5,16,2,11,21,13,False
muc4649,GSM4200090,Bleo_d21,835,4,6,2,31,10,33,False
muc4653,GSM4200091,Bleo_d3,248,76,0,3,0,76,3,False
muc4655,GSM4200092,Bleo_d14,1199,8,12,8,32,20,40,False
muc4656,GSM4200093,Bleo_d14,1199,6,4,6,67,10,73,False
muc4657,GSM4200094,PBS_d21,679,189,3,5,0,192,5,False
